,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.102175968465249,0.405928635190874,0.0284077008997474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265423848036549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140353294512547,0,0,0,0,0.00782006029962929,-0.0306990495156335,0,0.0711934342480295,0.0748069040147251,0,0.030102675126192,0,-0.0712177461999931,0,0
X601318.CH.EQUITY,0,0,0.00407871307224286,0.155031995599337,0,0,0,0,0.152474419897867,0,0,0,0.0392573611354024,0,0.0341267394211239,0,0,0,0,0.181551378565812,0,0,0,0,0,0,0,0,0.0744391454127311,0,0,0.117308570457583,0,0,0,0,0,0.0731461793666951,0,0,0,0,0,0,0,0,0,0,0.049342004066777,0,0,0,-0.0923472530840585
X601939.CH.EQUITY,0,0,0,0,0.189292583275826,0,-0.0603225362994553,0,0,0,-0.0187811555436545,0.148696304036031,0,0,0,0,0,0,0.135787341904977,0,0.0220186855655202,-0.116573897533672,0.596948686552542,0,0,0.123208336326786,0,0,0.0539624596526162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019975700652906,0.00212092195150179
X600036.CH.EQUITY,0,0.148231357431027,0,0,0,0,0.197048793462781,0,0,0,0,0,0.206120654841185,0,0,0.150778593062215,0,0,0.0232933310480037,0,0,0,0.166333439837013,0,0.228533370487375,0,0,0,0,0.0216207715601734,0,0,0,0,0,0,0,0,0.0078859573258322,0.122392081841221,0.0134552063545797,0,0,0,0,0,0,0,0,0,-0.0881405197295297,0,0
X601288.CH.EQUITY,0.18355309973318,0,0.0852560797821102,0,0,0.0844816012045457,0,0.285482552216438,0,0,0,0.0607398424675011,0,0,0.0616644235319027,0,0.0700729165152336,0,0,0,0,0,0,0,0,0,0,0.0373986260764671,0,0,0,0,0.124880351550337,0,0,0,0,-0.101629504512825,-0.0157158867399404,0,0,0,0.0321318397422977,0,0,0,0,0.079194126073116,0,0,0,-0.0577934856772001,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183782986197906,0,0,0.0530710145221202,0,0,0.165337766856822,0,0,-0.124104529456818,0,0,0,0,0,0,0,0,0.602461348403397,0.0836130762460537,0,0,0,0,0,0,0,0.0925594819647454,0,0,0,0,0,0,0,0,-0.0442627457791011,0
X1299.HK.EQUITY,0,0,-0.193595803715151,0.0704704556942392,0,0,0,0,0,0,0.199990849399331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995133511295004,0,0,0,0,0,0.102384615148392,0,0,0,0,0,0,0.0857933571188873,0.0963927737671876,0,0.125532110314815,0.274586655522113,0.0865808303260764,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.20243371622235,0.700255999716637,0,0,0,0,0,0,0,0.0299397602628521,0,0,0,0.0341294306384165,0.0460579969637161,0,0,0.0645858299167099,0,0,0,0.0927270000121074,0,0,0,0,0,-0.127287008845311,0.0946209125373256,0.0265730590985407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0736365351067778,0,0,0,0,0.0437143331415972,0,0,-0.0919836038787867,0,0,0,0,0,0.170392042119381,0,0,0,0.0933918128870363,0,0,0.181726149931867,0,0.0126327241276022,0,0,0,0,0,0,0,0,0.0127615979632792,0,0.309420473194907,0,0,0,0.211949579252888,0,0,0,0,0.116521060723313,0,0,0,0
X601166.CH.EQUITY,0,0,0.0565755105508996,0.153822674955954,0,0,-0.0078303439894753,0,0,0,0,0.0621945745800903,0.102665721304436,0,0,0.0378621901130122,0,0,0,0,0,0,0,0,0.155690738939239,0,0,0.337538851907904,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19
