,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.390011444532812,0.0270717789760991,0.0349725855967103,0,0,0,0,0,0,0.199944035890946,0,0,0,0,0,0,0,0.0881076540032518,0,0,0,0,-0.0137693914546751,0,0.0745015780962882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00314026118463415,-3.46944695195361e-18,0,0,0,0,0,0.0568262833649369,0.0207012910129741,-0.108175774493074,0
X601939.CH.EQUITY,0.469515361242986,0,0,0.152824342178714,0,0,0,0,0,0,0.124874271248125,0,0,0,-0.0948249406906359,0,0,0,-0.0151896637203972,0,0,0,0,0,-0.000527959171278226,0.178656925807156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823718436189494,0,-0.00711802842581599,0,0
X601318.CH.EQUITY,0,0,0,0,0.198156499375944,0.0621907706688688,0,0,0,0,0,0,0,0,0.128575101110016,0,0,0,0.298399979833065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128483813635319,0,0,0,0.137835043980967,0,0,0.0024695014786768,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297050774601795,0.0954105042205537,0,0,0.176935871303536,0,0,0,0,0,0.0018677605528717,0,0,0.190618531952855,0,0,0,0,0,0,0,0.0461721131638815,0,0,0,0,0,0,0,0,0,0,0,0.123610215016465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.412330610761093,0,0,0,0,0,0.291996289080229,0,0,0,0,0,0.299366213797413,0,0.0811030465351464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383596516375306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158135274216536
X600036.CH.EQUITY,0,0.0700883650883062,0,0,0,0,0,0,0,0,0,0,0.183909339367424,0,0,-8.67361737988404e-19,0,0,0.283839987375296,0,0,0.00832981342251271,0,0,0,0,0,0,0,0,0,0.283093838721854,0,0,0,0,0,0.00524998076750669,0,0,0.0664057329067666,0.0509331269001039,0,0.0209559069461503,0,0,0,0.0947591246225075,0,0,0,0,0
X1299.HK.EQUITY,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0886131500631273,0,0,0.182195509932174,0,0,0.292118501785189,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0.0906373082281115,0,0,0,0,0,0,0,0,0,0.150536458713782,0,0.0365261062105145,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255933440845894,0,0,-0.222294616554644,0,0,0,0,0.269289882469945,-0.150280726947219,0,0.226036449711313,0,0.799355476071714,0,0,0.0930466751433813,0,0,0,0,0,0,0,-0.0295136175365718,0,0,0,0,0,-0.158507003413962,0,0,0.271652909233044,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.129752302537078,0,0,0,0,0.0702621843294231,0,0.324013510124841,0,0.068119914090098,0,0.021984786923127,0.0574780938812239,0,0,0,0,0.00586175011668518,0,0,0,-3.46944695195361e-18,0,0.0818465098350669,0,0,0,0,0,0.168578435695436,0,0,0,0,0,0,0,0,0,0.149983559105339,0,-0.0415687793808861
X601658.CH.Equity,0,0,0,0.141293043549072,0.140233884415912,0,0,0,0,0,0,0,0,0.10786483520602,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0626294954682254,0,0.0988705696309781,0,0,0,0,0,0,0,0,0.259908926869421,0,0,0,0,0,0,0,0,0,0,0.373073065019487,0,0,0.0394915351141714,0
