,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.413767325288882,0.106689553568893,0.0768574930872748,0,0,0,0,0,0,0,0,0,0,0,0.091951738804732,0,0,-0.0376950582509225,0,0,0,0.0291419444607455,0,0.0790317662281401,0,0,0,0,0,0,0,0.0274574686088362,0,0,0,0,0,0.101418351162202,0.0379163785833766,0,0,0,8.67361737988404e-19,0,0.21764309488854,0,-0.100859454663652,0,0
X601318.CH.EQUITY,0,0,0,0.145598819172181,0,0,0,0,0.147970937899826,0,0.107420055141106,0,0.0240757834871959,0,0,0,0.00851076785876133,0,0.116802992973371,0,0.293571704480274,0,0,0,0,0,0,0,0.114190307018458,0,0,0,0,0,0.0218820364430122,0,0,0,0,0,0,0,0,0,0.0153486517060699,0,0,0,0,0,0,-0.017973442856371,-0.149010867053333
X601939.CH.EQUITY,0.264865899266043,0,0,0,0.13808248855,0,0,0,0,-0.0363694536452249,0.105519883486045,0,0,0,0.0653261601893323,0,0,0,0,0.097708591455531,0,0,0,0.269518395406605,0.220905594071896,0,0,0,0.003769755231343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.199313419803174,0,0,0,0,0,0.136722222425058,0,0,0,0,0.196486084289362,0,0,0,0,0.0375207252185304,0,0,0,0,0,0,0,0.0549117955176167,0,0.259766487136667,0,0.0305311561922437,0,0,0,0,0,0,0,0,0,0,0.0117441334697882,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.114864348231667,0,0.0797487756211501,0,0,0.0985834609982427,0,0.381269846620025,0,0,0.0193557644845946,0,0,0,0,0.0465751480865905,0,0,0,0,0,0,0.0136239528709719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193086791373705,0,0,0,0,0,0.0879239410161858,-0.0276009757517618,0
X601628.CH.EQUITY,0.0848910356985467,0,0,0,0,0,0,0,0,0.0223750997410903,0,0,0,0,0,0,0.196784945495165,0,0,0,0,0,0.136009270278226,0,0,0,-0.0670775286737188,-0.0985724614606592,0,0,0,0,0.0695498145278318,0,0,0,0.655405298158458,0,0,0,-0.040265969333293,0.17883083196696,0,0,0,0,0,0,0,-0.0213859118946061,0,0,-0.0524070114021209
X1299.HK.EQUITY,0,0,-0.034807096941421,0,0,0,0,-0.0814980229576136,0,0.0969042316572428,0,0,0,0,0,0.00632259262703974,0,0,0,0,0,0,0,0,0,0,0.0223550372708324,0,0,0,0,0,0,0,0,0,0,0,0.072736257747042,0,0.294619451445883,0.26588597214183,0,0.176311204453064,0,0,0,0,0,0.288441544563117,0,0.087531309641032,0
X601988.CH.EQUITY,0,0,0.0862007993241508,0.168697573156752,0.148396135815992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3275350628813,0.0268449397079831,0,0,0,0,0,0,0.261263587229999,0.119438197119011,0.165749909172384,0,0,0,-0.0462921304657253,0,0.00735171509571897,0,0,0,-0.0858485883660156,0,0,0,0,0,0.0469976403176317,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0302899804185608,0,0,0,0,0,0.177710012448929,0,0,0,0,0,-0.20310722346255,0.0433505186973316,0,-0.0435217819608661,0,0,0,0,0.0454873985596612,0.218710347637631,0,0.0598776687198779,0,0.351004175738098,0,0,0,0,0,0,0,0.0498346255126889,0,0,0,0.20777253579711,-0.0452506363157707,0,0.374997006394707,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.188473935209259,0,0,0.186462837773237,0,0,0,0,0,0,0.210188412209247,0.00874282801305073,0,0,0,0,-0.138915324345299,0,0,0.257991854739101,0,0,0,0,0,0,0,0,-0.00974372026846856,0.122231668928362,0,0,0,0,0,0,0.290933871479564,0,0.065438304550973,0,0,0,0,-0.179588688262923,0,0,0.154830259922204,0.0910217485705821,0,0
