,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0594278201096937,0,0.131862474353436,0.170352627005028,0,0.34804749868034,0,0,0,0.00236181765551917,0,0.133314970182454,0,0,0,0,0,0,0,0,0,0.0110466264736396,0,0.0047433017876611,0,0,0.112234851325031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.13964337698636,0,0,0,0,0,0,0,0.314895214546125,0,0,0,0,0,0.0152248338005113,0.358824639204735,0,0,0,0.00995168094233586,0,0,0,0,8.67361737988404e-19,0.124808649317283,0.0239799312770207,0,0,0,-0.127729013071245,0,0,0.122128393953739,0,0,0.0661836988055844,0,0,0.011640015391222,-0.0457386403773683,0,0,0,0,0.004522347926684,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.26798735702094,0,0,0,0,0,0,0,0,0,0,0,0,0.414930402567933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194535188351369,0,0.108784545210499,0,0,0.00680027446251665,0,0,0,0,0,0,0.00387851686967373,0,0,0,0
X601288.CH.EQUITY,0.343781630227061,0,0.0424187880619752,0,0,0.468772588674621,0,0,0,0,0,0,0,0,0.0357267418259601,0,0,0,2.77555756156289e-17,-0.010960641158589,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112857617279853,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.24746956312343,0,0,0,0,0.278662224179298,0,0,0,0,0,0,0,0,0.0135212546588038,0.63491107750684,0,0,0,0.0981327847477231,0,0,0,0,0,0,0.135879172266242,0,0,0,0,0,-0.063151832512089,-0.247873071750463,0,0,0,0,0,0,0,0,0,0,0,-0.0324048579752733
X601988.CH.EQUITY,0.1344774984317,0.0556845476659176,0,0,0,0,0,0,0.113658183678502,0,0.0704810705739234,0,0,0.115558216112937,0,0,0,0,0.0683914510854188,0,0.158383952246853,0,0,0.115048189406101,0,0,0,0,0,0.0231247714791414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111024246917052,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.197053032225869,0,0,0.229187169618895,1.38777878078145e-17,0,0,0,0.17708507180078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149006549287833,0,0.00530075179158916,0.152876065621842,0,0,0.0961322658963247,0,0,0,0,-3.46944695195361e-18,0,0,0.0374014412283254,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.146692190235426,0,0,0,0,0,0,0,0.358920465621396,0.0238540028880517,0,0,0,0,0.180206691463175,0.266886595101495,0,0,0,0,0,0,0.268725639619672,0,0,0,0,0,0,0,0.00966689049800887,0,0,0,0,0,0,0,0,0,0,0,0.074485551755066,0,0,0,0
X601628.CH.EQUITY,0.306115250744378,0,0,0,0,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0,0,-0.0171384961375717,0,0,0,0,0.0823781517715766,0,0,0,0.0730168954014885,0,0.267095191930024,0,0,0,0,0.177793416373598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200962317118897,0,-0.0309535651588044,0,0.261071845011428,0,0,3.46944695195361e-18,0,-0.706281576828556,0,0.66606925987841,0.243714572588973,0,0,0,0,0.307822323352471,-0.518956438196925,0,0,0,-0.419107369213395
