,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0787430947314165,0,0.386113541052588,0.125481405173698,0.0856681008957891,0,0,0,0,0,0,0,0,0,0,0,0.259149163537377,0,0,0,0,-0.0156685253206389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596075150705661,0,0,0.0500529742778598,0,0.054648006788826,0,0,0.0793559935555803,-0.0749479307531774,0.0253240086842832,0
X601318.CH.EQUITY,0,0,0,0.112626595372303,0,0,0,8.67361737988404e-19,0.118815488020139,0,0,0.0889609027907238,0.0410773840679893,0,0,0,0.0273649356473675,0,0.142775933533663,0,0.287845490673396,0.0396270151051066,0,0,0,0,0.0607686986734114,0,0,0,0.134186985196145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709380534673423,0,0,0,0,0,-0.00634740366512928,-0.132361364386027
X601939.CH.EQUITY,0,0,0,0,0.247954497680489,0,0,0,0,0,0,0.230064852955225,0,0,0,0,0,0.138074283652425,0,0.0399647921223546,0,-0.118114292784147,0,0,0.364265199037098,0.211572814468533,-0.0474726545408227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011800652124042,0,0,0,0,2.16840434497101e-19,0
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.093623498179641,0,0.212527792478552,0,0,0.0494495542053551,0,0.249559095671177,0,0,0,0,0,0,-0.06852955052904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989365396460897,0,0,0,0.0124264885262104,0,0,0,0,0,0,0,0,0,0,0,0,0.227913434607041,0,0.145019297342532,0,0,0,-0.0273989824543722,0
X601628.CH.EQUITY,0.0602147036769578,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.167383209206811,0,0,-0.0246266770506719,0,0.267637341127892,-0.0783389442606248,0,0,0,0,0,0,0,0,0.0216147822365157,0,0,-0.000169420592784263,0.720261476291649,0,0,0,3.46944695195361e-18,-0.0130417497704588,0.143955351187945,0,0,0,0,0,0,0,0,0,0,-0.0969679971322996
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.146019236017225,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0299332887906043,0,0,0,0,0,0,0.110780215021556,0,-0.190483585964424,0,0,0,0.0104164533618896,0,0,0,0,0,0.0784078944510512,0,0.23898670272249,0.122449106068551,0.056292318487373,0.0457859363046091,0.104592804112128,0,0,0,0,0,0,0,0.0346050119952668
X601988.CH.EQUITY,0,0,0.0928095299395902,0.106141294680441,0.166168828437614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230499107242088,0,0,0,0.210988746072986,0,0.0440872396294021,0,0.331390631868773,-0.0298482502153073,0,0,0.142527459353846,-0.0743292348917138,0,0,0,0,0,0,0,0.090237360225817,0,0,0,0,0,0.0286937023630892,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0825926584360105,0,0,0,0,0,0.241489606760658,0,-0.078779893948445,0.0642049238309107,0,0,0,0,0,0,0,0,0,0.107648367010243,0,0,0.142368969475407,0,0,0.216636072792043,0,0,0.0608589512135122,0,0,0,0,0,0,0,0,0.234924940340641,-0.101564791618835,0,0.107804853426131,0,0,0.0606742947614702,0,0,0.1085521822618,0,0,0,0.0433246260149364,0
X601166.CH.EQUITY,0,0,0.0336018417538887,0.101198507115754,0,0,0,0,0,0,0,0.0325846941244223,0.0871290519053349,0,0.0510126836393594,0,0,0,0,0,0,0,0.165957614542288,0,0,0,0,0,0.362186572137306,0,0,0,0,0,0,0.0254695318871277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.083464391480492,-0.134298141520224,0,-0.118983495510175,0.130321564468321,0,0,0,0,0,0,0.459063832944922,0,0,0,0,0,-0.110311522020055,0,0.223366745250288,0,0,0,0,0.215049547765127,0,0,0.019921585797771,0,0.130489026278527,0,0,0,0,0,0,0,0.0150039895980297,0,0,0,0,0,0,-0.110705627706501,-0.0491925734794853,0,0,0.174060194471658,0,-0.0417879411098168
X601658.CH.Equity,0.173680611447744,0,0,0.148749271514466,0.0695598306466667,0,0,0,0,0.436133779858067,-0.0712456175357077,0,3.46944695195361e-18,0,0.0874441582310093,0,0,0,0,-0.0175281357331301,0,0,0,0,0,0,0,0,0.1034225184729,0.0880027474336137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116065033074497,0,0.0812900622836166,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0.594669511156207,0,0,0,0.0596802580597806,0,0,0.103081516946695,0,0,0,0,0,0,0.0361905054642669,0,0,0,0,0.150867524332493,0,0,0,0,0,0,0,-0.244578186550129,0,-0.124102121428979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377170637987288,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-6.44057558574042e-05,0,0.0163141311140436,0,0,0,0,0,0,0,0,0.46015752191684,0,0,0.213659340578164,0.0728766667261593,0,0,0,0,0,0,0,0,0,0,0,0.0187674811325259,0,0,0,0,0,0,0,0,0.205494729422299,0.0754519463169798,0,0,0,0,0,0,0,0,0
