,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.374765810070871,0.0616113285980313,0.0935213384805852,0,0,0,0,0,0,0.203743343495444,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.000640194579390462,-0.0102657434420863,0,0,0,0,0,0,0.0638205783643322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505049796889609,0,0,0,0.105557706500343,-0.0675076307533851,0
X601939.CH.EQUITY,0.510239261814746,0,0,0.11740439299105,0,0,-0.136692411690611,0,0,0,0,0,0,0.161351405330848,-0.0548590416376423,0,0,0,0,0,0,0,0,0,0,0.027884322871121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223524835807952,0,0,-0.0838344086729112,0,0
X601318.CH.EQUITY,0,0,0,0,0.222440519543373,0,0,0,0,0,0,0,0,0,0.0400735707717957,0,0,0,0,0,0,0.19051265813898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185229962493,0,0,0,0,0,0.205511854567414,0,0.00553478969639451,0,0,0,0,0.0812477112586102,0,0,0
X601288.CH.EQUITY,0.372215050659504,0,0,0,0.215064013348156,0,0,0,0,0,0,0,0,0.145796253238586,0,0,0,0,0,0.0914239718171804,0.0312588507959237,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0830544225286594,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.00473372115863809,0,0,0
X601988.CH.EQUITY,0,0,0,0.500438854396014,0,0,0,0,0,0.216720760585583,0,0,0,0,0,0.327174032122647,0,0.0761085254093581,0,0,0.0173881367321633,0,0,0,0,0,0,0.0214895504125049,0,0,0,0,0,0,0,0,0,-0.565588843221921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278306881739022,0,0,0,0,0,0.0920471572914921,0,3.46944695195361e-18,0,0,0,0.0101091002918832,0,0,0,0,0,0.186830516613042,0.0433598833036156,0,0.0906640809771807,0,0,0,0.0161002123754638,0,0,0,0,0.172107556949031,0,0,0,0,0.105900461068455,0,0.0157206530069896,0,0,0,0
X1299.HK.EQUITY,0.0879306291443516,0,0,0,0,0,0,0,0.186130592913934,0,0,0,0,0.0940047945103104,0,0,0.0569088773071241,0,0,0,0,0,0.0112347934340053,0,0,0,0,0,0.250939783850219,0,0,0.101225973990722,0,0,0,0.0487241355416444,0,0,0,0,0,0,0,0.0253884279461108,0,0,0.0642984007811607,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0176597318099634,0,-0.159638535779095,0,0,0,0,0,0,0,0,0,0,-0.0589031577366567,0,-0.103783483105232,0,0,0,0,0,-0.43461024175863,0.927117461555593,0,0,0.561132755773979,0,0,0,0,0,0,0,0,0,0,0,0.428883978376288,0,0,0,0,-0.132132783064335,0,0,0,0,0,0,0,-0.0816375925288091,0
X601628.CH.EQUITY,0.024425249177555,0,0.0594803656068401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200647207374331,0,0,0,0.229211017666758,0,0,0,0,0,0,0.0949455230516791,0,0,0,0,0,0,0,0,0,0,0,0,0.0768591705044537,0.0293892537826971,0,0,0,0,0,0.0278995461819898,0,0.0896894020676988,0,-0.00819692343761991
X601658.CH.Equity,0,0,0,0.177039765848522,0.0576411443122408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,3.46944695195361e-18,0,0,0.111045055186642,0.28202537743431,0,0,0,0,0,0,0,0,0,0.0601735163411971,0,0,0,0,0,0,0,0,0.336639817857628,0,0,0,0,0
