,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.00107738388793308,0,0,0,0,0,-0.0403928272892838,0,0,0,0,0,0,0,0,0,0,0,0,0.530573284600259,0.662284852669388,0,-0.113627445715452,0,0.00757982856793419,0,0,-0.196887657943923,0,0.245748271924635,0,0,0,0,0,0,-0.0545973937973892,-0.309360148531344,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.185295178893734,0,0,0,0,0,0,0,0.0934507717412558,0,0,0,0,0.203740076190918,0,0,0,0,0,0,0,0,0.0880836063654964,0.0495349307855067,0,0,0,0,0,0,0.208961790990673,0,0,0,0,0,0,0,0,0,0.0314794677704591,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.815021553110446,0.0210159365951635,0.0101585748948039,0.0158562071299786,0,0,0,0,0,0,0,0,0,0,0,0.0588911800023415,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.035106984141926,0.0395846517353647,0,0,0,0,0,0,0,0,0,0,0.0590371892328408,0,0,0,0,0.0269939506492142,0,0,0,0
X601288.CH.EQUITY,0.0103839299873273,0,0.889034564746874,0,0,-0.0846313522953526,0,0,0,0,0,0,0,0.0148237896956863,0,0,0.0536288785126525,0.115959609101658,0,0,0,0,0,0,0,0,0.0447928610390027,-0.017365526040794,0,0,0,0,0,0,0,0,0,0,0,-0.136944400440912,0,0,0,0,0,0,0,0,0,0,-0.0380594641359339,0,0
X601988.CH.EQUITY,0,0,0,0,0,-0.0399537303985197,0,0,0,0,0,-0.0369787792906126,0.969907643369942,0,0,0,0,-0.205456590331593,0,-0.16438783279049,-0.00449231918540686,0,0,0.309027380930783,0,0,0,0,0,0,-0.0316585906538706,-0.020646274257732,-0.0659889569671041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175581281888534,0,-0.0138882758611742,0,0.102814684700906,0,0
X601628.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.91427830755257,0,0,0,0,0,0,0,0,0,0.0997820240259794,0,0,0,0,0,0,0,0,-0.11307744937854,0,0,0,0,0,0.0795024242922302,0,0,0,-0.0827904958894332,0,-0.0562454793541961,0,0,0.016365138208328,0,0,0.0372705307899226,0,0.0570112090647048,0,0
X600036.CH.EQUITY,0,0.0154941004015825,0.419576785558415,0,0,0,0,0,0.0272298383508073,-0.0055527132694818,0,0,0,0,0,0.106959794181215,0,0,0,0.000416858282472425,0,0,0,0,0,0,0.194778030993458,0,0,0,0,0,0.108300716772552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0645378069263885,0,0,0,0,0,0,0,0.00156305830736602,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105951554103923,0,0,0.234943823182028,0,0.545349522484951,0.111634681926068,0.146698494947257,0,0,0,0,0,0,0,0,0,0,0.0953360914082703,0,0,-0.233398287835771,0,0,0,0,0,0.0927814905209074,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0813606433867484,0,0,0,0.139002265988322,0,0,0,0,0,0.257337404661665,0,0.129739037922091,0,0.226346838286352,0,0,0,0,0,0,0,0,0.0289906392624513,0,0,0,0,0,0,0.0936447753793922,-0.137888018132382,0,0,0,0,0,0,0.149230655254749,0,0.221443919129052
X388.HK.EQUITY,0,0,0,0,0,0.241347186026037,0,0,0,0,0,0,0,0.00301821263208019,0,0,0,0,-0.239686213179248,0,0,0,0,0,0,0.0291010179871745,0,0.373173225553813,0,0.0989201715395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199763356625804,0,0.0228080821498103,0,0,0.0794225151910677,-0.23591670575094,-0.0383549517792891,0,0
