,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0,0,0,0,0,0,0.13467922655473,0,0,0.291725566236803,0.191090764108229,0,0,0.143385722628092,0,0,0,0.0817622325440089,0.0336890997025706,0,0.0931330260230063,0,0,0,0,0,0,0,0,0,0,0,0.122203184622029,0,0,0,-0.366780806434058,0,0,0,0,0,0,0,0,0,0.00378360811199105,0,0,0
X601998.CH.EQUITY,0,0,0,0.281236952754587,0.127240209614029,0,0,0.0752085581391343,0,0,0.113439464980197,0.0634665980291037,0,0,0,0,0,0,0.0206827800561479,0,0,0.0765871854467271,0,-0.108599757200357,-0.0862891804508998,0,0,0,0,0,0,0,0,0,0,0.0836943424143146,0,0,0.111710099935774,-0.0670473163581208,0,0.0753692712518508,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0639380912971493,0,0,0.291738838054011,-0.190745796035766,0,0,0,0,0.333793203244774,0.126340615196324,0,0,0,0,0,0,0,0.0962000448837872,0,0,-0.105817007941045,0,0,0,0.237541932088343,-0.0623825402553105,-0.00505231810205802,0,0,0,0,0,0,0,-0.105343458912886,0,0,0.0851060850089784,0,0.130407847662645,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263462093113368,0,0.021780368239057,0,0.314270272734114,0,0.488041537978702,0.0233214757911853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159534536878293,0,0,0,-0.0978415730878394,0.338593737139971,0,0.0762729813134706
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00792140109073994,0.338838919419225,0,0,0,0,-8.67361737988404e-19,0.46964943264972,0,0,0,0,0,0,0,0,0.0215304345804424,0.0103682448042565,0,-0.184575882261,0,0,0,0,-0.184338557700028,0.0194313990434957,0.276192817957102,0.222485666100238,-0.0878918962352004,0,0,0,0,0,0,0,-0.165257986830171,0,0,0,0
X2891.TT.EQUITY,0.138730633579304,0.267888903342042,0,0,0,0,0,0,0.110722443973757,0,0,0,0,0.0787448666555433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28596657251627,3.46944695195361e-18,0,0,0,0,0,0.301621017710911,0.1070173723562,0,0.0152201387206346,0,-0.0668404997892287,0,0,0,0,0.107134971260986,0,0,0,0,0
X000166.CH.EQUITY,0,-0.0451904150077817,0,0,0,0,0,0,0,0,0,0,0,0.174934006270118,0,0,0,0,0,0,0,0,0.108498518640492,0.456994049635542,0.119153714870923,0,0.0428992844159895,0,0,0,0.15584893401867,0,0,0,0,0,0.0633634599851598,0,0,0,0,0,0,0,0,0,0,0,0,0.0419716614273767
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120109440527772,0,0.0194869210683984,0,0,0,0,0,0.112951309565449,0,0.359185443899498,0.245520259053535,0,0,0.0416393113871181,0,0.0582235771082378,0,0,0.00759771957568662,0.0707420634488545,0.0168249274480583,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,-0.112756729460246,0,0,0,0,0,0.178217878977293,0,0,0,0,0,0,0.00464365336235099,0,0,0,0,-0.0690596601004522,0.410968081390524,0.153730547392415,0,0.153397939098523,0,0.0297003291985386,0.202210257427569,0,0,0,0,0,0,0,0,0,-0.130423167880559,0,-0.0132889222732502,0,0,0.00310318952769705,0,0,0,-0.00558532500324843,0,0,0,0
X600999.CH.EQUITY,0,0,0.0735826996864461,0,0.107187770694727,0,-0.0369337306301853,0,0,0,0,0,0,0,0,0,0,0,0,0.118261226128841,0,0,0.15723512640255,0,0,0.379269162704084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098189714981954,0,0,0,0,0,-0.134170844973134,0,0,0,0
