,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.362551202971683,0,0,0,0.178023070120533,0,0,0.25730181974212,0,0,0,0,0,0,0,0.254353925122964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535430341184276,0,0,0,0,0,0,0,0,0,0.111497535276703
X601998.CH.EQUITY,0,0,0.0571549370378471,0.0131227409053303,0,0,0,0.434409049419668,0,0,0.136097562599976,0,0,0.167747691194757,0.14163419482965,0,0,0,0,0.0191488416872671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580668008035345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0.16543848743884,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.138376421792529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141129973599357,0.294861201175595,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647160713758966,0,0.538146283849197,0.302904498909153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203676385245621,0,0.0884812036451862,0,0,0,-0.224217943379627,0,0,0,0,0,0,0,0,0,0.0029750296931485
X2388.HK.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0135168850574555,0,0,0.367925155892727,0,0.0375899250279457,0,0.00262073507187502,0,0,0,0,0,0,0,0,0.128645548427935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408891591504966,0,0,0,0,0,0.0266222463177592
X5.HK.EQUITY,-0.340599866319141,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596945234889778,-0.823511678139564,0,0.127184408279278,0,0,0,0,0,0,0,0,0,0.359296238359562,0,0,0,0,0,0,0,0.243504322403771,-0.0371478135268513,0,0,0,0,0,0,0,0.814623965569404,0,0,0
X2886.TT.EQUITY,0,0,0,0.252012553155061,0,0,0,0,0,-0.0207758531747874,0,0,0,0,-0.330380135266281,0,0.261283443538488,0,0,0,0,0,0,0,-0.170065331380399,0,0,0,0,-0.0660341656558236,0,0,0,0,0,0.0212018389530247,0,0.660105895019236,0,0,0,0,-1.73472347597681e-18,0.200761225794073,0,0,0,0,0,0,0.15777086235759
X000166.CH.EQUITY,0,0,0.0407836292958602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175281371087465,0.0172218039317459,0,0,0,0.236016547348395,0.148653689555152,0.324275372231743,0.253885111159465,0,0.0068652952310922,0,0,0,0,0,0,0,0,0,0.0362161797879395,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0450284583823025,0,0,0,0,0,0,0.011146745509378,0,0,0,0,0,0.134291998672545,0,0,0.223380514322784,0.373880899772269,0,0,0.02779000378989,0.0895089619083841,0,0,0,0,0,0,0,0,0.0144956150829525,0,0,0,0,0,0,0,0,0.0056932490359877,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383089231590344,0,0,0,0,0.351598601893237,0.133492085089097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.054515599673517,0,0,0,0,0,0,0,0,0,0,0,0.00247328233451962,0,0,0.0156098194986613,0,0,0,0,0,0.371552069223527,0.033330258959593,0.00771160914682032,0,0,0.178805775546576,0.0956062099436566,0.295940795774522,0,0,0,0,0,0,0,-0.0617811106193883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
