,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601229.CH.EQUITY,0,0,0,0,0.0378539385280928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3144281489565,0,0,0,0,0.277063594811787,0,0,0,0,0,0,0,0,0,0,0,0.229490408038245,0,0,0,0.0508000300029384,0,0,0.0824612312644675,0,0,0,0,0,0,0.0274730017873142,0
X601288.CH.EQUITY,0,0,0,0,0,0.126490632326998,0,0,0.0462453774459673,0,0.162151853414796,0,0,0,0,0,0,0.0263303839643075,0,0.611350044283588,-0.00587288978631405,0,0,0,0,0,0,0,0,0,0.0960879548913169,0,0,0.0288206332960898,0,0,0,0,0,0,0,0,0,0.0231320772844461,-0.0800432690775682,0,0,0,0,0,0
X601328.CH.EQUITY,0,-0.0632279837543055,0,0,0,0,0,0,0,0,-0.0805123276614839,0,0,0,0.966057646815479,0,0,0,0,0,0,0.0187205994385419,0,0,0,0,-0.0426100476165969,0,0,0,0,0,0.0239640626943829,0,0,0,0,0,0,0,0,0,-0.0707852016146181,0,0,0,0.0322705409691982,0,0,0,0
X601398.CH.EQUITY,0,-0.058862378607996,0,0,0,0,0,0.148357277068384,0,0,0,0,0,0.736338655221372,0,0,0,0,0,0,0,0.041496198793182,0,0,0,0,0,0.0343412441337896,0.0244707021218766,0,-0.011615337290322,0,0,0,-0.0183961362178183,0,0,0,0,0,0,0,0,0,0,0,0.0733488982066733,0,0,0,-0.269103428031689
X601577.CH.EQUITY,0,0,0,0,0,0,0,0.32178465758949,0,0,0,0,0,0,0,0,0,0,0,-0.165678590110173,0,0,0,0.392488831980032,0.716469194547318,0,-0.0491967309424648,0,0,0,0,0,0,0,0.21385183126069,0,0,0.0388582484365738,0,0,0,0,-0.0521939198796017,0,0,0,0,0,0.032317851868463,0,0
X601818.CH.EQUITY,0,0.126542446687376,0,0.399201673045527,0,0,0,0.0884995092313456,0.164664676610133,0,0,1.38777878078145e-17,0.0298092505422975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503601936574312,0,0,0,0,0,-0.0108396633272049,0,0.173136924083057,0,0,0,0,0,0,0,0,0.099737913510151,0
X601838.CH.EQUITY,0,0.228762449602293,0.013977687825094,0,0,0,0,0.618581750221709,0.0536053117495535,0,0,0,0,0,0,0,0,0,0.0548768377605656,0,0,0,0,0,0,0,0,0,0,0,0,-0.097565183588126,-0.140818801282626,0,0,0,-0.0344703495524493,0,0,0,0,-0.0325973670129809,0,0.0928433670712914,0,-0.025576060130795,0,0,0,0,0
X601939.CH.EQUITY,0.136657535685308,0,0.0277460537514484,0,0,0,0,0,0.0969703920409917,0,0,0.258336901068859,0.189499145116965,0,0.0167771443372895,0.052621000109415,0,0,0,0,0,0.147146231036516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152605299318474,0.0466085682726894,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.130855023818178,-0.0182618419838806,0,0,0,0.768232443785302,0,0.0118251875465184,0,0,0,0,0,0,0,0.0222550295356663,0,0,-0.0283937143217518,0,0,0,0,0,-0.0266134905281466,0,0,0,0,0,0,0.0879932291470775,0,0.0275308104773627,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0.0436126975922553,0,0.0859196183202193,0,0,0,0,0,0,0,0.00771334183666723,0,0,0,0,0,0,0,0,0,0.0577400402806315,0,0,0,0,0,0,0,0,0.461649702017275,0,0,0,0.027709934603294,0,0,0,0,0,-0.101851674541664,0,0,0,0,0
