,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0,0,0,0,0.022163759070016,0.269956879668891,0,0,0,0.375916016439295,0.444477935716532,0,0,0,0.134774523481831,0,0,0,0,0,0,0.047400957639371,0,-0.0478545400672908,0,0,0,0,-0.0284132190994552,0,0.0927708707517493,0,0,0,-0.117023403073316,0,0,0,0,0,0,0,-0.275990933506319,-0.00830420518025011,0,0,0,0,0.0804577539674275
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.412242881573901,0,0,0,0.0704113272626162,0,0.592534177616263,0,0,0.126309940467421,0,0,0,0.0308735719205638,0.0258472179902668,0,0,0,0,0,0,0,0,0,0,0.00774183226915775,0,0,0,0,-0.0956943431497291,-0.106812867460783,0,0,0.0217489300282364,0,0,0.0693603735330052,-0.0171117657019033
X601577.CH.EQUITY,0,0,0,0.0920472005048833,0,0,0,0,0,0,0,0.0767578740859405,0,0,0,0,0,0,0,0,0.186282601313463,0,0.1312842242487,0.0914835122389675,0.225628507382671,-0.025188258187041,0,0,0,0,0,0,0.0300925849290899,0,0,0,0.21660630457367,0,0,0,0,0,0,0,0,0,0,-0.0617873831994971,0,-0.0362158866903348,0.0400937943141489
X601818.CH.EQUITY,0,0,0,0,0.510043459016855,0,0,0,0,0,0.139437128883195,0.0769480258871631,0,0,0,0,0,0,0.0492395087792409,0,0,0.0768136403156415,0,0,0.0826793283038424,0,0,0.0949648362957763,0,0,0,0,0,0,0,0,0,0.00153865453194988,0,0.085321039569067,0,0,0,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0.221520437143576,0,0,0,0,0.056898702937098,0.0865231071215524,0,0,0,0,0,0,0.133242233674643,-0.000194762756065333,0,0,0.0235336129872364,0.109707435454583,0,0,0.00787617024170306,0,0,0,0,-0.0835033329323686,0,0,0,0,0,0,0,0,0,0,0.0147934776957419,0,0,0,0,0,0,0,0,0,0.191972106903228,0,0
X601939.CH.EQUITY,0,0,0,0.0858768253355478,0,0,0,0,0,0,0,0,0.295953801074035,0,0.150048359112537,0,0.175455153674788,0.143619974128947,0,0.17173662679139,0,0,0.103677787382278,0,0,0,-0.0463808737475035,-0.047783309171354,0,0.00314128980248126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285523395581428,0,0,0,0,-0.0292156015079073
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.0063215799271854,0,0,0,0.499308367659047,0,0,0,0,0,0.281321881617025,0,0.0256494888337515,0.0744491113889265,0,0,0,0,0.25435806726791,0,0,0,0,0,0,-0.145003720475685,0,0,0,0,0,0,0,0.0781050537378637,0,0,0,-0.193315118158825,0,0,0,0.221007311250629,0
X601997.CH.EQUITY,0,0,0,0.122750746190872,0,0,0,0,0,0,0.147677686022323,0,0,0,0,0.170134900414269,0,0,0,0,0,0,0,0,0,0.0518644340257539,0.0672206391110694,0,0.0313759565099996,0,0,0,0.137935028040128,0,0,0,0,0,0.159087055204921,0,0,0.205784576815987,0,0,0,0,0,0,0,0.0530388591297871,0
X601998.CH.EQUITY,0,0.168000929280404,0,0,0,0.0398784139261251,0,0,0,0,0,0,0,0,0,0,0,0,0.0890117241170191,0.0759989328994819,0,0,0,0.395664850863293,0,0.154317743801699,0,0,0,0,0,0,0,-0.0608464931447509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0.122027346160669,-3.46944695195361e-18,0,0,0,0,0.13500246297373,0,0,0,0,0,0.0748973275780847,0.147016887727956,0,0.049048142652002,0,0.0973314734282973,0.0322991635348532,0,0,0,0,0.0506944383194297,0,0,0,0,0,0,0,0,0.0405417520747994,0,0,0,0,0,0,0,0,0,0,0.0422880620636356,0.0630923144839126,0,0,0,0.0796006517128904,0,0
