,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601998.CH.EQUITY,0,0,0,0,0,3.46944695195361e-18,0.580128061510792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501607834939764,0,0,0,0,0,0.0426249326347909,0,0,0,0,0,0.0689110768541367,0,0.251472979898355,0,0,0,0,0,0.0341594919723468,0,0,0,0.138261654248103,0.107739440247361,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.0254830762999358,0,0.130816438121866,0.157817440711681,0.300476329138347,0,0,0,0,0,0,0.0176950648767769,0.0836814968589822,0,0,0,0,0,0,0.0296069702378374,0,0,0,0.0300301922179669,0.0314854827430643,0,0,0,0,0.0773618826902125,0,0,0,0.175029728558262,0,-0.0469385872254752,0,0,0,0,0,0,0
X11.HK.EQUITY,0.293077485449526,0.0304533822094029,0,0,0,0,0,-0.0731234727417988,0,0,0,0,0,0,0,-0.22380481337897,0,0.337314370186366,0.407010740352795,0,0.104806343877706,0.0923526446152537,0,0,0,0,0.195845752918274,0,0,0,0,0,-0.288774995520341,0,0,0,0,0.0424002248635992,6.93889390390723e-18,0,-0.0940913684741,0,0.045839792925618,0,0,0,0,0.00287627628909393,0,0,0
X2388.HK.EQUITY,0,0,0.0166290279881333,0,0,0,0,0,0,0,1.38777878078145e-17,0.358737684657294,0,0,0,0,0,0,0.158478042721585,0,0,0,0,0,0,0,-0.147303146284869,0,0,0,0,0,0,0,0,0,0,0.111408268030748,0,0,-0.169821549527705,0,-0.162430321530534,0,0,0.242187615523967,-0.171924116693699,0.128296764617368,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.192964565027102,0,0.11664179828142,0,0,0,0,0,0,0,0,0.301489957290279,0.0404029138792944,0,0,0,0,0,-8.67361737988404e-19,-0.151747365600259,0,0,0,0,0,0,0,0,0,-0.0470303777433891,0,0,0.0557366443356478,0.306844145410162,0,0,0,0,0.0920141566306183,0,0,0,0.0659923154982489,0.0817577850821739,0.01906850094366,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0416396521635553,0,0,0.13548842052663,0,0,0,0,0.0334863233027772,0.0814526174580271,0,0,0,0.0750287833007366,0,0.332722489665074,0.16156259159552,0.162109021510904,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.160605345561838,0,0,0,0,0,0,0,0,0,0,0.288980558682932,0,0,0,0,0.195250150071105,0,0,0,0,0.156292347074884,0.0434080489849506,0,0,0.0116381876566908,0,0,0,0.227086585627393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0.0833850605623087,0,0,0,0,0.063614020989612,0,0,0.0723747387513757,0,0,0,0,0,0,-0.00651397843414451,0,0,0.339020399431721,0,0,0,0.0753184294726864,0,0.0883267202405645,0.128546018232007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144560745790197,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0.0194949248311121,0,0,0,0,0,0,0,0,0,0,0,0,0.0531006985753026,0,0,0,0,0,0,0.582743199197239,0.113292523812242,0.0591579303595366,0,0,-0.0202946375189151,0,0,0,0,0,0,0,0,0,0,0,-0.0289248177372662,0,-0.0210488540383959,0,0,-0.00686623625395323
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00400357936387518,0,0,0,0,0,0,0,0,0,0,0,0.236233887182923,-8.67361737988404e-19,0,-1.0842021724855e-19,0.0648571088485842,0.447464561186468,0,0.00748146919913409,0.231708917376495,0.0534354552745444,0,0.0736603515932804,0,0,0.0196954995714145,0,0,0,0,0,0,0,0,-0.0231428977878663,0,0,0,0,0,0
