,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.602929860821824,0,0.0203055059166008,0,0,0,0,0,0,0.0991768437005518,0,0,0,0,0,0,0.121002114696948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196835831735947,0,0,0,0.0778582795442904,0,0.046187619729709,-0.00130724570012095,0,0,-0.011684540438064,0,0.0412588636481878,-0.0407328091187786,-0.0118046416506158,0
X601318.CH.EQUITY,0,0,0,0.118779230631565,0,0,0,0,0.0589417516306569,0,0,0,0,0,0,0,0,0,0.231198674186568,0,0,0,0,0,0,0.0383219200029773,0,0,0.0410755488968616,0,0,0,0.114086045599073,0,0,0,0,0,0,0.194654411885665,0.0755979968753783,0,0,0,0,0,0.0784581305715875,0,0,0,0
X601939.CH.EQUITY,0.15159022666544,0,0,0.293325317227422,0,0.269425207626089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750192998162027,0,0,0,0.0863240031337954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584194826121236,0,0,0,0
X601288.CH.EQUITY,0.192032424248644,0,0.22242445310637,0,0,0.0393753284678778,0,0,0,0,0,0,0,0,0,0,0,0,0.108636448746884,0,0,0,0,0,0,0.114859876280657,0,0.0928140513881688,0,0,0,0,0,0,0,0,0,0,0,0.118399403004004,0,0,0.0466428892944185,0,0,0,0,0,0,0,-0.0901124182934278
X5.HK.EQUITY,0,0.0276430039872173,0,0,0,0,0,0.44218691990772,0,0,0,0,0,0.0320314657612505,0.111077029876365,0,0.160959331545831,0.0918719035406559,0,0,0,0,0,0,0.159643853545078,0,0,0,0,0.120044543631064,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.675363450460077,0,0,-0.135644799347835,-0.174128370079757,0
X601988.CH.EQUITY,0.0735266684987925,0,0.0793661988129485,0,0.011559503679371,0,0,0,0,0,0,0.0533388727672791,0,0,0,0,0,0,0,0,0,0,0.600482513404875,0.0123018082304519,0,0,0,0,0,0.114287987948932,0,0,0,0,0,0,0,0,0,0.0912193672000328,0,0,0,0,0,0,0,0,0,-0.0972583280832962,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0294888573709801,0,0,0,-0.0212593610489372,0,0,0,0,0,0.0749157981202318,0,0,0,0,0,0,0.686669676756215,0,0,0.0273162672142377,0.0977364091471292,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0714865836839589,0,0,0.0493995291747974,0,0,0,0,0,-0.00672313367429342
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0431088837523937,0,0,0,0,0.261310638504596,0,0,0.170863855095935,0,0,0,0,0.0715717239397535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.215910699554058,0,0,0,0,0.030677133519426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492914679613089,0,0,0,0,0,0,0,0,0,0,0.399722872374537,0,0,0,0.233254419815465,0.0293862181023692,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0675975893490398,0,0,0,0.14084278369683,0,0,0,0,0,0,0.206909044852991,0,0,0,0,0,0,0,0.240684511973418,0,0,0,0,0,0,0.0772797155920371,0,0,0.00353088247991433,0.0355638484343596,-0.00736997298436886,0,0,0.0116153478958774,0,0,0.23737698863082,0,0,0,0,0.0335520543527184,0,0,0.0140404681055938,0,0,0
X601166.CH.EQUITY,0.02888348266452,0,0.21834233334649,0,0,0,0.164660223441107,0,0,0.0815476298904211,0,0.00456804007104161,0,0.187030783169825,0,0,0,0,0,0,0,0,0,0,0,0.0889062593548909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969142957436662,0,0,0,0,0,0,-0.0468032145673732,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.251436150451441,0,0,0,0,0,0,0,0,0.185188728176647,0.206110820929964,0.150823885387373,0,0.0754478423675018,0,0,0,0,0,0.147950351093896,0,-0.166753332532666,0,0.00815039660124143,0,0,0.211325531052599,0,0,0,0,0,0,0,0,-0.0383196695849403,0,0.0604304774384632,0,0,0.042031443537518,0,0,0.0142907319229753
X16.HK.EQUITY,0,0,0,0,0,0,0,0,-0.203706651377482,0,-1.38777878078145e-17,-0.0859063915963825,0,0,0,0,0,0,0,0,0,-0.112028758277201,0,0,0,0,0.170427864376611,0,0,0.100257991071248,0.119244828476294,0.315635837821151,0,0.315998561369904,0,-0.0459533817366745,0,0,0.0785679458284231,0,0,0,0,0,0,0.153199311087266,0,0,0,0,0
