,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.287906299795529,0.0220246272441021,0.0336820189537771,0,0,0.435610625877313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101669425865645,0,0.0426344137160864,0,0,0,0,0,0,0,0,0,0,0.0794916293628767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.221776031789005,0,0,0,0,0,0.189602779008837,0,0,0,0,0,0.107157265379686,0,0,0.0850702074177647,0,0,0.124083424448513,0,0,0,0,0,0,0,0,0,0.0135393624863442,0,0,0,0,0,0,0.0620728650545341,0,0,0,0,0,0,0,0,0,0.0031350623993102,0,0,0,-0.15353724508318
X601939.CH.EQUITY,0.446855401517994,0.330170593340465,0,0,0,0,0.039241479435396,0.313126013700807,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188030708158599,0,0,0,0,0,0,0.0470909955667218,-0.0463473112932142,0,0,0.0752193402047652,0,0,0,0,0,0,0,-0.136309579556673,0,0,0,0,0,0,0,0,0.0483160190559677,-0.0804976437780542,0
X600036.CH.EQUITY,0,0,0,0,0,0.189332942989938,0.0286985456084597,0.142638996967418,0,0,0,-0.114100310641058,0.155739997513378,0,0,0.0499121652054041,0,0,0,0.0441135614559883,0,0,0,0,0.0566166401444413,0,0.082185447776207,0,0.109811066621244,0.0162609193291502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376080966231237,0,0
X601288.CH.EQUITY,0,0,0.00992156163152379,0,0,0,0.0616410449840709,0.47172259032847,0,0,-0.076910782844944,0.128396181503041,0,0,0.0557562929734994,0,0,0,0,0,0,0,0,0,0.0241798894808883,0,0,0,0.0553788896600119,0,0,0,0.0285726203623474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576267738804742,0.0878917773527635,0,0,0.0281324437634876
X1299.HK.EQUITY,0,0,-0.209025307390983,0,0,0,0,0,0,0,0.107271210089701,0,0,0,0,0,0,0,0,0.0198629238971849,0,0,0.112478167152216,0,0,0,0,0,0,0,0,0,0.172889908628018,0,1.73472347597681e-18,0,0,0,0.0955110041656548,0,0.162367013569824,0.0669409070422884,0.296632662282739,0,0,0,0.295790167272771,0,0,0,0,0
X601628.CH.EQUITY,0.0495057253100997,0,0,-0.0131951676987482,0,0,0,0,0,0,0.00910149304320973,0,-0.0940698480592803,0,0,-0.227632498074382,0,0,0,0,0,0.186698933663057,0,0,0,0.137831961120811,-0.0653494891992656,0,0,0,0,0,0,0.0741631402941339,0.564299679340814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546773546783862,0
X601988.CH.EQUITY,0.0494858361652701,0,0.090685773734137,0,0.358088014698528,0,0,0,0,0,0,0,0.213201324861428,0,0,0,0.141719494948605,0,0.0199079260801359,0,0,0,0.0116886237760096,0,0.0251822427175483,0,0,0,0,0,0.12267440893755,0,0,0,0,0,0,0,0,0,0,0,0.00843835303850162,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123347479111541,0,0,0,0,0,0,0,0,0,0,0.00283287670990103,-0.0944588234082574,0,0,0,0,0,0,0.233926549005781,0,0.190202554292153,0.140196352165631,0,0,0,0,0,0,0,0,0.060022529595269,0,0,0,0,0,0.19779251887085,-0.0632335776559559,0.062052870454036,0,0.257962280792497,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0480280059981256,0.060486406493745,0,0,0,0,0,0,0,0.0722335686794787,0.145932253938935,0,0,0.080626206878539,0,0,0,0,0,0,0,0,0,0,0.159023992918584,0,0.384975703531569,0,0,0,0,0,0.0289266638479772,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
