,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X601155.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.313532139187691,0.148072600021515,0,0.31475960972286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110501729063497,0,0,0,0.0677632229289789,0.00411209877469434,0,-4.33680868994202e-19,0.0540877549555179,0.0421650557680877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0804416050171855,0,0,0,0,0.149972599672323,0,0,0.0703240712809137,0,0.275111042773995,0,0.123978523212057,0.118992896733238,0,0,0.182618545836296,0,0,0.0505467030968198,0,0,0,0,0,0,0,0,0.0495815147202997,0,0,0,0,0,0.0596086976559322,0,0,0,0,-0.0234198157009288,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.164095897325799,0,0,0,0,0,0.119690906186157,0,0,0,0.0893656012874067,0,0,0,0,0,0,0,0,0.0742999377893375,0.148573266639304,0,0.044785481476845,0.00532660698230341,0,0,0,0,0,0,0,0,-0.138474379626614,0,0.0408225392378331,0,0,0,-0.0839899156851028,0,0,0,0,0.290877857632193,0,-0.062761729714109,0
X601939.CH.EQUITY,0.659736687557859,0.0183815978175595,0,0,0,0,0,0,0.203352300909185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911080244378205,0,-0.0546540934376733,0,0,0,0,0,0,0.143617775691063,0.0319012053424405,0,0,0,0,0,0,0,0,0,0,0.127464600510828,0,0,0
X601288.CH.EQUITY,0,0,0,0.0943220811288934,0,0,0.455408476987721,0,0,0,0.0930914930782019,0,-8.67361737988404e-19,0,0,0,0,0.0842119623353337,0,0,0,0.074031924754229,0,0,0.11693841029422,0,0,0,0,0,0,0,0.12266757127679,0,0,0,-0.0642594965881677,0,0,0,0,0,0.0918871777729034,0,0.0178308674971561,0,0,0,0,-0.00236055866499028,0,0.0174780976552891
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0684169021698409,0,-2.16840434497101e-19,0.316309671986233,0,0,0,0,0.0493311227472623,0,0,0,0,0,0.096776281446729,0,0,0,0,0,0.0191351932284168,0,0,0.0198596401650356,0,0,0.0524030725590119,0,0,0,0,0.0322484744584622,0,0.22943117930787,0.236625362548746,0,0,0,0,0,0,0.0412052260829079,0,0,0,0.160796815826121
X601988.CH.EQUITY,0.0540890689700578,0,0,0,0.517495173210729,0,0,0,0,0,0,-0.109316961971816,0,0.0713230504237472,0,0,0,0,0.230639875548023,0,0,0,0,0,0.0268105124613001,0,0,0,0,0,0,0,-0.179058028358578,0,0,0,0,0,0,0.0581084567630964,0,0,0,0,0,0.0267079475601492,0,0,0,0,0,0.00578277665716759
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.165775005534439,0,0,0,0,0,0,0,0,0.215126073281784,0,0,0.143686518090151,0,0,0,0,0,0,0,-0.0229402207039501,0,-0.0162172578276985,-0.172214540286834,0,0.110196142722503,-1.73472347597681e-18,0,0,0.347323070902104,0,0,0,0,0,0,0,0,0.111567476583327,0,0,0,0
X5.HK.EQUITY,0,0.222022008086972,0,0.12752611427252,0,0,0,0,0,-0.0587384709623607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257918151128847,0,0,0.0963454214022904,0,0,0,0,0,0,0,0,0,0,0.167227390582948,0,0,0,0,0,0,0.142035215607291,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971748645585296,0,0,0.318998048727908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031805448983419,0,-0.204580155813391,-0.15044379478025,0,0,-0.150321256411682,0,0,0,0,0,0,0.137554377634426,0.18093355452921,0,0.051810575408155,0,0,0,-0.480841573788919,0
