,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.34403607665625,0,0,0,0,0,0,0,0,0,0.0344842821855128,0,0,0,0,0,0,0,0.0728393968248011,0.0880139000724643,0,0,0,0,0,0,0,0.0753848975468392,0,0,0,0,0,0.0984712986711873,0,0,0,0,-0.00604145823031748,0.0559082049673899,0,0.0382565429698733,0,0,0,0,4.33680868994202e-19,0
X601318.CH.EQUITY,0,0,0.0595005492910882,0.03988366582409,0,0,0,0,0.133676682808934,0,0,0,0.0368123667089113,0,0,0.0698151223497511,0,0.0521481154146492,0,0.213616523430405,-0.011094252184786,0.0741376926125195,0,0,0,0,0,0.0220748814420404,0,0,0.124909966499763,0.0385023087389882,0,0,0,0,0,0.133326989854488,0,0,0,0,0,0,0,0,0,0,0,0.0524370588283171,0,-0.039520031261739
X601939.CH.EQUITY,0,0,0,0,0.0944292230243742,0,-0.030153753347701,0,0,0,0.0974130451243214,0,0,0,0,0,0,0,0,0,0.00806134994262381,0,0.619534062926108,0,0,0.151636591059071,0,0.0992802358889675,0.0183062851231521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0920535966619184,0,0,0,0,0.206923392781926,0.0983927115237617,0,0,0,0,0.158453770269985,0,0.04897031541787,0,0,0,0,0,0,0,0.259597562020093,0.217450092292824,0,0,0.0307281538428874,0,0,0.0455327036676313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.138875539515535,0,0,0.0737013349636355,0,0.395833416930551,0,0,0,0,0,0,0,0.0631971874844778,0,0,0,0,0,0,0,0,0,0,0,0,0.151666625197112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250502257810706,0,0,-0.0716981942464448,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161973904953232,0,0,0,0.0382777971841544,0,0,0.164260736738587,0,-0.131410011425024,0,0,0,0,0,0,0,0,0,0.628159315944343,0,0,0,0,0,0,0,0,0,0.0789510415527858,0,0,0,0,0,0,-0.0191915196970749,0
X1299.HK.EQUITY,0,0,-0.129851422237352,0,0,0,0,0,0,0,0,0.127370154547185,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0852282579046629,0,0,0,0.128406713296782,0,0.0392916632215378,1.73472347597681e-18,0,0,0,0,0,0.168366614443009,0,0.0462126580144501,0.278493204783346,0.0912418336976858,0.15746085090361,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.158711529668098,0.760867996037771,0,0,0,0,0,0,0,0.0131341812919508,0,0,0,0,0,0,0,0.090416003068967,0,0,0.15363050119744,0,0,0,0,0,0,0.101356458431053,-0.132501729300982,0.0290315723607855,0,-0.00680305686778392,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00938510116114749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131356158966667,0,0,0,0,0.0846667052890913,0,0.176220599717102,0.0153602647894464,0,0,0,0,0,0,0,0,0,0,0,0.33739116106833,0,0,0.162192979001675,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0915079695058243,0,0,0,0,0,0,0.112137900677738,0,0.147633920158721,0,0.0651819659701652,0,0,0,0,0,0,0,0,0.158909639533937,0,0,0,0,0.376793576437845,0,0,0,0,0.0159327762055195,0,0,0,0,0,0,0,0,0,0,0,-0.0174889899856838,0,0,0,0,0,0.0741578630646856
