,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.2055196009799,0,0.0734746962856087,0,0,0,0,0.282182756633142,0.0559704066299421,-1.38777878078145e-17,0,0,0,0,0,0,0.16814704228399,0,0,0,0,-0.00416622973325081,0,0,0,0,0,0,0,0.124317897168676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370151309643484,-2.16840434497101e-19,0,0,0,0.016384013489087,0,0
X601939.CH.EQUITY,0.458471906738346,0,0,0.0178420980045731,0,0,-0.0321380673887199,0,0,0,0.191766579327878,0,0.228187747504879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862106632335906,0,0,0,0,0,0,0,0,0,0.00018562777494188,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0,0,0,0
X601288.CH.EQUITY,0.424680111890286,0,0.0178030378024197,0,0.209104201561399,0,0,0,0,0,0,0,0.016307219539156,0,0,0,0,0,0,0.0720828867489558,0.119484065219471,0.0417481616288508,0,0,0,0,0,0,0,0,0.0183722201630616,0,0,0,0,0,0,0,0,0,0.0307598796473454,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0586110753828533,0,0.228702744507547,0,0,0,0,0,0,0.162959167580241,0.223917360474936,0.125250333246206,0.0828236710703813,0,0,0.0248364014628664,0,0,0.0555657673354522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565042211346792,0,0,0,0,0,0,0,0,0,0,-0.0942151349052205,0,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0,0,0,0
X5.HK.EQUITY,0,-0.295290716160487,0,-0.062126928971842,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,1.30391425329001,-0.856276311439082,0.0902646849867507,0,-0.0173823903754959,0.367458704320649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429371825350809,0,0,0,0,0,0,0,0,0.120227317671384,-0.0671146251171882,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.147082164059747,-6.93889390390723e-18,0,0,0,0,0.0896155653116527,0,-6.93889390390723e-18,0.186060017449011,0.116843433812749,0,0,0,0.163600637055333,0,0,0,0.0394886939193496,0,0,0,0,0,0,0,0,0,0,0.0327969465473074,0,0,0,0,0,0,0,0,0,0.0505435087891979,0,0
X601658.CH.Equity,0,0,0,0.286592638716294,0,0,0,0.124935761235837,0,0,0,0,0,0,-0.222786824240173,0,0,0,0,0,0,0,0,0,0,0,0,-0.184404241735038,-0.0271399659501643,0.871226245138689,0,0,0,0,0,0,0,0,0,0,0,-0.113284688140365,0,0,0,0.602829643262512,0.0124819569300785,0,0,-0.151435539838948,0,0,0.202549059210526
