,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.152701348805656,0,0,0.00386484220357714,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994304721872283,0.358696143174651,0.0892272776816912,0,0,0,0,-0.11193443309006,0,0,0,0.190909542828974,-0.206000146434004,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170014578474679,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0789637464058978,0.0168105016170553,0.0606594659176853,0,0,0,0,0,0,0,0,0,0,0,0,0.299743396995598,0,0,0,0,0,0,0,0,0,0,0.150521051936486,0,0,0,0,0,0,0,0,0.317517062115042,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.876351893735705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604571631390188,0,0,0,0.0307464787202018,0,0,0,0,-0.103086593065395,0,0.0885575067962641,0,0,0,0,0,0,-0.013108102350889,0,0,0,0.0550654709684115,0,-0.0635522003633142,0,0,0.0405488814246406,0,0,0,0.0698120509363153,0.00104288728212051,-0.00864596044599327
X601288.CH.EQUITY,0.0242262495826859,0,0.756851608889576,0,0,0,0,0,0,0,0,-0.0454217180209602,0,0.25963285202679,0,0,0.00754128246475424,0.122747490998661,-0.0105421014774216,0,0,0,0,0,-0.103693592385264,0,0.0382346260576426,0,0,0,0,0,0,0,-0.0622676605242608,0,-0.104329534547608,0,0,0,0,-0.0417978928068942,0,0,0,0,0,0,0,0,-0.0244117133121818,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.539626417340329,0,0.28493074620327,0,0,0.115406690535341,0,0,0,0,0,0,0,0.0468465830664156,0,0,0.0267335780178801,0,0,0,0,0,0,0,0,0,-0.0914962844451889,0,0,0,0,0,0,0,0.0906531810924094,0,0,0,0,0,0,0.100009177101202,0
X601628.CH.EQUITY,0,0.0419006394712184,1.73472347597681e-18,0,0,0,0.294224673855224,-3.46944695195361e-18,0,-0.0541148186760892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196966926262327,0,0.127968160706694,0.0589548176986293,0,0,0,0,0.0639681853795007,0.102332430975722,0.0811864741252724,-6.93889390390723e-18,0,0
X600036.CH.EQUITY,0,0,0.37380920649854,0.0571921627696404,0,0,0,0.0923968484028119,0.0717445238779808,-0.0505175730407687,0,0,0,0,0.120309314903304,0,0,0,0,0.0247350041884626,0,0,0,0,0,0,0.0652619591525561,0,0,-0.023921975669248,0,0,0,0.243924456335242,0,0,0,0,0,0,0,-0.0621851442825423,0,0,0,0,0,0.0507230569274856,0,0,0.0880656970048582,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0857358579328039,0,0,0,0,0,0,0,0,0,0,0.0348752481005171,0,0,0,0,0.18329234068649,0,-0.0613339663240865,0,0,0,0,0.165333615781253,0,0,0,0,0,0,0,0,0.0383013379758366,0.0229922664412987,0,0,0.17574997741432,0.116697078871562,0,0,0,0,0.443764308498671,0,0,0.0840032328774936,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.146841466797699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415927590122096,0,0,0,0,0,0.936202317938076,-0.452520986395139,0,0,0,0.676572878469515,0,0,0,0,0,0.137560838764076,-0.2296805313124,0,0,0,0,0,0.0548044056084603,0.104076707070185,0,0,0,0.121088929818586,0,0.219078082857194,0,0.103904936960143
X388.HK.EQUITY,0,0.23671409365555,0,0,0.0472585790135793,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.00325193516684798,0,0,0,-0.278516724241108,0,0,0.232816116943478,0.502071712192768,0,0,0,0.0166597799685943,-0.0776641689432773,0,0,0,0,0,0.14923680808601,0,0,0.0605123998572396,0.268139044762983,0,0,0,0,-0.347403154627276,-0.049470515687005,-0.0414250053579741,0,0,0,0,0,0,0,0
