,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.153666323720581,-1.38777878078145e-17,0,0,0,0,0,-0.0164151217734985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28634318318468,0.426278003581107,0.225877627908643,-0.188251651768664,0,0,-0.0493041656860967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.303746334116709,0,0,0,-0.0696703160880339,0,0,0,0.00386729442934153,0,0,0,0.0481934637632038,0,0,0,0,0,0,0,0,0,0,0,0.0529157063127328,0.113692397110676,0,0,0,0,0.241658371066362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618950078664734,0
X601939.CH.EQUITY,0,0,0,0.769482473273284,0,0,0.0112305342319,0,0,0.00364760210088261,0,0.024647262997047,-0.00991522952553595,0,0,0,0,0.142520275382653,0.0760711271919559,0,0,0,0,0,0,0,0.00163007959545328,0,0.0281587782053915,0,0.057140789789957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.902500398978717,0,-0.0481423839606958,0,0,-0.00893455175334339,0,0,0,0,0,0,0.0265981207804715,0.0322569193849906,0,0,0.104906192202951,0,0,0,0,0,0,0,0,0,0.036780152293467,0,0,0,0,0,0,0,0,0,0,-0.084445142368478,-0.118456559001042,0,0,0,0,0.0252743310778068,-0.00960493939539997,0,0,0.0266641420640099,-0.0398863128159123,0,0
X601628.CH.EQUITY,0.0114349229064785,0,0,0,0,0,0,0,0,0.292693891190533,0.214418907222205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347423609919519,0,0,0,0,-1.73472347597681e-18,0,0,0,0.56008881504187,0,0,0,0,0,0,0,0.0423144553466571,0.205948146585085,0,0,0,0,0.114369499043731,0
X600036.CH.EQUITY,0,0,0,0.353540210942774,0,0,0,0,0.0530344337260896,0,0,0,0,0,0,0,0.137349030851541,0.0529112476190316,0,0,4.33680868994202e-19,0,0,0,0,0.128314308950725,0,0,0.096187385260098,0,0,0,0.0445777308816192,0,0,0,0,0.0161314759518016,0,0,0,0,0,0.00681467458587652,0.0115768974692652,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0146607307119868,-0.127756909767094,0.0603709394879165,0,0.0522324236227595,0,0,-0.0222761885150281,0,0,0,0,0,0,0,0,-0.0311949520905177,0,0,-0.0154897878944311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978043912171436,0,0,0,0,0,0,0,1.04730888084687,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0732181072370368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364595187018211,0,0,0,0,0,0,0,0,0,0.258859096403352,0.0970891070982645,0,8.67361737988404e-19,0,0,0,8.67361737988404e-19,0,0,0.0469399858383185,0,0,0,0.0879710673771819,0,0,0,0,0.0780653648779126,-0.00336961010068936
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177712520129479,0,0,0,-0.0238757489711825,0.401630440716576,0.182877611386532,0,0,0,0,0,0,0,0,-0.0411416889654704,0.108377320009488,0,0,0,0,0.0858191664197787,0,0,-0.126882535477378,0,0,-0.218422137228238,0.186312116552227,0,0.021185117467719
X388.HK.EQUITY,0,0,-0.187914018112134,0,0.217788979208059,0,0,0.0618651068754497,0,0,0,0,0,0,0,0.0652563516612144,0,0,0,0,0,0,0.435856230221904,0,0,0,0.112187955257587,-0.0305336003499035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140050490989485,0,0.0910322755789597,0,0,0,0,-0.0561409246588089,0.29600501721104,0
