,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.313724239245415,0,0,0.0835518824865746,0,0,0,0,0,0,0,0,0.0291066331987317,0,0,0,0,-0.0815623230717386,0,0,0,0,0,0,0,0,0,-0.0238318447045389,0,0,0,0.161081967574348,0,0,0,0.00343127879589116,0,0,0,0,0,0,0,0,0.260714626241789,0,0,-0.0566839678053962,0,0
X601318.CH.EQUITY,0,0,0,0,0.014955575868071,0,0,0,0.147969561621466,0,0.0541712999306185,0,0.103431286757807,0,0,0,0,0,0.217966777554952,0.234828566439473,0,0,0,0,0,0,0,-0.0184977701076282,0,0,0,0.0798284687459596,0,0,0,0,0,0.0512633073378386,0,0,0,0,0,0,0.0131812264543538,0,0,0,0,0,0,0.0772427651832434,-0.00552551246936335
X601939.CH.EQUITY,0,0,0,0.339103278237086,0,0,0,0,0,0,0.0100544302251748,0,0,-0.134992602232471,0,0,0,0,0,0,0,0,0.743162995102196,0,-0.0723597858061075,-0.0972212186553787,0,0,0,0,0,0.00894992105047643,0,0,0,0,0,0,0,-0.0999043802196521,0,0,0,0,0,0,0,0,0,0,0,0.0463235594955429,0.101935837060906
X601288.CH.EQUITY,0.178512997221322,0,0.100381298231199,0,0.0671695753758563,0,0.286238218835517,-0.0340921634760975,0,0,0,0,0,0,-0.0142114964501835,0.168009608762418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773435936193215,0,0,0,0,0,0,0,0.193970797495721,0,0,0,0,0,0.0550293377713015,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.10411605263554,0,0,0,0,0,0,0,0,0,0,0,0.14689897555028,0,0,0,0.110765208917998,0,0,0.259698001574032,-0.0711999481052555,0,0,0,0.071150576099315,0,0,0,0.414981744057036,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777949793187177,-0.112441704745455
X600036.CH.EQUITY,0,0.201653583116574,0,0,0.0915726120714481,0,0.0799462077880179,0,0,0,0,0,0.213267273456239,0,0,0,0,0,0,0,0,0,0,0.316974255433089,0,0,0,0,0,0,0.138876720366827,0,0,0,0,0,0,0,0.0473650436993469,0,0,0,0,0,0,0,0.0308654805119735,0,-0.062277140550314,0,0,0.0111085472617125,0
X601988.CH.EQUITY,0,0.00194967422860394,0,0,0,0.342833011719745,0,0,0,0,0,0,0,0,0,0.464569473598657,0,0,0,0,0.0341553489000853,0,0,0,0,0,0,0,0,0,0,0.136499930111244,0,-0.0882171948013785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203243671382372
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.330158630559571,0,0,0,0,0,0,0.0530157154145154,0,0,0,0,0,0,0,0,0,0.056799958537982,0.0466760842395224,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0537149900835334,0,0.154168484312407,0,0.119843979941042,0,-0.0373409726338266,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045683241373283,0,0,0,0,0,0.0945568548759821,0,0,0,0,0.595417856894998,0.0500620764363212,0,0,0.0604172090956093,0.0526946534193088,0,0,0,0,0,0,0,0,0.180979886244325,0,-0.106708675851852,0.0978993878572575,0.0519437377427567,0,0,0.12030535794435,0,0.171302933049305,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.153709475304351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00829985883283956,0.468428075810083,0.0743244023547753,0,0,0,0,0.124466236272544,0,0,0.218280683391313,0,0,0,0.0885951378801918,0,0.046226390054227,0,0,0,-0.207562794385742,0,0.0790331509832888,0.121132896171891,0,0,0,0.0734962363864695,0,0
X601658.CH.Equity,0.253713169873611,0.125005931085637,0,0,0,0,0,0,0,0,0,0,0.142521136907064,0,0,0.23946982073097,0,0,0,0,0,0,0.00288066941527389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058041009578076,0,0,0,-0.0373044884187689,0.11008609163719,0,0.0387226741032577,0,0,0.0533332550382522,0,0,0,0
