,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.379191934011192,0,0.0217858197800554,0,0,0,0.0279554210217459,0,0,0,0,0,0.0953051027598809,0.149112401154552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0781923549120377,0,0,0,0,0,0,0.035590646018951,0,0.00504638065095601,-0.000577933272343628,0,0.0389988504105249,0,-0.0882547146016041,0,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0,-0.0111088400557352,0,0,0,0,0.171692576128344,0,0,0,3.46944695195361e-18,0.328468277172216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20152502351876,0,0.0505651544375774,0,0,0,0,0,0.00331080715501133,0,0,0,0,0,-4.33680868994202e-19,0,0.144205040984453,0
X601939.CH.EQUITY,0,0,0,0,0.681193623389796,0,0,0,0,0.0136564816285224,0.242739034019923,0,0,0,0,0.0755727459180233,0,0,0,0.00130645519916219,0,0,0,0.019600484388759,0,0,0.022885608388028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461876445271314,0,0,0,0,0,0,0,0,0,0,0,0.0285319071799402
X601628.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.160333716057287,0,0.0669372241095604,0,0,0,0,0,0,0.335275844267697,0,0,0.196744967114477,0,0.0888626418345242,0,0,-0.00443348418740184,0,0,0,0,0,0.160792786387722,0.0343862819065455,0.0767435546430878,0,0,0,0,0,0,0,0,0,0,0,0.150681103210552,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.962266926579661,0,0,0,0,-0.0707618357404899,0,0,0.0715827498802897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0196058491222036,-0.047465789776006,0,0,0,0,0,0,0,-0.0170308579320716,0,0
X600036.CH.EQUITY,0,0.228066857431973,0.0740172246268275,0,0.159018818728378,0,0,0.0961261488668679,0,0,0,0,0,0,0.255796726690446,0,0,0.0865655355157485,0,0,0,0,0,0,0,0.203707078807708,0,0,0.0558058014978936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.144533857449628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603413885006414,0,0.0245892484306626,0,0,0,0,0,0,0,0,0,0,-0.0514099410816611,-0.0255507798197436,0,0,0,0,0,0,0,0,-0.0853392776015342,0,0,0,-0.0905286731508463,0.908001432037122,0,-0.0554989499018248,0,0
X1299.HK.EQUITY,0,0,-0.0821619122347417,0,0,0,0,0,0,0.193169595595325,0,0,0,0,0,0,0,0,0,0,0,0,0.214192807171769,0,0,0.10952083255238,0.12100749531681,0,0,-0.0445380447734754,0,0,0,0,0,0,0.0133224737020805,0,0,0,0.0213182164759923,0.0818418107655444,0,0.159781956679461,-0.0272925111017872,0,0,0.143093376232405,0,0,0,-0.0624460862312989,-0.186328974204659
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.225306608342988,0,0,0,0,0,-0.0474442972871841,0,0,0,0,0,0,0,0.0826465706079794,0.345561799790945,0,0.126031980781945,0,0,0,0,-0.0545463075448165,0,0,0.0917883550847154,0,0,-0.048666225322866,0.14721933883796,0,0.313555483439594,0.0339103146837497,0,0,0,0,0.0682695461568628,0,0,0
X388.HK.EQUITY,0,0.0978032477092745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161167582042396,0,0,0,0.103694867063805,0,0.0552986495265865,0,0,0,0,0,0,0.110904703178208,0,0,0.096572260282437,0,0,0,0.178413234997301,0.117167625610718,0.210245641054592,0,0,0,-0.260631793419892,0,0,0,0.30204992254298,1.38777878078145e-17,0,0,0,0.0321811377524258,0
