,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.36091863394049,0,0.310468443139295,0,0,0,0,0,0.0477115945473207,0,0,0,0,0.0513307876700444,0,0,0,0,-0.0444503369597632,0,0,0,0,0,0,0,0.0441615671649615,0,0,0,0,0,0,0,0,0,0,0,0,0.0902063052189263,0,0,0,0.0582164077162643,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0,0
X601939.CH.EQUITY,0,0,0,0.340434685065584,0,0.0711609619411272,0,0,0,0,0,0,0.434308302178091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544552282795361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.386950910476308,0,0,0,0,0.257955100279408,0,0,0,0,0,0,0,0,0.0350989707159,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208708801456377,0,0,0.011196478646244,0,0,0,0.0255417816042422,0.0870787757123211,0,0,-0.0118287233045241
X5.HK.EQUITY,0,0,0,0.00856613769421015,0,0,0,0.00853262662647306,0.203430586244251,0,0,0,0,0,0.0483563468406937,0,0,0,0.467554283704815,0.0659132987659705,0,0,0.0182618428782683,0,0,0,0,0.111527851867968,0.115940789073116,0,0,0,0,0,0,-0.144613866071069,0,0,0,0,0,0,0,0,0,0,0,0,0.0739365243835839,0,0,-0.0406382357389756,0
X601988.CH.EQUITY,0.386416357008311,0,0,0.00301450097013324,0,0,0,0,0,0,0.0657610012625113,0,0,0,0,0,0,0,0.0148735661194642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162111802974559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330795940122442,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.143141796940727,0,0,0.015819153124228,0,0,0,0,0,0.573493486198622,0,0,0,0,0,0,0,0,0,0,0.0717267906520787,0,0,0,0.0621451446424459,0,0,0,0.065942492646703,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0125586415357679,0,0,0,0.0516729239775007
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750608292500562,0,0,0,0.428388988799747,0,0,0,0.120448594602392,0.0536265864428721,0,0,-2.77555756156289e-17,0,0,0,0,-0.0349426506964842,0.406741903359376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222798537735132,0,0,0,0,0,0,0,0,0,0.256563351669957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104667482131495,0,-0.739937558868157,0.264138490142212,0,0,-0.306055896391718,0.626665189241309,0.425723259686285,0,-0.137682482434908,-0.126713089828788,0,0.0608685817612611,-0.41731818190124
