,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.308350935149739,0,0,0,0,0.368202446952944,0,0,0,0,0,0,0,0.0349654612256477,0,0,0,0,0,0,0,0.131253852172865,0,0,0.0292598492644036,0,0,0,0,0,0,0,0,0,0,0.105987497845859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.21006204061539,0,0,0,0,0,0.204866869896024,0,0,0,0.0176512403348422,0,0.154260711005073,0,0.0267464469189498,0.00583034932278165,0,0,0.104544605175575,0,0,0,0,0,0,0,0,0,0.0906502824286674,0,0,0,0,0.0881941326708345,0,0.0668139879219042,0,0,0,0,0,0,0,0,0.00177532050170186,0,0,0,0,-0.0498480596356765
X601939.CH.EQUITY,0.470283551028434,0.0814124316789978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919160463178719,0,0,0,0,-0.134885403646907,0,0.0797139760334754,0,0,0,-0.0650684342489565,0,0,0.210356644509029,0,0.245206554121921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147578570763552,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.548650854571758,0,-0.0822370566465085,0,0.0571296754323432,0,0,0,0,0,0,0,0,0,0.0410382046106426,0.0766741139959846,0.116635400899618,0,0,0,0,0,0,0.11824106909047,0,0.0442220027048615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05241495766837,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.186487757931849,0,0.172193032376146,0,0,0,-0.0546570266521029,0.129454273792076,0,0,0,0,0,0,0,0,0,0.0265277517573356,0.0790349310639253,0,0,0,0,0,0,0.133856592816827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363852554728062,0.0199648218170891,0
X1299.HK.EQUITY,0,0,-0.271323185528055,0,0,0,0,0,0,0.173184659728147,0,0,0,0,0.104715517805867,0,0,0,0,0,0,0,0.0710866237809849,0.0128148174412464,0,0,0,0,0,0,0,0,0.228599992212837,0,0,0,0,0,0.188243206537534,0,0.0347307120712478,0.093172563563813,0.308334704969497,0,0,0,0,0.218388276501458,0,0,0,0
X601628.CH.EQUITY,0.167979063279955,0,0,0,0,0,0,0,0,0,0,0.0258826898965081,-0.0530591124427674,0,0,-0.231870286438333,0,0,0,0,0,0.0658904108943199,0,0,0,0,-0.0672814044766458,0,0,0,0,0,0,0.135222747269912,0.576125688730425,-0.0197394999438849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161396000382334,0
X601988.CH.EQUITY,0.0800447981466487,0,0.0906875443316612,0.342165284354632,0,0,0,0,0,0,0,0,0.231754521123478,0,0,0,0.112747512204326,0,0,0,0,0,0.0170151272841223,0.0383387288884122,0,0,0,0,0,0.130665585543484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.392985945559453,0,0,0,0,0,0,0,0,-0.0451452560206046,0,0,-0.279092821778406,-0.114773294358241,0,0,0,0,0,0,0,0.20973251518078,0,0,0.164308870335115,0,0,0,0,0,0,0.0170829167055001,0,0,0,0,0,0,0,0.308113641303274,0,0.0726716950550454,0,0,0,0.0658246228221469,0,0,-0.00988703842318618,-0.07590385658102,0
X388.HK.EQUITY,0,0,0,0,-0.28834245317309,0.200648898584858,-0.058512159035192,0,0,0,0,0,0.075688637111224,0,0,0.0770465216192203,0,0,0.0462423344354717,-0.0290516098215376,0,0.540335961109663,0,0,0,0,0,0,0.0514162910324381,0,0,0,-0.115561221241109,0,0,0,0,0,0.0922461539974918,0.136870882934702,0,0,0,0,0,-0.252830825354217,0,0.0608182951098027,0,0,0,0
