,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.196679164735774,0,0,0,0,0,0.315742755613881,0,0,0,0,0,0,0,0,0,0.00897813261434109,0,0,0,0,0.137799793006559,0,0,0,0,0.161946659231381,0,0.306581629352044,0,0,0,0,0,0,-0.136560294825234,0,0,0,-0.101300978861719,0,0,0,0,0,0,0.0297254000191521,0.0140809584312625,-0.125708674070855,0,0
X601939.CH.EQUITY,0.437570836591691,0,0,0.300508839508098,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0632982050642604,-0.186703278111502,0,0,0,0,0,0,0,0,0,-0.0215939158352841,0.180479556102297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581530095036451,0.0614580556322505,0,0.00448418475582208,0
X601318.CH.EQUITY,0,0,0,0,0.152115166501465,0.160675004362274,0,0,0,0,0,0,0.0309731349727221,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.136964652411634,0,0,0,0,0,0.0569381609425964,0,0.0308150399255032,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296412679338046,0.0946618491929222,0,0,0.174293646368384,0,0,0,0,0,0,0,0,0.185023770747999,0,0,0,0,0.0448367842379115,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119221984933159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.404863208627653,0,0,0,0,0,0.328800434034498,0,0,0,0,0,0.215169940299646,0,0.133397192441942,6.93889390390723e-18,0,0,0,0,0,0,0,0.0644269683454951,0,0,0,0,0,0,0,0,0,0,-0.495613505377763,0,0,0,0,0,0,0,0,0,0,0,0,0.253166910408002,-0.0785336757425858
X600036.CH.EQUITY,0,0.0497397509160438,0,0,0,0,0,0,0,0,0,0,0.169944392466991,0,0,0,0,0.0286801410081653,0,0,0,0,0.207951086708962,0.0133127909801998,0,0,0,0,0,0,0,0,0.357860611941005,0,0,0,0,0,0,0,0,0.112133738693742,0,0.142428554377751,0,0,0,0.00288793735627897,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.212712225115564,0,0,0.434887920551538,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0708877243005617,0,0,0,0,0,0,0,0,0,0,0.0405805293098921,0,0.0777521349194106,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.115909893870111,0,0,0,0,0,-0.128817787329186,0,0,0,0,0,0,0,0,0,0.338622026080552,0.244567554772892,0,0,0.0307951358819174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254138475400169,0,0,0.0047545883623479,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363041620748175,0,0,-0.0781773693335529,0,0,0,-0.405456192643432,0,0.629779554417928,0,0.0661278580007786,0,0.695753463613482,0,0,0,0,0,0,0,0,0,0,0.0433631222816394,0,0,0,0,0,0,-0.135913218946036,0,0.257831407142272,0,0,0,0
X601658.CH.Equity,0,0,0,1.38777878078145e-17,0.0832442110862902,0,0,0,0,0,0,-0.0971891811017873,0,0.18983425407652,0,0,-0.209070582285345,0.125363051866625,0,0,0.230001421760403,0,0,0,0,0,0,0,0,0.106528051500209,0,0,0,0,0,0.477426175502765,0,0.163453405256015,0,-0.17148857968255,-0.145741227357398,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0
