,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.296224705938868,0,0.00556312639648126,0,0,0.444305714448921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115306423044286,0,0,0,0.065135573780835,0,0,0.0179394829790482,0,0,0,0,0,0,0,0.076941205182849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.140045508106737,0,0.045434530271846,0,0,0,0.181618583545322,0,0,0,0.129318070409222,0,0.127217810268848,0.0180769531616682,0,0.0580787309322316,0,0,0.132134195182118,0,0,0,0,0,0,0,0.0470469724880702,0,0,0,0,0,0,0,0,0,0,0,0,0.0437242205386592,-0.0430554365468801,0,0.105903149992513,0,0.0771114903125631,0,0,0,0,-0.0556246411747904
X601939.CH.EQUITY,0.453981091332228,0.315248880231214,0,0,0,0,0,0.32862557642318,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174281684118364,0,0,0,0,0,0,0.0545396473399116,-0.0757052150533696,0,0,0.110901199976009,0,0,0,0,0,-0.098863733227204,0,0,0,0,0,0,0,0,0,0,0,0.0234903485993694,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00912936474296761,0.564724964020094,0,-0.0894548195852271,0,0.0448353289536756,0,0,0,0,0,0,0,0,0,0.0845499018604313,0.0810281733058485,0.0761702157093345,0,0,0,0,0.107698438026056,0,0,0,0.0568671666414319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624797916638539,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.181896749248704,0,0.171293672916529,0,0,0,-0.0553896895267863,0.131934275502243,0,0,0,0,0,0,0,0,0,0.0795991547134041,0.0247795285154895,0,0,0,0,0.135520107419287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360856620143287,0.0212327954858829,0
X1299.HK.EQUITY,0,0,-0.271980774961418,0,0,0,0,0,0,0.169587708872592,0,0,0,0,0.112135566911529,0,0,0,0,0,0,0,0.0129617875142008,0.070871682569995,0,0,0,0,0,0,0,0,0.230078441312426,0,0,0,0,0,0.191025674627551,0,0.034999790654462,0.0926902061888964,0.306159782181533,0,0,0,0,0.228030671254956,0,0,0,0
X601628.CH.EQUITY,0.100240192695066,0,0,0,0,0,0,0,0,0,0,0.058337812948397,-0.0582008044192268,0,0,-0.224063496601418,0,0,0,0,0,0.0326350717085983,0,0,0,0,-0.0478887071059142,0,0,0,0,0,0,0.610810155090264,0.0578852335504486,0,0,0,0.000689004568115507,0,0,0,0,0,0,0,0,0,0.0306019241939951,0,0.143679217974862,0
X601988.CH.EQUITY,0.123679753084545,0,0.1002593063724,0.318316896964215,0,0,0,0,0,0,0,0,0.273274919669377,0,0,0,0.0902460317132469,0,0,0,0,0,0.00933627098745517,0.0196504713622242,0,0,-8.67361737988404e-19,0,0,0,0.171170405808047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.292104359626396,0,0,0,0,0,0,0,0,0,0,0,-0.00423441181715549,-0.0702420716247105,0,0,0,0,0,0,0,0,0.359585037523851,0,0.0867200019588219,0,0.128244142620904,-0.0185870845711042,0,-0.0452226794732383,0,0.0726344028320659,0,0,0,0,0,0,-0.069530742048642,0.215666819995268,0,0.0858102864974636,0,0,0,0.11866431408534,0,0,-0.0607668847592668,0,0
X388.HK.EQUITY,0,0,0,0,-0.281240814871956,0.272627863388992,0,0,0,0,0,0,0,0,0,0.0177810921886734,0,0,0,-0.105498115443015,0,0.430058337309729,0,0,0,0.0134619060051826,0,0.00853100725908891,0,0,0,0,-0.191073455409234,0,0,0,0,0,0.126372949662866,0.0941290197806863,0,0,0,0,0,0,0,0.0695810296604108,0,0,0,0
