,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.084101451502931,0,0,0,0,0,-0.0780669242458246,0,0,0,0,0,0,0,0,0,0,-0.0833046052208803,0,0.502594447919576,0.0506557160270332,0.528077740803282,0,0,-0.163866161173548,0,0.190625731559126,0,-0.133935901611678,0,0,-0.142688909058572,0,0,0,0,0,0,0,0,0.0235322621206798,0,0,0,0,0,0,0,-0.0413021964955214
X601318.CH.EQUITY,0,0,0,0,0,0.270201848574182,0,0,0,-0.0847808987118747,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193725814520979,0,0.00979953991197512,0.0390629363588117,0,0,0,0.227438750949757,0,0.158723418861193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.833405297612841,0,0,0,0,0,0.0132672756081604,0.000568906942215371,0,-0.0492547750193047,0,0,0.0457277116901117,0,0.140732320442635,-1.73472347597681e-18,0,0,0.00892784900358968,0,0,0,0,0,0,0.0239545777831645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671684042950849,0,0.00895248121619942,0,0,0
X601288.CH.EQUITY,0,0,0.923353509153219,0,-0.0785512917340642,0,0,0,0,0,0,0,0,0,0,0,0.00699267453279287,0,0.105657045542862,0,0.0548737738482841,0,0,-0.114958520686293,0,0.0534415632252641,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0545950841727208,0,0,0,0,0,-0.0202998859141319,0,0,0.050720024609452,0,-0.059614676948248
X601628.CH.EQUITY,0.0116413509134187,0,0,-3.46944695195361e-18,0,0,0,0,0,0.300609372210194,0,0.213511606827669,0,0,0,0,0,0,0,0.0406161278708854,0,0,0,0,0,-0.0120984305528296,0,0,0,0,0,0,0,0,0,0,0,0.504353353997211,0,0,0,0,0,0,0,0,0.208980872154744,0,0,0,0.128574324229801,0
X600036.CH.EQUITY,0,0,0.080407708207897,0.250552062470564,0,0,0,0,0.0629530850822821,-0.00588304756072345,0,0,0,0,0,0.151443565097952,0,0.119185203424703,0,0.00871924067461456,0,0,0,0,0,0,0,0,0.153823053808368,0.137866210966417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601636295568664,0,-0.0238343837417457,0,0,0,0,0
X601988.CH.EQUITY,0,0,-3.46944695195361e-18,0.00284925696445402,-0.136546147083888,0.0796524189794098,0,0.0512755281561967,0,0,0,-0.0218345397384025,0,0,0,0,-0.000943389147577854,0,0,0,-0.0438978244759005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108655445326471,0,0,0,0,0,0,0,1.05182962810123,0,0,0
X1299.HK.EQUITY,-0.0955275010067474,0,0,0,0,0,0,0,0,0,0,0,0.0800500360462165,0,0,0,0,0,-0.00935413450113291,0,0,0,0,0.144564327314616,-0.0764487723376139,0,0.0535319890152555,0,0,0,0.365387633638541,0.244057829925541,0,0,0,0,0,0,0,0.0677424303849786,0,0.0910367471606682,0,0,0,0,0.0963770531716742,0,0,0,0.0480300281395831,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288165304158079,0,0,0,0,0,0,0.191769020757511,0.531880078788872,-0.0326042278792859,0,0,0,0,0,0,0,-0.00450726096697758,0,0,0.0490805100227045,0,-0.0840576464084483,0,0,0.0756249261936136,0.122056235141994,0,-0.107987324461573,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.312237702817362,0,0,0,0.104794228666437,0,0,0,0,0,0,0,0.0498026489211453,-0.22756990385179,0,0,0,0,0,0.412287527057283,0,0,0,0.118872521302796,0,0,0,0,0,0,0,0,0,0,0,0.0364783794311804,0,0,0,-0.282814555262466,0,0.101403057067689,0.211363040134185,0,0,-0.191144122230103,0,-3.46944695195361e-18
