,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.373653666478885,0.0373365140625486,0.104369874429396,0,0,0,0,0,0,0.218984443697154,0,0,0,0,0,0,0,0,0,0,0.0705751626115833,0.0350986423729713,0,-0.0269151440827816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200386757035766,0,0,0,0,0,0,0.0350885793846341,0.0268607878067966,0,0,0.0324903700980641,-0.126781118899946,0,0
X601939.CH.EQUITY,0.448036246604409,0,0,0.151273878816858,0,0,0,0,-0.0504586398225953,0,0.239774592358796,0,0,0,0,0,0,0,0,0,0,0,0.0174985721598107,0,0,0,0,0,0,0,-0.0249433852955302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467282851181932,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.306213989123177,0.0922673763927026,0,0,0,0,0,0,0,0,0.00418511897146008,0,0,0,0,0,0,0.192592845173027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10893898203381,0,0,0.0761147456657815,0.129458056136193,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.327717286147308,0,0,0,0.285547951421941,0,0,0,0,0,0.0523207872800525,0,0,0.0710729007807259,0,0,0,0.118088721765698,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.110051931534604,0,0,0,0,0,0,0.00733833664596224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.398692489966879,0,0,0,0,0,0.247425028290006,0,0,0,0,0,0.190554228657987,0.109659768879119,0,0,0,0,0,0,0,0,0,0.0942241955191731,0,0,0,0,0,0,0,0,-0.437405903397705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264522567535214,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.281305707534183,-0.0492200495307316,0,0,0,0.126515702125343,0,0,0,0,0.122345938330987,0,0,0.011820405529457,0,0,0,0,0,0,0.238689440938882,0,0,0,0,0,0,0,0,0.113777281393274,0,0.120246774448526,-0.00727904189729829,0,0,0.101517766535394,0,0,0,-0.0223322354396872,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0104160953155805,0,0,0,0,0,0,0,0,0.244317411424654,0,0,0,8.67361737988404e-19,0.482242913239579,0,0,0,0,0,0.106292167173738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105982672352048,0.0334845778151858,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216130226770541,0,-0.240545617559658,0,-0.114126472943513,0,0,0,0,0,0.504671084357128,-0.102470809395948,0,0.762915175426353,0,0,0,0,0,0,0,0,0,0.426843393968051,0,0,0,0,-6.93889390390723e-18,-0.238497091161452,0,0,0,0.00374544173822717,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.110811823350142,0,0,0,0,0,0,0,0,0.385141333039773,0,0,0.0260863290193133,0,0,0,0,0,0,0,0,0.047565016673897,0,0,0.0869872114804018,0,0,0,0.223227631186433,0,0,0,0,0,0,0.0117657115958233,0,0,0.17460083406135,0,0.034840253318197,0
X601658.CH.Equity,0,0,0,0.131793513222051,0.170896786628162,0,0,0,0,0,0,0,0,0.126618048060399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172024832135237,0,0,0,0,0,0,0,0,0.22569473312956,0,0,0,0,0,0,0,0,0,0,0.356214976486586,0,0,0.0291258774785971,0,0
X601328.CH.EQUITY,0.0669454619701542,0,0,0.612763396618937,0,0,0,0,0,-0.0587860160341672,0,0,0.0141564033892836,0,0.047942849228975,0.0272067305767539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149656712225372,0,0,0,-8.67361737988404e-19,0.0726088912061603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111201136382698,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.367156209223079,0,0,0,0,0.0719521829367477,0,0,0,0,0,0.065474789168994,0,0,0,0,0,0,0,0,0,0,0,0,0.216012776243658,0.0100065762115995,0,0,0,0,0,0,0,0,0.0538435740684695,0,0,0,0,0,0,0.01968469597923,0.0872168507490532,0.10889970999521,0,0,0,0,0
X388.HK.EQUITY,0,0,0.176379689149205,0,0,0,0,0,0,0,0,0.0260410427761479,0,0.0381050951291846,0,0,-1.38777878078145e-17,0,0.0730234515097217,0.233074495618637,0,0,0,0,0,0.033230260893214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747863516882346,0,0,0,0.00254933955772449,0,0.031464362160551,0,0,-0.0967800184984353,0
X600000.CH.EQUITY,0.295499766502914,0.0498877148539556,0,-6.93889390390723e-18,0.123652024814964,0,0,0,0.107285750400537,0,0,0,0,0,0,0,0.0296220122825728,0.0517115214300376,0,0,0.0779100811196443,0,0,0,0,0,0,0,0.0271118727594772,0,0,0,0.0254224209940359,0,0,0,0,0,0,0.0544572839228465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
