,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.221933330687765,0,0.404737204911636,0,0,0,-0.0104865099770716,0.146842580310478,0,-3.46944695195361e-18,0.0937059464939886,0,0,0,0,0,0,0,0,0,0,-0.0751270490504708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444267344980167,0.00698732078424033,0,0.122822192813011,0,0,0
X601939.CH.EQUITY,0.354078596217686,0,0,0.28612449979393,0,0,-0.0952282388134841,0,0,0,0.00279054178084673,0,0.140312864362392,-0.0648180451694396,0,0,0,0,0,0,0,0,0,0,0,0.031688782623273,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.201854621896842,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0167519824420949,0,0,0,0,0,0,0,0.0129363331689485,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386399595933052,0,0,0,0,0,0,0,0.10041342991591,0,0,0,0,0.248020962683729,0,0,0,0,0,0
X601288.CH.EQUITY,0.450014426883193,0,0,0,0.209326584148658,0,0,0,0,0,0,0,0.0159638026962477,0,0,0,0,0,0,0,-6.93889390390723e-18,0.17021318978914,0,0,0,0,0,0,0.0199373057712839,0,0,0,0.0264142834876003,0,0,0,0,0,0,0,0,0,0.0643416932854435,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0982187670228482,0,0.381064374866526,0,0,0,0,0,0.282322228652851,0,0,0,0,0,0,0.196617668285985,0,0,0,0,0,0,0,0,0,0,0,0,0.0156337699266789,0,0,0,0,0,0,0,0,0,0,0.0477909522640903,0,0,0,0,0,0,0,0,0,0,0,0.0283127656388211,-0.0719782596422434
X600036.CH.EQUITY,0,0,0.0404005679184535,0,0,0,-8.67361737988404e-19,0,0,0,0,0.38203403837677,0,0,0.00562181537761222,0,0,0,0,0,0,0,0.0518341576556834,0.124085897490815,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0825536646844928,0,0,0,0,0,0,0.0544309857725077,-1.73472347597681e-18,0,0,0,0,0,0,0.27338898669259,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0882468369566526,0,0,0,0,0,0,0,0,0,0.142080351160899,0,0,0,0,0,0,0,0,0,0,0,0.0135815192932176,0.176945288100584,0,0,0.0313447763672082,0,0,0,0.188424167157601,0,0,0,0,0,0,0,0.023470485546101,0,0.225270958983929,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.187281376237342,0,-0.088635965919542,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.1970424767337,0,-0.776200924884219,0,0.492399454443411,0,0,0,0,0,0,0,0,0,0,0,0,0.4334779233776,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0833581008442382,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0987734200213161,6.93889390390723e-18,0,0,0,0,0,0.0866161843064668,0.197408957299479,0,0.0929483380978139,0,0,0,0.267099692594618,0,0,0.0504904970451792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548732922694019,0,0,0
X601658.CH.Equity,0,0,0,0.165439515415391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138372344559594,0,0,0,0.141132654200364,0,0,0,0.294860221704315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
