,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.133831557318777,0,0.110774351449559,0,0.0698891642439164,0,0,0.333912149365536,0.050518619280748,5.55111512312578e-17,0,0,0,0,0,0,0,0.123660248818038,0,0,-0.0722500334785968,0,0,0,0,0,0,0,0,0.196120069195007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.396619122315495,0,0,0.00761767343569512,0,0,0,0,0,2.16840434497101e-19,0,0,0.562568073582298,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357340898366717,-0.0101533772170768,-0.0504624185695278,0,0,3.46944695195361e-18,0.0216930250979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013093749241701,-0.0702520617990145,0,0,-0.0925471180269296
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0421753457074601,0,0.0228730781609813,0.303971564326777,-2.16840434497101e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978477074194681,0,0,0.112967162482402,0,0,0.0819791146277936,0.207968159977971,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.38538767432712,0.00416432183820608,0,0,0.345551373324419,0,0,0,0,0,0.100071054711174,0,0,0,0,0.0613683048420497,0,0,0.0616478570372401,0,0,0,0,0,0,0,0,0,0,0,0.0135259259842438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375780298230927
X601988.CH.EQUITY,0,0,0,0.367987138695299,0,0,0,0.00895133918095743,0,0,0.237001639049199,0.105915340632195,5.55111512312578e-17,0.0916477652158671,0,0,0,0,0.157754161738924,0,0,0,0,0,0,0,-0.0197792675113011,0.0444099842277526,0,0,0,0,0,0,1.38777878078145e-17,-0.0221304897954888,0,0,0,0,0.0499193963801007,0,0,0,0,0,0,0,0,0,-0.000295078165436809,0,0.0112677481698312,0
X600036.CH.EQUITY,0,0,0.0208627643024733,0,0,0,0,0,0,0,0,0.41351204566421,0,0,0,0,0,0,0,0,0,0.0528916386922198,0,0,0,0,0,0.131903969517757,0,0,0,0,0,0,0,0,0.0824452417401594,0,0,0,0.0590567091599964,0,0,0,0,0,0,0,0,0.259886581107176,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0130401072191978,0,0,0,0,0,0,0,0,0.00866007670487763,0.324603258275707,0,0.070213475109082,0,0,0,0.0641195207976738,0,0,0,0.196634570022546,0,0,0,0,0,0,0,0,0.168129869663341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320843654777889,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.147938492762017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256396872410371,0,0,1.13328563291736,0,-0.75732543877083,0,0,0.574223725448607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335618034765929,0,0,0,0,0.11416161838992,0.0162151442342709,0,-0.0964739943605829,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0726549355964222,0,0,0,0,0,0,0.0921417700006649,6.93889390390723e-18,0,0,0.19650266044,0,0.373525038100086,0,0,0,0.0699100429817325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0411275406387244,0,0,0
X601658.CH.Equity,0,0,0,0.231711813052476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757040176806826,0,0.32276939889621,0.533391900853892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25511333914444,0,-0.578938217730053,0,0,0,0,0
