,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0,0,0.286507777328158,0,0.289639564682493,0,0,0,0.182413932703454,0,0,0,0.049504390034597,0,0,0,0.138490559681402,0,0,0,0,0,0,0,0,-0.0441934967336858,0,0,0,0,0.118064550077152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128405833577363,0,0,0,0
X601998.CH.EQUITY,-0.0412147769746267,0,0.0121881755778676,0.108224648875737,-0.0599627678187589,0,0,0.228265260719666,0.15423673948355,0.141199787265384,-8.67361737988404e-19,0,0.0766544815624222,0,0,0,0,0,0,0.128130532650589,0,0,-0.0608966303596977,0,0,0,0.259455881211072,0,0,0,0,0,0,0,0,0,0,0,0.0354122117183761,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.143410033792885,0.393429235955884,0,0,0.0668588846575243,0,0.170684944990838,0.0939925703464435,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0678008852374991,0,0,0,0,0,0,0.0765516074668948,0,0.0848052156187667,-0.109757116386891,0.086534031932937,0,0,0,-0.016111880124333,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629571258652754,0,-0.0623612126666659,0,0.377007937084361,0.393133926556099,0,0,0,0,0,0,0,0,0,0,0.0742834265681084,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0832475811715923,0.182552208384865,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.118765355441516,0.424930692936301,0,0,0,0,0.0719447000578019,0,0.18095336056144,0,0,0,0,0,0,0,0,0,0,0.0699561042057164,0,0,-0.344481146195788,0,0,0,0.0980622664164344,0.0546555724624031,0,0.00842061626408336,0,0,0,0.0478448907134347,0,-0.176817391373516,0,0.129585671812258,0,0,0
X5.HK.EQUITY,0,0,0,0.0557304780625758,0,-1.77219581860999e-05,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.232645156355727,0.101181148296188,0,0,0,0,0.0108158826606269,0,0,0,0,0,0,0,0,0.0979805576177109,0,0,0.020833256719325,0,0.0024152377860771,0,0,0,8.67361737988404e-19,0,0.331324123325417,0,0,0,0,0,0,0.174191941800689,0
X000166.CH.EQUITY,-0.0410182070269487,0,0,0,0,0,0.402210403342428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118132646063413,0.179205691649615,0.345842746506526,0,0,0.146022944833685,0,0.102514052976142,0,0,0,-0.0466226189103553,0,0,0,0.21174981007048,0,0,0,0,-0.0489767549101339,0,0,-0.0199152809048995,0,0,-0.0141349695942967,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945862074586885,0,0,0.192506198865481,0.164872440471961,0,0,0.150211233468362,0.247470927740417,0,0.0117936002686808,0,0,0,0,0,0,-0.0748740501418587,-1.0842021724855e-19,0,0,0,0,-0.123384686104179,0,0,0,0,0,-0.00299640867337265,0,0.0516267377866757
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224652135861955,0.66881007313722,0,0,0,0,0,0,0.112728851069339,0,0,0.00928419156766214,0,-0.00688417106334999,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144160263837311,0.101289186653418,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.07754120654635,0,0,0,0,0,0,-0.10067156979651,0,0,0,0.45711309830491,0,0,0,0.0742644259648203,0.116089787181098,0.00849974978571553,0,0.225507710104976,0,0,0,0.0370490257015602,0,0,0,0,0,0,0.130757689830221,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159823335774167,0.203567099609853,0.0709709195170973,0,0.0697786612792805,0,0,0,0.437833544477772,0,0.016580230810351,0,0,0.234963200172759,-1.73472347597681e-18,0,1.73472347597681e-18,-0.000603759306567853,0,0,0,1.73472347597681e-18,0.000879092758056864,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0.109868075494061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889767166393284,0,0.003931549877954,0,0,0,0,0,0.214516761131281,0,0.110273484156799,0,0.223776142264629,0,0.0458202052661734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322065171659697,0
X600999.CH.EQUITY,0.0754716648204714,0,0,0,0,0.103709948972271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383869759318566,0.0765505849214035,0,0.0524704200353304,0,0.420779258925998,-1.73472347597681e-18,0,0,0,0,0.12413686690604,0.0769100529617135,-0.0702968952120836,0,0,0,0,0.17209534667856,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0669668463082353,0,-0.125593276493443,0,0,0.151298979644669,0,0,0,-0.0641446252786014,0,0,0.215401829760135,0.0917443692536324,0.0613833288558288,0,0.391922614531985,0,0,0,0,0.159371907609975,0,0,-0.0709066356968469,0,0,0,0,0,-0.0661116298876469,0,0,-0.0305207700619699,0.182229854918837,0,0,0,0.150198927359147,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.0581337204021663,0.120187335681218,0,0,0,0.0448919946805419,-6.93889390390723e-18,0,0.0336080938203388,0,0,0,0,0,0,0,0.072486553129603,0,0.00174128508045108,0,0.240834504735247,0,0,8.67361737988404e-19,0,0.265758129912524,0,0,0,0,0,0,0.0782436028371543,0,0,0,0,0.0121267334888107,0.0273339362214573,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,-0.0898831944000826,0.336659768735892,-0.0460243356690409,0,0,0,-0.0146910460630942,0,0,0,0,-0.036068573625119,0,0,0,0,0,0,0,0,0.0849666556550966,0.182091050327758,0,0.0275520607369722,0,0.371009933968263,0,0,0,0,0.170784112564534,0,0,0,0,-0.0622816392271312,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.220438404495911,0,0,-0.181661463528847,0,0,0,0,0,0,0,0,0.172454898966943,0,0,0,0,0.255279199001731,0.202794812552325,0.279861720198711,0,0.132521220853523,0,0,0,0,0,0,0,0,0,0.0997592751140505,0,6.93889390390723e-18,0,0,0.0294309836545018,0,0,0,-0.161563978133542,0.146754737891646,0,0,-0.0260506725367782,0,0.14675653086132
X601318.CH.EQUITY,0.0631578233386035,0,0.252178049032191,0,0,0,0,0,0,0,0,0,0,0.00573846745441453,0,0.0350533641419609,0.0201712231411981,0,0.137678770314352,0,0,0,0.179171319712777,0,0,0,0,0,0,0,0,0.0865761805232671,0,0,0,0,0,0,0,0.194072622985655,0,0,0,0,0,0,0.134701800658462,0.0400736502187569,0,0,0
X601319.CH.EQUITY,0.158022125726892,0,0,0,0,0,0,0.0111579097281443,0,0,0,0.164982026143099,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486594238768532,0,0,0,0,0,0,0.250485867352063,0,0,0,0,-0.037385597354196,0,0,0.220432254194082,0,0,-0.150322689743259,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0544383039343851,0,0,0,0,0,0,0,0,0,0,0.134859783811107,0,0,0,0,0,0,0,0.083092571400388,0,0.0354599396525782,0.505205983647539,0,0,-0.0390353004714594,0,0.25613756403291,0,-0.11929397726993,0,0,0,0,0,0.0689127519033264,0,0,-0.19597980977098
X601601.CH.EQUITY,0,0.138764363249235,0,0,0,0,0,0,0.153077343844962,0,0,0,0,0,0,0,0,0,0.06674003944292,0,0,-0.0778369348482106,0,0,0,0,0,0,0,-0.0075193292385412,0.259434331800072,0.351097361515564,0,0,0.192502309899215,-0.0172191056604839,0,0,0,0.154077015461587,0,0,0,0.086951363250612,0,0,-0.125340032815745,0,0,0,0
X601628.CH.EQUITY,0,-0.0894350329884696,0,0,0,0,0,0,0,0,0.0869680903910478,0,0,0,0,0,-0.0168880326474271,0,0,0,0,0,0.207399637187129,0,0,0.221161027759005,-0.0306279177411466,0,0,0,0,0,0.564274306495077,0.136445289717788,0,0,0,0.0664388660873823,0,0,-3.46944695195361e-18,0,0,-0.0343854353122303,0,0,0,0,0,0,0
