,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X2880.TT.EQUITY,0,0,0,0,0,0,0,-0.140836024331143,0,0,0,0,0,0,0,-0.0790194144122667,0,0.331034223126929,0,0,0.0722039203191249,0,0.0199254459374547,0,0.0310244177138228,0,0,0.228509514250728,0.352651886693736,0,-0.0267867282671351,0,0.607438278061144,0.0251458638804296,-0.11970284014226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194169238417378
X2884.TT.EQUITY,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0749169300698833,0,-0.0885154064764272,0.0646087445855653,0.0386006715080272,0,0,0,0,-0.0134332511759992,0,0,0,0,0.709798083814122,0,0,0,0,0,0,0,0,0,-0.113295704648364,0.0268363050396205,0.118376507384491,0,0,0,0,-0.197402902549803,-0.139760864812569,-0.0383502874770445,0.0637085438254194,0,0.093102588773671,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746496487674731,0,0,0,0,0,0,0,0,0.280946116776989,0,0,0,0,0,0,0,-0.277257058132361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2887.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707529011161574,0,-0.365505213507985,0,0,-0.081222169233966,0,0,0,0.0431014413768011,0,0.0131144486195417,0,0,0,0,0.211525281588397,-0.347316847794913,0.202085020240203,0,0.0866526015820174,0,0,0,0,0,0,0,0,0,0,0.21431185499404,0.302610423162592,0.205433356123072
X2891.TT.EQUITY,0,0.0739189807797046,0,0,0,0,0,0,0,0,-0.194616000729978,0,0,0,0,0,0,0.0845099403226138,0,0,0,0,0.0631439962530757,0,0,0.365869816092682,0,0.19615458660935,0,0.11679645561811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157119971643688,0,-0.0246110714064719
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.385373932991225,0,0.0946214648268763,0,0,0,0,0,0.202039173725104,6.93889390390723e-18,0,0.0208039273168723,0.0461609205272598,0,0,0.268096842596902,0,0,0,0.0197547358478372,0,0,0,0.200203685696498,0,0,0,0,0.214777509397445,0,0,0.0209373391775142,0.199515836913971,0
X5880.TT.EQUITY,0,0,0,0,0,0.000387262148028263,0,0,0,0,0,0,0,0,-0.0317079127426909,0,0,0,0,0,0,0,-0.137989882443277,0.0478810358828711,0,0,0,0,0.0364381221857932,0,0.229214634930517,0,0,0,0,0,0,0.033355988145956,0,0,0.713129554629859,0,0,0,0,0,-0.235072772761813,0,0,0,-0.036702952498945
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0693660902612989,0,0,0,0,0,0.33112314265794,0,0,0,0.0889623654103944,0,0,0,0,0,0,0,0,0,0.288088326089188,0,0,0,0,0.0835644553666938,0.430477590200112,0,0,0.120942742626667,-8.67361737988404e-19,-0.137803843164898,0,0,0,0,0,0,0.188233694604789,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0.197502567904009,0,-0.0794292704573414,0,0,0,0,0,0,0,0,0,0,-0.0210484680415383,0,0,0,0.0402602313306907,0,0,0,0,0,0,-0.265720941696307,0,0,-0.146700451467418,0.0450569112991014,0,0.537124742699388,0,0,0,0,0,0,0,0,0,0,0,0,-0.137388348507282,-0.0209103391583294,0
X600030.CH.EQUITY,0.121306166319346,0,0,0,0,0.0793218182531993,0,0,0,0,-0.0969558695378413,0,0,0,-0.023060304265081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00936646851199527,0.0609622878637827,0,0.353811479943293,0.249457254718282,0.16130561555414,0,0,0,-6.93889390390723e-18,0.0319842666982953,0.0684950215374359,0.128763343932969,0.187849665941394,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.122047183934182,0,0,0,0,0,0,0,0,0,0,0,0.0319284448473247,0,0,0,0,0,0,0,0,0,0,0,-0.0737255084691022,0,0.0962139247879404,0,0.108033008484254,0,0.211767360135511,0,0,0.157236657780939,0,0,0,0,0,0,0,0
