,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0.0484596158232338,0,0,0,0,0,0.099642795079562,0,0,0,0,0,0,0,0,0,0,0,0.2697955330921,0,0,0,0,0,0,0,0,0.0767658389691324,0,0,0,0,0.0355738012026994,0.0340143907611568,0,0,0.117176073213871,0,0.13677542837253,0,0,0,0,0,0,0,0,0,-0.26411970772465,0.0831096854701278
X601998.CH.EQUITY,0.248634094971419,0,0,0,0,0,0.0274112324057421,0.0305690552824578,0,0,0,0,0,0.0406517993926658,0,0,0,0,0,0,0,0,0.0399094577000282,0,0,0,0,0,0,0,0,0.171256549446359,0,0,0,0,0,0,0,0,0,0,0.135889227844118,0,-6.93889390390723e-18,0,0.179787925893053,0.0127188734499989,0,0
X11.HK.EQUITY,0,0.02285409673895,0,0,0,0,0,0,0.0936902992306706,0,0,0,0,0,0.129908177247168,0,0,0.369546453640113,0.0682946865051692,0.345975335939608,0,0,0,0,-0.185585046463801,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.00688741504647222,0,0,0,0,0.575663215751842,0
X2388.HK.EQUITY,0,0.0122012120584695,0,0,0,0,0,0,0,-0.211598633102933,0,0,0,0,-0.463928946707481,-0.278039129888819,0,0,0.157179147373571,0,0,0,0,0,-0.0682331401943356,0,0,0.68775335847242,0.299432562690572,-0.172700707967763,0,0,0,0,0,0,0,-0.134736986803692,0.290222710766718,0,-0.114307699300287,0,0,0,0,0.0170767256284881,-0.00716344719512192,0.265173551873337,-0.238424410472174,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.21906652460493,0,0,0,0,0,0.125101387814665,0,0,0,0,0,-0.140366710391266,0,0,0,0,0,0,0,0,0,0,0,0,0.380325057231455,0.0963296044149599,0,0.179662821738294,0,0,0.00131795515241519,-0.13813011712129,0,0,0,0.0920188492470388,0.0380028419284499,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0632159186464178,0,0,0,0,0,0,0.192933581819089,0,0,0,0.283614846122483,0,0.28230053143472,0,0.0647715518430012,0.277792091500857,0,0,-0.146447276103673,0.276973866694014,0,-0.0677627186936079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157411242458915,0,-0.0660430116926484
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00230178927859404,0,0.0651997184733592,0.0633596569652203,0.0475665114533361,0,0,0,0.46393495096083,0,0.367451939077079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515841638755242,0,0,0,0,0,0.0558818146884103,0,0,-0.0381505302665252,0,0,0.0297381808574101,0,0
X600030.CH.EQUITY,0.0414176503656375,0,0,0.00106586475368226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340306773247661,0,0,0.351206785629635,0,0,0.281391195912052,0.29213936132268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764796493373862,0,0.195225200319652,0,0,0,0.00327972296922994,0.44326148591067,0,0,0,0,0,0.147869403956449,0,0,0,0.0533947572576,0,0.029629519487193,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305802069419034,0,0.090266772405284,0.0517053039846133,0.24809197220063,0,0,0.0437004075554086,0.46595574892284,0,0,0,0,0.00494296746141646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
