,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.00575446959498156,0.353661781040614,0,0,0.0830693252818616,0,0,0,0,0,0,0,0,0.0390184584958633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316423923641606,0,0,0,0.199871058386079,0,0,0,0.0249014756943005,0,0,0,0,0,0,0,0,0.209173646145154,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.014955575868071,0,0,0,0.147969561621466,0,0.0541712999306185,0,0.103431286757807,0,0,0,0,0,0.217966777554952,0.234828566439473,0,0,0,0,0,0,0,-0.0184977701076282,0,0,0,0.0798284687459596,0,0,0,0,0,0.0512633073378386,0,0,0,0,0,0,0.0131812264543538,0,0,0,0,0,0.0772427651832434,-0.00552551246936335
X601939.CH.EQUITY,0,0,0,0.339103231639101,0,0,0,0,0,0,0.0100580936406103,0,0,-0.13499025975494,0,0,0,0,0,0,0,0,0.743161756139631,0,-0.0723658496083597,-0.0972227571783871,0,0,0,0,0,0.00895097502788314,0,0,0,0,0,0,0,-0.0999030521444267,0,0,0,0,0,0,0,0,0,0,0.0463238296214373,0.101935279076107
X601288.CH.EQUITY,0.271325778632203,0,0.0224435812176836,0,0,0,0.218680247595914,-0.0242617941153619,0,0,0,0,0,0,-0.0305434633011053,0.201937327940057,0,0.0233061574423848,0,0,0,0,0.0825192336088771,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0626059242365779,0,0,0,0,0,0,0,0.189313181961687,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.10411605263554,0,0,0,0,0,0,0,0,0,0,0,0.14689897555028,0,0,0,0.110765208917998,0,0,0.259698001574032,-0.0711999481052555,0,0,0,0.071150576099315,0,0,0,0.414981744057036,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777949793187177,-0.112441704745455
X600036.CH.EQUITY,0,0.201653583116574,0,0,0.0915726120714481,0,0.0799462077880179,0,0,0,0,0,0.213267273456239,0,0,0,0,0,0,0,0,0,0,0.316974255433089,0,0,0,0,0,0,0.138876720366827,0,0,0,0,0,0,0,0.0473650436993469,0,0,0,0,0,0,0,0.0308654805119735,0,-0.062277140550314,0,0.0111085472617125,0
X601988.CH.EQUITY,0,0.00195240789430933,0,0,0,0.342848295810588,0,0,0,0,0,0,0,0,0,0.464548283173245,0,0,0,0,0.0341570823632427,0,0,0,0,0,0,0,0,0,0,0.136490881185895,0,-0.0882275051326113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203395949379168
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.330169010728481,0,0,0,0,0,0,0.0530019231058099,0,0,0,0,0,0,0,0,0,0.0567582903912115,0.0466834038438893,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0537125566553358,0,0.154185287939161,0,0.119847356137054,0,-0.0373326615971333,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456979504992126,0,0,0,0,0,0.0945543245186796,0,0,0,0,0.595421647665059,0.0500722791411079,0,0,0.0603986789147824,0.0527059906550732,0,0,0,0,0,0,0,0,0.180980111254307,0,-0.106726713851939,0.0978842104966936,0.0519685315155779,0,0,0.120307564930277,0,0.171322608431808,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.114613918119839,0,0,0,0,0.00239643999207339,0,0,0,-0.0782155326237047,0,0,0,0,0,0,0,0.485110049101532,0.12981836709293,0.0138885235801728,0,0,0,0.160408349956883,0,0,0.416227880963568,0,0,0,0.184219130272291,0.0135190880267721,0.0567037020613587,0,0,0,-0.440320159096379,0,0,0.0928659307381146,0,0,0,0,0
