,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.109080353483249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43397440982433,0.362355954410163,0.000159431250717375,0,0,-0.271891357575794,0,0.325377771268257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162342682963939,0,0,-1.73472347597681e-18
X601318.CH.EQUITY,0,0,0,0,0,0.16795288025528,0,0,0,0,0,0,0,0,0,0,0,0.0743180358733594,0.0598285879491151,0.0618990585817334,0,0,0,0,0,0,0,0,0,0,0.0244717707861097,0.0592923589326122,0,0,0,0,0.229407535884845,0,0.0682144054644291,0,0,0,0,0,0,0,0,0,0,0.198448993639947,0.108073583870607,0
X601939.CH.EQUITY,0,0.0684936203472609,0,0.804173017417175,0,0,0,0,0,0.00205373035961473,0,0,0,0,0,0,0.0829071247183763,0.0184498849372262,0.0584029834744305,0,0,0.00323282398523659,0,0,0,0.0104621619682352,0,0,0,0.00997684276287311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.873369496200446,0,-0.0596807626165015,0,0,0,0,-0.00312995990029478,0,0,0,0,0,0.0645697025455799,0.0576197547947598,0.138519772886883,0,0,0,0,0,0,-0.0963891328543084,0.0175395439363985,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112446968008474,0.0154777730552184,0,-0.116389284580449,0,0,0,0,0,0,-0.0288645368968721,0,0,-0.00178078058564363
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0158414711098009,0,0.419282530824604,0,0,0,0,0,0,0,0,0,0.0883652305572654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305131627187945,0,0,0,0,0,0,0,0,0,0.140090852203565,0.0436406095106429,0,0,0,0.0824445742340815,0
X600036.CH.EQUITY,0,0,0.408357945046334,0,0,0,0,0,0.0245910713992872,-0.00634431549246182,0,0,0,0,0,0,0.106654905031055,0,0,0.00503516355043897,0.0125352825238847,0,0,0,0,0.189130652500013,0,0,0,0.124475083807659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0408808522484156,0.140447412369452,0,0,0,0,-0.0695890624364492,-0.0929324851301658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00574982960231471,0,-0.11684300461583,0,0,0.0193462296113598,0,0,0,-0.0484414267278112,1.08290370772721,0,0
X1299.HK.EQUITY,0,0,0,0,0.170625321133556,0,0,0,0,0.128578851157284,0,0,0,0,0,0,0,0,0,0,0,0,-0.230798592612979,0,0.00232973211184538,0.408895787929328,0,0.0918710839153499,0.180811252072381,0,0.354467290182484,0.0409785238248885,0,0,0,0,0,0,0,0,0,0,0,0.0310464802063837,-0.138908965664539,0,0.0630294411585246,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.118309791043978,0,0,-0.0544205702661654,0,0,0,0,0,0,0.295126864798271,0.316425890755863,0,0,0,0,0,0,0,0,-0.271704222503594,0,0,0,0,0,0,0,0.0465502036473494,0.0113465190551416,0,0,0,0.314669656461156,0,-0.0266135736854615,1.73472347597681e-18
X388.HK.EQUITY,0,0,0,0,0.234271893339211,0,0,0,0,0,0,0,0,0,0,0.0296052950391878,0,0,-0.245230266933157,0,0,0,0,0,0.409798163701231,0,0,0.115156319520762,0.0199355398391356,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,-0.241043460435883,0,0.0652488020176645,0.18148308668937,0,0,0,0.0215473963253614,0
