,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X600606.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.142003250051846,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364784094814095,0,0.423393216422955,0.295125957520575,0.0145515954553276,0,0,-0.0773889091447661,0,0,0.237755188628139,0,0,0,0,-0.272023390311993,0,0,0,0,0,0,0,0.0473999934649822,0,0,0,-0.293722992226623,0,0,0,-8.67361737988404e-19
X601318.CH.EQUITY,0,0,0,0,0,0.184942485490213,0,0,0,0,0,0,0,0,0,0,0,0.0939653272611719,0.0530884520126823,0,0,0,0,0,0,0,0,0,0.00417442034655281,0.0197945321673408,0,0.0682042153581229,0,0,-3.46944695195361e-18,0,0.237071383132421,0,0,0,0,0.0755053042433773,0,0,0,0,0,0,0,0.216615535490024,0.104867423863234,0
X601939.CH.EQUITY,0,0.0676774736753396,0,0.806939738560537,0,0,0,0,0,0.00207253057706733,0,0,0,0,0,0,0.0829609057029334,0.0179275359318359,0.0571299337919559,0,0,0.00324836417410099,0,0,0,0,0.0105753578578324,0,0,0,0.0100200782795981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.878025068688982,0,-0.0684192039710659,0,0,0,0,-0.0025918248911815,0,0,0,0,0,0.0783270675312339,0.0619496300829563,0.124483448291012,0,0,0,0,0,0,-0.0829360801063228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162399689032395,-0.110345531595464,0,0,0,0,0,0,0,-0.045006747149206,0,0,0,0
X601628.CH.EQUITY,-0.0101699094056251,0,0,0,0,0,0,0,0,0.0381967549140576,0,0.393569359117668,0,0,0,0,-0.0287537298434544,0,0,0,0,0.120959928388025,0,0,0,0,0,0,0,0,0,0,0,0,0.467551899384169,-0.12252621826248,0,0,0,0,0,0,0,0,0,0.00994530024801089,0.08404508978789,0,0,0,0.0869372982142912,0
X600036.CH.EQUITY,0,0,0.407129513719945,0,0,0,0,0,0.0250916522003318,-0.00646200389005986,0,0,0,0,0,0,0.10683049464373,0,0,0.00477570952195715,0.0121592033506765,0,0,0,0,0,0.190885484796452,0,0,0,0.125568993971495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,-3.46944695195361e-18,-0.0481910910169721,0.13381246873756,0,0,0,0,-0.0543105944242746,-0.0864350607041635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111822873460475,0,0,0,0,0.0107896023473886,0,0,-0.0428612575114901,0,1.06857727441231,0,0
X1299.HK.EQUITY,0,0,0,0,0.117327279605056,0,0,0,0,0.182713433147902,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268294646591077,0.0494469098014794,0,0.314152806707194,0,0.274448859540399,0.0290579562475192,0,0.205751083772054,0,0,0,0,0.108904697675056,0.0377321281795798,1.38777878078145e-17,0,0,0,0,0,-0.0474235804579026,0.252373718539553,0,-0.0759137027009285,0,0,0.0592040397610118,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132621263974412,0,0,-0.00464242738570145,0,0,0,0.0318803845969336,0,0,0.339121716620609,0.293277572538982,0,0,0,0,0,0,0,-0.290323203601599,0,0,0,0,0,0,0,0,0,0,0,0,0.232490648362273,0,0,-0.0320892221872727,0
X388.HK.EQUITY,0,0,0,0,0.299954973494681,0,0,0,0.105672981902605,0,0,0,0,0,0,0.0847874509593422,0,0,-0.391752674856101,0,0,0,0.279835173489988,0,0.202528350895114,0,0,0,0.0108213336293826,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168293954929707,0,0,0.213926189662639,0,0,0,0.0723049368836798,0
