,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.153667007729979,0,0,0,0,0,0,-0.0164077135049214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286350174542595,0.426269528339575,0.225880324937861,-0.188257145210083,0,0,-0.0493085202771929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.303746334116709,0,0,0,-0.0696703160880339,0,0,0,0.00386729442934153,0,0,0,0.0481934637632038,0,0,0,0,0,0,0,0,0,0,0,0.0529157063127328,0.113692397110676,0,0,0,0,0.241658371066362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618950078664734,0
X601939.CH.EQUITY,0,8.67361737988404e-19,0,0.769492950943581,0,0,0.0112332239374039,0,0,0.00364879476961982,0,0.0246223507795989,-0.00990774204774851,0,0,0,0,0.142525710865954,0.0760581536522647,0,0,0,0,0,0,0,0.00163599869721665,0,0.0281465968350927,0,0.0571591321136204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.950697265780216,0,-0.100311031797717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045776225951461,0.0383281016029682,0,0,0,0,0,0,0,0,0.0561026168732355,0,0,0,0,0,0,0.00650305351097928,0,0,0,0,-0.0849609879013656,0,0,0,0,0,0,0,0,0.0144502251068124,0,0
X601628.CH.EQUITY,0.0114349229064785,0,0,0,0,0,0,0,0,0.292693891190533,0.214418907222205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347423609919519,0,0,0,0,-1.73472347597681e-18,0,0,0,0.56008881504187,0,0,0,0,0,0,0,0.0423144553466571,0.205948146585085,0,0,0,0.114369499043731,0
X600036.CH.EQUITY,0,0,0,0.353540210942774,0,0,0,0,0.0530344337260896,0,0,0,0,0,0,0,0.137349030851541,0.0529112476190316,0,0,4.33680868994202e-19,0,0,0,0,0.128314308950725,0,0,0.096187385260098,0,0,0,0.0445777308816192,0,0,0,0,0.0161314759518016,0,0,0,0,0,0.00681467458587652,0.0115768974692652,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.014670057998667,-0.127768072123941,0.0603644443851542,0,0.0522305258133475,0,0,-0.0222696137082246,0,0,0,0,0,0,0,0,-0.0312043976693556,0,0,-0.0154889347045778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097796068444617,0,0,0,0,0,0,0,1.04730437522278,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0732081867090709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364597006639202,0,0,0,0,0,0,0,0,0,0.25886054713956,0.0970824970934324,0,0,0,0,0,0,0,0,0.0469440085477972,0,0,0,0.0879860092162889,0,0,0,0.0780632322527498,-0.00335714097275621
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0124734361361421,0,0,0,0,0,0,0,0,-0.339211444296805,0,0,0,0.0285890283755297,0,0,0,0,0.517441723658345,0.143862729455151,0,0,0,0,0,0,-0.00638918325223744,0,0,0.0713328411999939,0,-0.136762703835666,0,0,0.113193138531117,0.165521929769342,0,-0.172567212724691,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.186538399885773,0,0.221729504680773,0,0,0,0,0,0,0,0,0,0,0.0437022178056442,0,0,0,0.0521898771893094,0,0,0.373909898501803,0,0,0,0.0846823075276108,0,0,0.0695992145682801,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12213171105341,0,0.140188007446458,0,0,0,0,0.250528885738019,0
X600030.CH.EQUITY,0,0,0,0,0.193715392749782,0,0,-0.0804136319128967,0,0,0,0,0.180093533139563,0,0,0,0,0,0,0,0,0,0,0,-0.0127132508721795,0,0.0677682123130144,0,0,0,0,0,-0.00868844041997829,0.170151052086566,0,0.13850865740518,0,0,0,0.119996528360386,0,0.00891355180342827,-0.0362629509702166,0.174707342728694,0,0,0.010168824848911,0,0,0.129343021021105,0,0
X601658.CH.Equity,0,0,0.289837402874166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868658607256893,0,0,0,-0.0759313563400256,0,0,0,0,0,0,0.130300019979507,0,0,0,0,0,0,0,0,-0.131361796749213,0,0,0,0.644035168658979,0,0,-0.184263942552342,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.0932367647832016,0,0,0.0477045594249101,0,0,0.77790051738387,0,0,0,0,0.0102093061044615,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.022887176361787,0,0,0,0,0,0,0,0,0,0.0972272332687789,0,0,0.0834665497810362,0,0,0,0.0194564787191932,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.00664029065902434,0,0.130691909801788,0.363165708829536,0,0,0,0,0.0565766144175632,0,0,0,0,0.0508497504078241,0,0,0,0,0.0740079044782068,0,0,0,0,0,0,0,0,0,0,0,0,0.0184017211937309,0,0,0,0.0197787699256447,0,0,0,0,0,0,0,-0.0205372629886879,0,0.24645569280336,0.0486825204600381,0,0
X601328.CH.EQUITY,0.185449270050928,0,0,0.0666018276866767,0,0,0,0,0,0,0.0589601123808747,0,0,0,0,0,0.148627003671507,0,0,0,0,0.299426281353198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174230304380228,0,0,0,0,0.0960771337593854,0,0,0,0.00736688289210381,0,0,0
X000002.CH.EQUITY,0,0,0,0.250810758974508,-0.107586526126691,0,0,0,0,0,0,0,0.149874184768575,0.0520913203649406,0,0,0,0,0,0.0235846447183349,0,0,0.100246321143734,0,0,0,0,-0.108574868644782,0,0,0,0,0,0,-0.0701258634713627,0.18681347175883,0,0,0,0,0,0,0,0.0801982536834551,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.422084289369933,0,0,0,0,0,0,-0.0594517563234731,0,0,0,0,2.16840434497101e-19,0,0,0.0240336708237382,0,0.0387210814090902,0,0,-0.122750294810537,0,0,0,0,0,0.0659050590930417,0,0,0,0,0,0.29470022312724,0,0,0,0,0,0.68854560643723,0,0,0.046097309147052,0,0,0,0,0,0,0.0463909996646543,0
X000001.CH.EQUITY,0,0,0,0,0,0.312841492977814,0,0,0,0,0,0,0.0262783198892275,0,0,0,0.054465438626011,0,0,0,0,0.0220744365558583,0,0,0,0,0,0.0618124008422883,0,0.0816860848092004,0,0,0,0,0.0429311147563552,0,0,0,0,0.261725608588265,0,0,0,0.0952105202334396,0.0300861990276428,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.185641157182016,0,0,0,-0.0331159355740378,0,0,0,0,0,0,0,0.136556380889503,0,0.0150299198732719,0,0,0.0562900270239969,0,0,0.09722134631428,0,0,0,0,0,0,0,0,0,0.040847387971716,0,0,0,0,0,0,0,0.0545399514626543,0,0,0.010012251891943,0,0,0.259575504906005,0,0,-0.0185168287193699,-0.0618906402658007
