,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0353746677318049,0.17600228077196,0,0.0289196619902691,0.0102449947827294,0,0,0,0,0,0,0,0,0,0,0.225178575618459,0,0,0,0,0.0692919986904052,0,0.0133025023348909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590187857600145,0.0189260315794544,0,0.0289833672698709,0,0,0.0630936906213372,0,0,0.0335866665980532
X601318.CH.EQUITY,0,0,0.0977031816848981,0,0.100649612000261,0,0,0,0.120772887640145,0,0.0981788078233287,0,0.0381949090814739,0,0,0,0,0.0680536099064052,0,0.190394721713679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436345111170764,0,0,0,0,0,0,0,0,0,0,0,0,0.146882517526969,0
X601939.CH.EQUITY,0,0,0,0.0764845433081335,0,0,0,0,0,0,0.109033587126326,0,0,0,0,0,0,0,0,0,0,0,0.64081161127449,0,0.150100141537415,0,0,0,0.0821494130947696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.165690670314212,0.126955531220393,0.0420611983507627,0,0,0.104560477232006,0,0.39663604528255,0,0,0.0450393556405083,1.73472347597681e-18,0,0,0,0,0.000393361437672308,0,0,0,0,0,0,0,0,0,0,0.0590643339622023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287319600838359,0,0,0,0,0.0570732181268128,0,0,-0.0927241733298496,0
X600036.CH.EQUITY,0.0346752731278503,0.0419557075589357,0,0,0,0,0.257082377714139,0.0462401214587571,0,0,0,0,0.220220424619464,0,0,0.148319315763552,0,0,0,0,0,0,0.181707088297235,0.232995208040149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112184426875141,0,0.0225481325165395,0.0423405006814297,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0500965215870596,0,0,0,-0.117936036713012,0,0,0,0,-0.0641095157877124,0.11163533624809,0,-0.0572107027695001,0,0,0,0,0,0,0,0,0,0,0.65655110720037,0,0,0,0,0,0,0,0.0697063448679954,0,0,0,0,0.202565114851529,0,0,0.14775021985192,0.0166250959754265
X1299.HK.EQUITY,0,0,-0.0956135814505536,0,0.114038055746861,0,0,0,0,0,0,0.192423013794361,0,0,0,0,0,0,0,0,0.138989967144218,0,0,0,0,0,0.164627871765922,0,0,0,0,0,0.0493260619781588,0,0,0,0,0,0,0.0329951352513704,0.132629704023867,0,0.0862673823200948,0,0.0489748584359011,0.118274372911385,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.6633733544513,0.158433579567874,0,0,0,0,0,-0.00365843264477322,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0842605592217006,0,0,0.237405399515384,0,0,0.00777836008039399,0,-0.0239106815385104,0,0.10047763485787,0,0.132638551631474,-0.0107991489449442,0,0,0,0,0,0,0,0,-0.018873953172202,0,-0.0324768094273398,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00849921966072356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130282401600765,0,0,0,0,0,0.0852789353481976,0.17939640373812,0,0.014519940139842,0,0,0,0,0,0,0,0,0,0,0.345828927706882,0,0,0,0,0,0.152188199711061,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0850504720124433,0,0.0419133731226517,0.0376630721955989,0,0,0,0,0.0348501811764485,0,0.123162560144189,0,0,0.0439796575958993,0,0,0,0,0,0,0,0.158185954818326,0,0,0,0.391088814600861,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.0757180059425544,0,0.144533895776218,0,0,0,0,0,0.408819182668075,0,-0.0689754651279777,0,0,0,0,0,0,0,0,-0.059014487857661,0,0,0,0,0,0.115894642985176,0.127976093149343,0.286679759231985,0,0,-0.0155545639120366,0,0,0,0,0,0,0,0,0,0,0,0,-0.00116160921718702,0,0,-0.142285427180965,0,0.0107033666119594,0,0
X388.HK.EQUITY,0,0,-0.0264908310183757,0,-0.204604175320852,-0.0449411884491496,0.100429603280312,0,0,0,0,0,0.0519055229271879,0,-0.13248652399365,0.0309268244332358,0,0,0,0,-0.0364326826206656,0.584537520130515,0,0,0,0,0.250430450661266,0,0,0,0,0,-0.0799305575339507,0,0,0,0,0,0.159815344371375,0,0,0,0,0,0.0939254980063471,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,2.71050543121376e-20,0,0,0.407761791700343,0,0,0,0,0,0,0.0942612122845429,0,0,0,0,0,0,0,0.0759594346805547,0,0,0,0.444184482655602,0,0,0.189538802150932,0,0,0,-0.188953228190951,0,-0.121098524899973,0,0,0.0998526140072474,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105158065703913,0,-0.0661359045186785
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0612225599821227,0,0,0,0,0,0,0.416533431387443,0,0,0.0335831308101195,0,0,0,0,0,0,0,0,0,0,0,0.0441663646449772,0,0.208201857319795,0.0463739120102771,0,0,0,0,0.234934632669297,0,0.0458852444885525,0.0327455685208043,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.0134254431254261,0.023146931855273,0,0,0,0,0,0,0.046307271866793,-0.0110371093316259,0.29607318663667,0,0,0,0,0.0886743588953996,0,0.196315574530727,0,0,0,0,0,0.0824899279068901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729811190835997,0,0,0,0,0,0.147408008198708,0,0,0,0,-0.0446490832541874
X000002.CH.EQUITY,0,0,0,0,0.0321398731683074,-0.0273406608991037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280785101844509,0,0,0,0,0.0109300853040308,0.504957760467361,0,0,0,0,0,0,0,0,0,0,0.0152898714088652,0,0,0,0,-0.032754362972768,0,0,0,0,0,0.0723997569004041,-0.05744485649439
X601328.CH.EQUITY,0,0.0191058404845887,0,0,0.00956543731245096,0,0,0,0,0,0.0149042102265938,0,0,0,0.0454818030890675,0,0,0.220538908420244,0,0,0,0,0,0,0.302768375450893,0,0,0,0.0594462893652296,0,0,0,0,0,0,0,0,0.0312221082394082,0,0,0,0,0,0,0,0,0,0,0.00263163516566608,0,0,0
X600000.CH.EQUITY,0,0.0244392593318223,0,0,0.0630438776283954,0,0,0,0,0,0.0908668528789166,0,0,0,0,0,0.483665798905758,0,0,0,0,0,0.0843666798145699,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0.0723508743146495,0.0515264475076788,0,0.0193235035479559,0,0,0.035190253620914,0.0467304715864397,0,0,0,0.0195050240141118,0,0,0
