,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X002736.CH.EQUITY,0,0,0,0,0,0,0,0.0838527252688409,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188000762802007,-0.0172146323071031,0,0,0,0.184781637426861,0,0,0,0,0,0.253940524201545,0,0.0975717920711169,0,0,0,0.0822491981047444,0.102382037366914,0.239392828052945,0,0,0,0,0,-0.113636742469321,0,-0.0865526460573636,0,0
X300059.CH.EQUITY,0,0,0,0,0,-0.0295525192750569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397216874030851,-0.0983629632723794,0,0,0,0,0,0.470580420659225,0.212770926049763,0,0,0,0,0,0.239104056365415,0,0,0,0,-0.0423502751376184,0.027851936365409,0.0783478447004314,0,0,0,0.0951970684174764,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407302060264342,0,0,0,0,0,0,0.264598686871004,0.00628204156990175,0,0.215249071915916,0,0,0.0223094002996681,0.190455403021989,0,0.290468238716021,0.00617611564433475,0.0429285400758418,0,-6.93889390390723e-18,0,0,0,0.0296267953598773,0,0,0,0,0,0.047495286746923,0
X600837.CH.EQUITY,0,0,0,0.112889145880296,0,0.0372569188035562,0,-0.160566129607557,0,0,0.143229968122378,0,0,0.0690542296926916,0,0,0,0,0,0,0,0,0,0.0505522620026223,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.107839644390023,0.239071146422672,0,0,0,0,0,0.0504260218461411,0,0,0.148815807195464,0,0,0,0.0809438003615458
X600999.CH.EQUITY,-0.0674772534172652,0,0,0,0,0.167380760548685,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0833646815546079,0,0,0,0,0,0,0,0,0.206209502111865,0,0,0,0,0.0711365764400412,0,0.344395132882587,0.0850661965555139,0,0,0.0165227452477343,0.0453301571690288,0,0,0,0,0,0,0,0,0.116173567943959,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982625580123843,0,0.0944828692815823,0,-0.142668373989778,0,0,0,0,0,0.0736875992684959,0,0,0,0.233324343115579,0,0,0,0,-1.73472347597681e-18,0.248294198240102,0,0.225682810734179,0.0511454458265344,0,0,0,0,0,0.00356542837610602,0,0,0,0,0
X601211.CH.EQUITY,0,0,-4.33680868994202e-19,0,0,0.0868731625911331,0,0,0,0,0,0,0,0.177013117724412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496473738498546,0,0,0,0,0.0305201703935572,0,0,0.410748486891116,0,0.120396586181731,0,0.0690088942182287,0,0,0,0,0.0066818389987406,0,0.0316014763063823,0,0.0145624894954485,0,0
X601688.CH.EQUITY,0,0,-0.0554755667292488,0,0,-0.0272171649980833,0.259014213311767,-0.084520525745158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00662334983126734,0,0,0,0,0,0.412998893053662,0,0,0.0181376180536119,0.335791636165376,0,0,0,0.013046001767769,0,0,0,0,0.192426205547431,0,0.0186994463967268,0,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.28060841700576,0,0,0,0,0,-0.0871099872583198,0,0,0,0,0,0,0,0,0,0,0,0,0.463181797618157,0.0190735330087494,0,0.352962823394172,0,0,0,0.00926745705712309,0,0,0,0,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0.0445205024723541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382830582741408,0,0.00174598346468784,0,0,0,0,0,0.100359199071809,0.147970780456673,0,0,0.162189419696954,0.245733640656377,0,0,0,0.0624998043481052,0,0,0,0,0,0,0.0236298856647483
X601901.CH.EQUITY,0,0,0,0,0,-0.179577621731722,0,0,0,0,0,0,0,0,0,0,0,0,0.0857688759163599,0,0,-0.0206895522252157,0,0,0,0,0.296838421664416,0,0.135565705240104,0,0,0,0,0.0756667224573116,0.202249163626814,0,0,0,0,0,0,0,0,0,0,0.0535177701847028,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257792303821164,-0.0443184103443862,0,0,0,0,0,0,0,0,0,0,0,0,0.0279924438096032,0,0.378255573378103,0,0.203160101805764,0.060479475967841,0.0906730079105623,0,0,0.0249033790940769,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-0.169090275193126,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931293969825921,0,0,0,0,0,0,0,0,0.0735039280455521,0.494930130694361,0,0,0,0,0,0,0,0,0.19999129137482,0,0,0,0,0,-0.0372759340519471,0,0.18417318449036,0,0,0,0.141556020270874
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113582928879662,0.34483880329269,0,0,0,0,0,0,0,0.0166026947629946,0,0,0,0,0,0,0,0,0,0.081699280325177,0,0,0,0,0.0253878935535556,0,0,0.0261858110459075,0,0.156796749017505,0,0.176495416365027,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.152336675055378,0,0.0719452673280418,0,0.105899623270977,0,0,0,0,0,0.0800887793841132,0,0,0,0,0,0,0,0,0,0.202617079369916,0,0,0,0.0663060082828069,0,0,0,0,0,0,0,0,0,0,0.100534484891537,0,0.123661348789152,0,0,0.0106335150534549,0,0,0,0
X601336.CH.EQUITY,0,0.16700358831999,0,0.0567325356118996,-0.017346981038978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175237885241885,0,0,0,0,0,0,0,0,-0.0112895503788236,0,0.0947477286918906,0,0,0,0,0,0,0,0,0,0.194179878138431,0,1.73472347597681e-18,0,0.0166192907657966,0.548349447696777,0.105043455958568,0,0,0,0
X601601.CH.EQUITY,0.166449832421324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888445772742353,0,0,0,0.0307969909063101,0.0390146546782267,0,0.0449616658722446,0,0,0,0,-0.007183655989207,0,0,-0.136462720917043,0.132615952663029,0,0,0,0,0.0108963613261788,-0.110347415275488,0,0,0.518561676711902,0.189571593806948,0.00607667809339886,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,-0.0785723727509053,0,0,0,-0.0707091439075636,0,0,0,0,0,0,0,0,0.115326476993099,0,0,0,0,0,0,0,0,0.0565179474810498,0,0,0,0,0,0.163358164034951,0,0,0,0,-0.127391845219144,0,0,0,3.46944695195361e-18,0,0.113435197951116,0,0,0.580929409552794,0.000146795905532744,0,0,0,0.0512254152015318,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0799730051875533,0,-0.00189518001556435,0,-0.147721343443511,0,0,0,0,0,0,-0.0850678755789009,-0.211401212231603,0,-0.0381254116730313,0.187304791488147,0,0,0,0.194844058615156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135260354587128,0,0,0,0,0,0,0,0.0191996763228916,0.30528665739667,0
X2881.TT.EQUITY,0,0,0,0,0,0,-0.287803720678889,0,-0.148144338343283,0.1265051957377,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0238663412147244,0,0,0.187857533181737,0,0.185225815196044,0.0249877140143125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12089266610747,0,0,0,-0.0359729322949998,0,0.410634972419884,0.217400888675379,0.0927522711148051
X2882.TT.EQUITY,0,0,0,0,0.0122346878522567,0,0,0,0,0,0,0,0,0.0592999863271502,0,0,0,0,0,0,0.131541348261259,0,0,0.0540956270644799,0.233636945093363,0.0110442349068486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120235382314883,0.435187017223594,0,0.0150202764845879,0
X267.HK.EQUITY,0,0.301739088553681,0,-0.0404694866188156,0,0,0,0,0.117781957360257,0,0,0,0.0548388841809797,0,0.271042482334935,0,0,0.0124115260723158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034211564030932,0,0,0,0,0,0.335675293429788,0,0,-0.696954867833381,0,0,0.328674224181935,0.0923571687859076,0,0,0,0.100450866735787
macro_return_add,0.23738761845852,0,0,0,0,-0.247541489676952,-0.0702795983239016,0,0,0,0,0,0,0,0,0,0,-0.05684366324487,0,0,0.043866586763651,0,0,0,-0.267427977550409,0,0,0,0,0,0,0,-7.05482262939084e-06,0,-0.312406184667843,0,0,0,0,0,0.111861049137479,0.172188573306627,0,0,0,0.0855762736943097,0,0,0.120001780579172,0,0
