,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600061.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0.0362785796204879,-1.73472347597681e-18,0.148643525102824,0,0,0.14851730985362,0,0,0,0.197333640812874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514492998895995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143712554934014,0,0,0,0.0334316082227375,0
X002142.CH.EQUITY,0.0470223935761437,0,0,0,0,0.170752283806635,0,0.474098073189219,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954738469153679,0,0,0,0,0,0.126590301277416,0.0435923127261863,0,0,0.00336943478294595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.12136124786591,0,0,0,0.167392675422678,0.166835680338747,0,0.20945200597364,0,0.0634705540041755,0,0,0.0208125723326378,0,0,0,0,0,0,0,0,0,0,0,0.178508536506335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031976767492889,0,0,0.0144961579679175,0,0.00522728085585079,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.587639113606045,0,0,0.143885795493115,0,0.0275333095804859,0,0,0,0.0396102791218001,-3.46944695195361e-18,0,0.0415609500631529,0,0,0,0,0.0819220993490221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434952689882242,0,0,0,0,0,0,0,0,0.0532454125859888,0,0
X600016.CH.EQUITY,0,0,0,0.11636902590536,0,0,0,0,0.141189735528111,0,0.00694891395419408,0,0.256036265403904,0,0,0,0.220423370864351,0,0,0,0,0,0.0280738612900284,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151289200418785,0,0
X600036.CH.EQUITY,0.406983714773445,0,0.192007864872666,0,0,0,0,0,0.110648070870529,0,0,0,0,0.0517920232598464,0,0,0,0,-0.039246784409013,-0.0343962139690318,-0.0649424087476891,0,0,0,0,-0.0752886455611422,0,0,0,0.0395175401409444,0,0,0,0,0.0822324104863872,0,0,0.0542888342522247,0.0934041875356746,0,0,0,0,0.0540871758811466,0,0.0884184008587977,0,0,0
X600919.CH.EQUITY,0,0,0,0.299075268419846,0,0,0,0,0,0.0719232628495049,0,0,0,0,0.0230180088186002,0,0.265711464093325,0,-0.0468603556850954,0,-0.0183540904534573,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.241826399607714,0,0,0,0.0114655107600659,0,0.0867793586058352,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.025029057810231,0,0,0.0567967713439112,0,0.181914943049529,0.192640027656851,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215962207154136,0,0,0,0,0,0,0,0,0,0.00982879281320457,0,3.46944695195361e-18,0,0,0,0.0774600460500891,0,0,0,0,0,0,0,0,0.348287491049803,-0.127855965001523
X601166.CH.EQUITY,0,0.0744725789388766,0,0,0.267432559178217,0.146685055568779,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.158036724480369,6.93889390390723e-18,0,0,0,0,-0.00124689159665922,0,0,0,-0.00867277772877407,0,0,0,0,0,0,0,0,0,0,0,0,0.0731065745433812,0,0,0,0.117545656384051,0.00748234157966915,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.103288453324126,0,0.166433668899193,0,0,0,0,0,0,0,0,0,0.0220132085313649,0.164783840506764,0,0,0,0,0,0,0,0.244208630009741,0,0.038449376276055,0.0697107168884409,0,0,0,0,0,0,0,0,0,0.0272828482860209,0,0,0.031825586072992,0,-1.73472347597681e-18,0.0308200183852158,0,0,0,0,0
