,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0.125473065843252,0,3.46944695195361e-18,0,0,0.088441047823939,0,0,0,8.67361737988404e-19,0.0347773004364558,0,0.329995202061146,0,0,0,0,0.0635045190307547,0,0,0.16656134973898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592214851333323,0,0,0,0,0,0,0,0,0,-0.0205213881470724,0.191032010375922,-0.177133569571538
X601398.CH.EQUITY,0,0,0,0,0,0,0.216523684560225,0,0,0,0,0,0,0,0,-0.102445702303712,0,0.0681239718692499,0.760115465768901,0,0.0513649650783325,0,0.113396273182272,0,0.0285978297755749,0.0992506056011036,0,0,0,0,0,0,0,0,0,0,0,0,-0.0643687747031421,0,0,0,-0.284002596302693,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0.0367443938567754,0,0,0,0.0581252899465991,0.122455743807079,0,0,0,0.0653388211724756,0,0,0,-0.130335825914069,0,0,0,0,0.224510807131031,0,0,0,0.00257126074115818,0.0670905995245714,0,0,0,0,0,0,0.292271808076722,0,0,0,0,0,0,0,0,0,0.0597339614004696,0,0.00265350788495294,0,0.110430036268217,0,0
X601818.CH.EQUITY,0,0,0,0.18130987872564,0.0431466446262181,0.223011936649439,0,0,0,0,0,0,0.222107537238982,0,0,0,0,0,0,0,0.429329522809902,0,0,0,0,0.0618890297143215,0.0143084813725997,0,0,0,0,0,0.124065941773803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489271034806663
X601838.CH.EQUITY,0,0.243884816009113,0,0,0,0,0.111822579610511,0.0692255847471237,0,0,0,0,0,0.0555172828968454,0.190601361067086,-0.0553465564450716,0,0,0.0235097007133072,0.0247704134749712,0,0,0,0,0,0,0,0,0,0,0,-0.0416460176538583,0,0.0484222028437116,0,0,0,0,0,0,0,0,0,0.141461066990354,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.368331049467741,0.0200291562799093,0,0,0,0.0938451853070542,0.0028136845240834,0,0,0.204929379735729,0,0.203612395685927,0,0,0.168255719917922,0,0.0784022455927777,0,0,0,0,0,0,0,0,0,0,0.135786789847508,0,0,0,0,0,0,0,0,0,0.00193690420769831,0,0,0,-0.154428346916107,0,0,0,-0.0551202234121832,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.0316783003017856,0,0.0599771020969899,0,0,0,0,0.221340564403777,0.0704296945756621,0,0,0,0.674554641117536,0,0,0.0376290768687394,0,0.021294949910198,-0.00212186069659729,-0.0505141308720484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154716668894839,0,-0.0835420065932551,0,0,0,-2.16840434497101e-19
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959716528996696,0,0,0,0.0519325068148479,0,0,0,0.403492094121925,0,0.0471348918535086,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.17752171326266,0,0,0,0,-0.087701057088896,0,0
X601658.CH.Equity,0.198216276227109,0,0,0,0,0.567116345722793,0,0.202945292492228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555443450423827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.322479016179103,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0.149955009278807,0,0,0,0,0,0,0,0,0,0,0.056316425686225,0,0,0,-0.36787039632587,0.610612289490452,0.120557106066443,0,0,0,0.0179676255231297,0,0,0,0,0,0,0,0.139721340514641,0,0,0,0.185960895998537,0,0,0,0,0.0737447260527862,0,0,-0.358163596469278,0.0207512364710509,0,0,0,-0.0131861021503562
