,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X600999.CH.EQUITY,0,0,0,0,0,0,0,0.222762308673591,0,0,0,0,0,0,0,0,-0.0326209320806867,0,0,0,0,-0.0142846541482778,0,-0.021886672897173,0,0,0,0.193927808886481,-6.93889390390723e-18,0,0,0,0,0.0055528195068487,0.331168655207757,0,0,0,0.205428604528392,0,0,0,4.33680868994202e-19,0,0,0,0.0687654595914221,0,0
X601066.CH.EQUITY,0,0,0,0,0,-0.0448488849716119,0,0,0,0.0128128560767713,0,0,0,-0.108410329324977,0.288335442609005,0,0,0,0,0,-0.345185698557281,0.113757957573077,0,0,0,0,0,0,0,0,0.0105627806871573,0,0.141673771751756,0,0,0,0,0,0,0,0,0,0,0,0,-0.223416807247747,-1.38777878078145e-17,0,0
X601211.CH.EQUITY,0,0,0,0,0.0196998452075378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248500568444882,0,0.132869449842521,0,0,0.00597343282092286,0,0.100851622473255,0.277130092858225,0.0143718178381304,0,0,0,0.273720309182692,0.0176581948064451,0,0.000722147868661448,0.120791849696379,0,0,0,0,0,0,0
X601236.CH.EQUITY,-0.0697522179488253,0,0,0,0,0,0.00315082790364109,0,0,0,0,0.0203348105824623,0,0,0,0,0,0,0,0,0.0518230281102141,0.104644273871014,0,-0.153289403278457,0,-0.126217108308501,0,0,0.0737187758682482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723705366998676,0.0926032094317501,0.0924418611186833,0.105980563694283,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0663790939535849,0,-0.045854036399708,0,0,-0.125788676619765,0,0,0,0,0,0,0,0,0.00687238523038531,-0.0324433211234703,0,0.268513262519232,0,0.340368215824859,0,0,0,0,0,0,0,0,0.305821564419523,0,0.0745350318452385,0,0,0,0,0,-0.0930429724650375,-0.00715775986408778,0,0
X601881.CH.EQUITY,0,0,0,0,0.0408937964389777,0,0,0,0,0,0,0,0,-0.0493010774997354,0.110475225905031,0,0.0627331552933728,0.0655597648504267,0,0.00902200118747666,0,0,0,0,0,0,0.290566685900038,-0.180223207461307,0,0,0.27680454199448,0.226391088903811,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319804547890212,-0.165434017271618,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,-0.0861136665121761,0,0,0,0,0,0.0176303623652461,0,0,0,-0.0172604145029042,0.053276203358564,0,0.355004601556239,0,0,0,0.118755197631797,0,0,0,0,0,0,0,0,0.0837132328745064,-0.150746974658431,0,0,0,0,0,0,0,0,0.195801012734598,-0.137213416774217,0.36101669921456,0,0,0,0
X601318.CH.EQUITY,0.0648623976354957,0,0,0,0,0.106667767207977,0.0139642588952537,0.069965273955899,0,0.0313055685343135,0,0,0.0244438140093889,0,0,0,0,0,0,0,0,0.048635066892948,0,0.0303797877003351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371276349644554,0,0.0916806726562208,0.0774439623804633,0,0.0501294355344334,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0245847389199376,0,-0.068062849884478,0,0,0,0,0.146290572214527,0,0,0,-0.0371950149262144,0,0.0414087428885575,0.028619112148279,0.217266376730909,0,0,0,0,0,0,0,0,0,0,0.166640053989927,0,0,0,0,0.0350521865300725,0.317184131396191,0,0,0,0,0,-0.0490804139565298
X601336.CH.EQUITY,0,1.38777878078145e-17,-5.42101086242752e-20,0,0,0.155633581906143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266177835011405,0,0,0,0.10537590967849,0,0,0,0,0.284324907385979,0,0,0,0,0,0,0,0,0,0,0.124489543872489,0.0338237721592943,0,0
X601601.CH.EQUITY,0.0883580397968867,0,0.111432505688148,0.0589696629063251,0.0167300094517992,0.0536436164031788,-0.202066565722677,0,0,0,0,0,0,0,0,0,-0.236731943410161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129537040555231,0,0,0,0,0,-8.67361737988404e-19,0.116032361022484,0,0,0,0.508820405298893,0,0,0.0511449972434781,-0.0102952560572778,-0.0206948503380003
X601628.CH.EQUITY,0.108303603471943,0,0,0,0,0,0,0,0.00520652339922265,0,0,0.0600398999204895,0,0,0,0.0165095014404326,0,0,0,0,0,0,0,0,0,0,0.0124258132558306,0.0423546680329629,0,0,0.184233229359818,0,0,0,0,0,0,0,0,0.0298232171526069,0,0.064463692594204,0.395068884249389,0,8.67361737988404e-19,0,0,-4.33680868994202e-19,0
X1299.HK.EQUITY,0,0,-0.0015542169445768,0,0,0,0,-0.0284591497506865,-0.0648272572156086,0,-0.0569247389010548,0,0,0,0,0,0,0,0.0996168871678102,0.0833263958557415,0.44145047541282,0,0,0,0,0,0,0.0376173620820083,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.101689274139982,0,0,0,0.163854655324912,0,0,0,0,0
X2881.TT.EQUITY,0,0.290499192642689,-0.0353424631124792,0,0,0,0.0880320587461471,-0.388376140410964,0,-0.0873260827997091,0.380890530484117,0,0,0,0,0,0,-0.350760232470026,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0944601841585242,0,0,0,0,0,0,0,-0.470632268907766,0.695050192381895,0.432481465426721,0,0,0,0,0.0293070973490961,0
X2882.TT.EQUITY,0,0,0,0,-0.0561961593548954,0.105914029923244,0.0155733430312064,0,0,0,0,0,0,0,-0.0325382461693587,0,0,0,-0.113250367097004,0,0.104456288432212,-0.0122988764054042,-0.0621213690781573,0,0,0,0,0,0,0.0179513027568233,0,0.163357747056303,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0343698019334485,0,0,0,0.299248278149077,0,0,0
X267.HK.EQUITY,0,-0.0110558504232076,0,0,0,-1.38777878078145e-17,0.138851367409951,0,0,0,0,0,0.0956276444291507,0,0,0,0,0,0,0,0,0.140659991791443,0,0,0.316973836787736,0,0,0,0,0,0,0,0,0.0153240382543535,0,0,0,0.454681249565494,0.166197825279714,0,-0.100550080057033,0,0,0,0.00829140328899697,0,0,0,0
macro_return_add,0,-0.0364161503607824,0,0,0.742586174993528,0,0,0,0,-0.0479818688176912,0.0478711691064427,0,0,0,0.0676409106248877,0,-0.0593158191116514,0,0,0,0.116006373909069,0,0,0,0,0.14553706525617,0,0,0,0,0,0,0,0,0,0,0,-0.155257708449182,0,0,0,-0.359546266431636,0,0,-0.0435696062512533,0,0.209385474577714,0,0
