,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.121184893243192,-4.33680868994202e-19,0,0,0,0,0,-0.0923820361924081,0,0,0,0,0,0,0.027304827512294,0,0,0,-0.138361540760163,0,0.0722187433087929,0.534902003974055,-0.178499666695667,0,0.517218669299891,0,0,-0.081591485631137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0.185498173918634,0,0,0,-0.0686829482842913,0,0,0.124612965576002,0,0,0,0.046894363979404,0,0,0,0.0193396454221213,0,0,0,0,0,0,0,0,0.0302646235225873,0.153647760882004,0,0,0,0,0.232584552666063,0,0.114626114020027,0,0,0,0,0,0,0,0,0,0,0.0390619532760159,0,0
X601939.CH.EQUITY,0,0.0819414165446898,0,0.801940694742306,0,0,0,0.00153964988963597,0,0.0440744388319111,0,0,0.0144701940716771,-0.0105006219772524,0,0,0.0805628958278215,0,0,0,0,0,0,0,0,0.0255457802030178,0,0,0,0,0,0,0,0,0,0,0,0.0707125278755558,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0184225833324303,0,0.927918197359464,0,-0.0566540239474402,0,-0.096017998562228,0,0,0.0223391785228708,0,0,0,0,0,0.0136854036993456,0,0,0.131298710255991,0,0,0,0,0,0,0.0588499395012705,0,0,0,0,0,0,0.0403287458024251,0,0,8.67361737988404e-19,0,0,0,-0.0648217843312644,-0.0559013323206372,0,0,0,0,0.0270685670702213,0,0,0,0,-0.0657767896496969
X601628.CH.EQUITY,0.00595920090806643,0,0,-3.46944695195361e-18,0,0,0,0,0,0.278098222490976,0,0.136469532898915,0,0,0,0,0,0,0,0.436034870002251,0,2.16840434497101e-19,0,0,0,-0.0487597746794581,0,0,0,0,0,0,0,0,0,0,0,0.0714342530427925,0,0,0,0,0,0,0,0.0185461637846657,0,0.248457915604878,0,0,0
X600036.CH.EQUITY,0,0,0.0439241228688901,0.279062989446906,0,0,0,0.00493100897313505,0.0288348449121485,-0.00473868464876689,0,0,0,0,0,0,0,0.178267126958934,0,0.0323478062995857,0,0,0,0,0,0.0437764447565105,0,0,0.18372320603896,0,0.129554348568322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518295726114543,0,0,0,0,0.0342078287851034,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0649333153612619,0,0,0,0,0,0,0,0,0,0,0,0,0.299452454330431,0,0,0,0,0.0730205630186869,0,0,0,0,0.14992664115563,0,0,0,0.122019671336423,0,0.136814105077577,0,0,0,0.046420558095514,0,0,0,0,0.104290602579171,0,0,0
X601988.CH.EQUITY,0,0,0,0.087195824713784,-0.0454973998992074,0,0,0,-0.0202918127617378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175680115059889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.125538040943174,0,1.00115996015302,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507551923161566,0.0381560184646213,0,0,0,0,0,0.103169499332838,0.297192797179247,0,0,0,0,0,0,0,-0.221507415802331,0,0,0.00901993858720409,0,0,0,0,0.1491676102538,0.033161454110259,0,0,-0.151863027339087,0,0.0812930365691751,0.151783391717778
X388.HK.EQUITY,0,0,0,0,0.119353167793616,0,0.168260255258864,0,0,0,-0.294155014164408,0,0,0,0,0.13156532774394,0,0,0,0,0.200739510157185,0,0.166639550018758,0,0.405025651922324,-0.229898317784845,0.0330272934557472,0,0.0621372662872807,0,0.0809735604165487,0,0.326414706891597,0,0,0,0,0,0,0,0,-0.209927068246739,0.0469055202465717,0,0,0,0,0,0,-0.188595460951216,0
