,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,-0.181363198928472,0,0,-0.0450712827429318,0,0,0,0,0,0.494455587220198,0,0,0,0,0,0,0,0,0,0,-0.148227313469864,0,0,0,0,0,0,0,0,0,0,-0.285143385637193,0,0,0,0,0.700096088924114,0,-0.151383052003491,0.0594082897353429,0,0,0,0,-0.0393435514417082,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.163448810556003,0,0,0.0261049764222075,0,0,0,0,0.0592519618152059,0,0,0,0,0,0,0,0.121736578583581,0,0.033924863186676,0,0,0,0,0.0581264575325668,0,0,0,0,0,0,0,0.59124536898122,0.0224462064258166,0,0.0194296086401646,-0.077388451472544,0,0,0,0,-0.0400772302044024,0,0,0
X601939.CH.EQUITY,0.315148690328095,-0.0644499834735011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.118491721376583,0,0,0,0,0.155432029496099,0,0.0992488622954631,0,0,0,-0.366771181410301,0,0,0,0.603651866077091,0,-0.0269838368410529,0,0.0146482900672133,0,0,0,0,0,0.082884569956178,0
X601288.CH.EQUITY,0,0,0,0,0.0370240092693553,0.355194116834063,0,0,0.277505774725248,0.0548724896934865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153375690003301,0,0,0,0,0,0,0,0,0,0,0,0,0.051185298543033,0,0,0.0907636152467927,0,0,0,0,0,0
X5.HK.EQUITY,-0.189086523155186,-0.0733198073946161,0,0,0,0,0,0,0,0,0,0,0,0,0.227579785782843,0,0,0,0,0.137532645887025,0.197506953589329,0,0,0.454453373227248,0,0,0,0,0,-0.115400657269259,0,0,0,0,-0.0272741536413107,0,0,0,0,0,0.19234678946366,-0.134969066444177,0,0,0,0,0,-0.116026910148606,0,0
X601988.CH.EQUITY,0.0832754315727938,0,0.0712067191886339,0.710531301883351,0,0,0,0,0,0,0.0893112131152938,0,0.036460648855515,0,-0.13487655109795,0,0.114147743303225,0,0,0,0,0.0153085951634435,0,0,0,0,0.120577332928518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988573069550396,0,0
X600036.CH.EQUITY,0,0.464707210411301,-0.0186204504011433,0,0,0,0,0,-0.128591813677634,0.610395852384176,0,0,0,0,-0.129884976587402,0,0,0.0180516158628993,0,0.0972192903476106,0,0,0,0,0,0.106988291705057,0,0.0556806459697696,0,0.328922121667209,0,0,0,0,-0.229511998908761,0,0,0,-0.0623300631483312,0,0.170416093779567,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0628694511612175,0,0,0,0,0,0.297771814851061,0.194143851944417,0,0.0747416861747884,0,0,-0.0980320673330177,0,0.228061806257384,0.154346801403928,-0.0976408963179025,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464556878626793,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0855379005588928,0.00733490940775782,0,0,0,0,0,0,0,0,0,0,0.281427286645197,0,0,0,0.0225868733918131,0,0,0,0,0,0,0.1248410454066,0,0,0,0,-0.0467807692048049,0,0,0,0,0,0,0.0710079097162021,0.253945376255355,0,0,0,0,0,0,0,0,0,0,0.0724965306644432,0
X601328.CH.EQUITY,0,0.237840703246621,0.169393574577339,0.349029432004221,0,0,0.262821595489103,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.130562470900473,0,0.102917618637024,0,0,0,0,0,0,0.400487083663628,0,0,0,0,0,0,-0.129739879692813,0,0,0,0,0,-0.148442589682935,0,-0.2350741173181,0,0,0,0,0,-0.0431918036682045,-0.267656660952195,0
