,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.00244124599439021,0,0.223289855392241,-1.73472347597681e-18,0,0.110570159319887,0,0.24361415799723,0,0,0,0,0,0.127856693221741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103897411088284,0,0,0,0,0,0,0,0,0,0,0,0,0.0479547956626078,0,0,0.07715401387075,0
X601318.CH.EQUITY,0.14488887758028,0,0,0,0,0,0,0,0.312096828196625,0,0,0,0,0,0,0,0.338207775354162,0,0.0232245832261007,0,0,0.0171991544391817,0,0,0,0.10597714718413,0,0.0222151895951745,0,0,-0.12334370665208,0,0,0.112874505370425,0.0811417009237243,0,0,0,0,-0.0286734365506738,0.0262884659358548,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.285141568052686,0,0.075464913456153,0,0,0,0,0,0,0,0.423871567197275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562273638068886,0,0,0,0.0735054994113068,0,0,0.00953312009245191,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.333427017764923,0,0.0166361572019625,0,0,0.502901704088758,0,0,0,0,0.0138451333997696,0,0,0,0.0434241618178596,0,0,0,0,0,0,-0.0200752905568821,0,0,0,0,0,-0.0139710973143575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104136418986259,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0953738722100443,0,0,0,0,0,0.0129824298841707,0,0,0,0.402053690752478,0,0,0,0,0.0678908984015842,0.158750238686507,0,0,0.353784477011801,0,0,0,0,0,0,0,0.0171927780510574,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.398462245182557,0,0.00833586226575439,0,0,0,0,0,0,0,0.0633473578618849,0,0,0,0,0,0,0,0.0390736107667154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152113289150188,0.010259092827129,0,0,0,0,0,0,0,0,0,0,0.291967231697294,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.220907305310493,0,0,0.264248185852137,-1.38777878078145e-17,0.0676689857404952,0,0,0,0.175109739047409,0,0,0,0,0,0,0,0,0,0,0.00919026287262121,0,0.114961088532274,0,0.0745135257381586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0601910221884095,0,0,0,0.470736831086002,0,0,0,0.124968667786496,0.106208879633768,0,0,0,0,0,0,0,0,0.268548110474593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.265984877246979,0.0413144925196225,0,0,0,0,0,0,0,0,0,0,0,0.0498986056935187,0,0,0,0,0,0.0927136489050136,0,0,0,0,0,0,0,0,0.0802817383544837,0.272937929842222,0,0,0,0,0.0554059124387297,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0042904422491764,0,0,0,0,0,0.222695505263675,0,0,-0.134625045307461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227783114224434,-0.182146105618382,0,0,0,0,-0.0804789015305954,0,0,0,0,0.739329628653084,0,0,0,0,0.618497417733514,-0.276950597827499,0,-0.479143066498534,0
