,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.217048444089902,0,0,0,0,0.394616463553961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265764116750065,0,0.0258789808964056,0,0.0126504076234585,0,0,0,0,0,0.0687347553068697,0.053955617798342,0,0,0,0,0,0,0.0268679985657045,0,0,0,-0.0946028563160888,0,0
X601318.CH.EQUITY,0,0,0.246877039466799,0,0,0,0,0,0.0804508840407935,0,0.074875541060769,0,0.0153412223012854,0,0.181296181515544,0,0,0,0,0,0,0.0581579992982654,0,0,0,0,0,0.191311423045929,0,0,0,0,0,0.0500197715041311,0.0215822669870145,0,0,0,0,0,0,0,0,0,0.0623699682321187,0,0,0.0368075242492885,0,0,0
X601939.CH.EQUITY,0.285250198639033,0.222897160396831,0,0,0,0,0,0.497138368384045,0.0806810243060863,0,0,0,0,0,0,0,0,0.0303306843684552,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210207340548333,0,0,0,0,0,0.0560303193826758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188468366689826
X600036.CH.EQUITY,0,0,0,0,0,0.152015744386047,0,0,0.0605826525208234,-0.101948354963597,0,-0.101269282401496,0.152708742027577,0,0,0.156753045253117,0,0,0,0.163827144514883,0,0,0,0,0,0.403841149575086,0,0.0349869803802049,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735346359401572,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.030900377242175,0,0,0,8.67361737988404e-19,0.523762499007678,0,-0.0662976625796813,0,0.00680496449060445,0,0,0,0,0,0,0.0168131554020414,0.0420163437394567,0,0,0.0733979612480131,0,0,0,0.109452672385134,0.111898227558752,0,0,0,0,0,0,0,0,0.0589538695164789,0,0,0,0,0,0,0,0,0,0,0.0216839436329773,0.0126962279445266,0.0287358822285216,0.0372845480016232
X1299.HK.EQUITY,0,0,-0.081073595555083,0,-0.0155384699446446,0,0,0,0,0.21932781280528,0,-0.0627346964640473,0,0,0,0,0,0,0,0,0,0,0.170910112199925,0,0,0,0,0,0,0,0.0232076424787674,0,0,0,0,0,0.130854312162156,0.0270292258002025,0,0.206522746182164,0,0.205352836762379,0,0,0,0,0,0,0.199721759059239,0,-0.0783327549571797
X601628.CH.EQUITY,0.10792269356928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171706326897778,0,0,0.236304896174032,0,0,0,0,-0.129245305055788,0,0,0,0,0,0,0,0,0,-0.0167152974763543,0,0.574984089390284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152926509055772
X601988.CH.EQUITY,0,0,0.0751300947551829,0,0.44150239531279,0,0,0,-0.0912153335355167,0,0,1.73472347597681e-18,0,0,0,0,0,0.279313802455546,0,0,0,0,0,0.0456237842102969,0,0,0.0832051260071238,0,0,0,0,0,0,0,0,0,0,0.00190823589220019,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0521864244462657,0,0,0,0,0,0,0,0.19682193750979,0,0,0,0,0,0,0,-0.00773698206869822,0,0,0,0.217461951140211,0,0.0671982799391576,0,0,0,0,0,0,0,0,0,0,-0.114827589507629,0.184145469962576,0,0,0,0.218394459365789,0.184414849691194,0.0397968998875013,0,0,0,0,0.115005276984463,0,0,0
X388.HK.EQUITY,0,0,0,-0.19469430601673,0,0.418588071901572,0,0,-0.173158780412662,0,0,0,0,0,-0.0392366675715842,0,0,0,0.352633979764163,0,-0.170270036498537,0,0,0,0,0,0,0,0,0,0,0.18126825561415,0,0,0,0,-0.0319556505116156,0,0.0389418040587512,0,0,0,0,0.0340388495373742,0,0,0,0,0,0,0.19089341848003
X601166.CH.EQUITY,0,0,0,0.318121527949362,0,0,0,0,0,-0.000507683414178301,0,0.124927005585296,0.449422911425984,0,-0.0776031546440825,0.0597650000766487,0,-0.034001711328508,-0.160790612201582,0,-0.0867735074066211,0,-0.0236384303316324,0,0,0,0,0.152676282529945,0,0.000236346636389303,0,0,0,0,0,0.0605058850151914,0.121718314411588,0,0,0,0,0,0,0,0.0459597560410795,0,0,0.0245599046256727,0,0,0
X601658.CH.Equity,0,0,0,-0.237933241576528,0,-0.0775460417555052,0.0620731913541203,0.445430408243333,0,0,0.368874415207387,0,0,0,0,0,0,0.27748898069407,0.203284102216958,0,0,0,0,0,0,0,0,0.0655239498150982,-0.392664398915526,0,0,0,0,0,0,-0.0475099436250699,0,0.20087950555325,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18
