,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0.143958195651745,0,0.0166243584257318,0,0,0,0,0,0,0.283013372756838,0.244510829009795,0,0,0,-0.0962279518216458,0,0,0.017900840570959,0,0,0,0,0,0,0,0,0,0,0,0,0.265297495593436,0.0253121311328144,0,0,0,0,0,0.0408322975936757,0,0,0.0614780414712217,0,-6.93889390390723e-18,0,0.0203400656497253,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.103096558595588,0,0,0.261920552151352,0,0,0.372948030809114,0,0,0,0.128649407845364,0,0,0.0383102021704706,-0.0158472064047264,0,0,0,0,0,0,0,0,0,0,0,0,0.076451535650868,0,0,0,0,0,-0.259359193181007,0,0.0233597321924968,0,0.104863288602519,0,0,0,0,0.0514542950936277,0,0
X601939.CH.EQUITY,0.473983301831702,0,0,0,0,0.184217907297156,0,0,0,0,0,0,0,0.0612285052067735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37052442009282,-0.115388563858993,0,0,0.0490452450977574,0,0,-0.0446110049640639,0,0,0,0
X601288.CH.EQUITY,0.565663915885369,0,0.129998326005083,0,0.125553475419687,0.0697700340542711,0,0,0.0238453216120354,0,0,0,0,-0.0529708330247517,0,-0.0294300349930789,0,0,-0.0387273284177996,0,0,0,0,0,0,0,0.058345657029854,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0513725827332516,0,0.026925116523087,0.211019864410761,0,0,0,0,0,0,0.0201211701597726,0,0,0,0
X5.HK.EQUITY,0,-6.93889390390723e-18,0.217197202035172,0.0729096902062691,0,0,0,-0.108351077022463,0,0,0.100017252825835,0.229466853532791,0,0,0,0,0,0.625010186132405,0,0,0,0,-0.148300432628264,0.0410252108111901,0,0,-0.159233038079088,0,0,0,0,0,0,0,0,0.0335493695401513,0,0,0,0,0,0,0,0,0,0.171689397892789,0,-0.0316085969432919,0,0
X601988.CH.EQUITY,0.091346589041842,0,0.134229860491457,0.145895403430054,0,0,0,0,0.144027350402489,0.107991204172126,0.163044604680109,0,-0.325023840047184,0,0,0,0,0,0.000785389656032711,0,0,0.213870598208922,0,0,0,0,0.0698555253140068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247423475623091,0,0,0,0.0180057777904191,0
X600036.CH.EQUITY,0,0.111108278426365,0,0,0,0,0,0,0,0,0,0.157360528296148,0,0.101471747100611,0,0.248142204626826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197646514458765,0,0,0,0,0,0,0.0393343044610355,0.0358155882382661,0,0,0,0,0,0.106287663488223,0,0,0.0457510991352988
X1299.HK.EQUITY,0,0,0,0,0,0,0.129119799217013,0,0,0,0,-0.0165943055163165,0,-0.0323934275007462,0,0,0.225679953656515,0.259458899851145,0.197258562322876,0,0,0,0,0,0,0,0.0957936733553495,0,0,0.0238139704258433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.285044966101087,0.174550655503652,0,0,0,0,0,0,0,0.0029461057672177,0,0,0,0,0,0,0,-0.130367410394408,0,0,0.0490575721698933,0,0,0,0,0,0,0.101854132676036,0,0,0,0,0,0.00964410051314433,0,0,0,0,0,0,0,0,0,0,0,0.0910561885060058,0,-0.0471816761354644,0,0.31299379567337
X601166.CH.EQUITY,0.128708686504858,0,0,0,0,0.0988796171223129,0.313615496700394,0,0,0,0,0,0,0.0940975597524644,0,0.424604888451165,0,0,0,0,0,0,0,0,0.142526264869848,0,0,0.0118628463129453,0,0,0,0,-6.93889390390723e-18,0.0065189130223754,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
