,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601601.CH.EQUITY,0,0,0,0,0,-0.12686502695193,0.0333368191660478,0,0.652537563561255,0,0,0,0,0,0.0105722605835656,0,0,0,0,0,0,0,0,0.0495770045282487,-0.144846022675816,0,0.176348066320496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280840582546696,0,0.0299620927628801,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0660043395571905,0,0,0,0,0,0,0,0,0,0,0,-0.0838050113426207,0,0,0,0,0,0.239731832510864,0,0,0.0261896229793902,0.0547449394133718,0.225860486671681,0.260194993058366,0,0,0,-0.0599236563674841,0,0,0.40099181259589,-0.00933439078595846,0,0,0,0,0.0457731695080747,0,0,0,0,0
X000002.CH.EQUITY,0,0,-0.0806570399013672,0,0.285673471326949,0,0,0,0,0,0,0,0,0.182825110144369,0,0,-0.262511297380734,0,0,0.333293540678489,0,0,0,0,-0.108256671101003,0,0.308841465593144,0,0,-0.104550430160158,0.374530959765589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262503165140785,0,0.013287792707131,0,0,0
X11.HK.EQUITY,0.136246249862956,0,0,0,0.326049857971201,0.0626005753498549,0.0984391343721544,0,0,0,0,0.0162301335848112,0,0.094566844639704,0,0,0,0,0.174066398626453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182062331966081,0,0,-0.0312120891568443,0,0,0,0.0399260907324851,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.324882845829508,0,0,0,0,0,-0.0437265216494215,0,0,0.0185305159362517,0,0,0,0,0.04788611115903,0.0643374258022649,0,0.0954662635388809,0,0.0275113737584461,0.276690058343979,0,0,0,0.130329989330801,0,0,0.0804471337078195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,-0.091028838319329,0.0391206008476378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857887469039,0.466833456260423,0.0817680428099269,0,0,0,0,0,0,0.29189426237787,0,0.135731990308291,0,0.0548993325229194,0.126095026178398,0.0681548445154429,0,-0.0138657358822652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.248918160149654,0,0,0,0.110960338433149,0,0.0773129480894238,0,0,0,0,0,0,0,0,0,0,0,0,0.0581151470142282,0.0519807754519976,0,0,0,0,0,0,0.0106227679196411,0,0,0,0,0,0,0.00272967254094468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.0319547467959886,0,0,0,0,0,0,0,0,0,0,0,0.0287789218898229,0,0,0,0,0,0,0.0586159399983784,0,0,0,0,0.0309345120473693,0,0,0,0,0,0,0,0,0,0.0838250610945799,0,0.450407681302558,0,0,0,0,0.00299110840446767,0,0,0,0,0.454443947064759,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13725310987884,0,0,0,0.0332876804419043,0,0,0,0.19213521563453,0,0.0569005134185681,0,0,0.229643958568249,0,0,0,0,0,0,0.140167790842807,0,0,0,0,0,0,0,0,-0.127355141012335,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.104514079224161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502831752977697,0,0,0,0,0,0
