,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.651627068643488,0,0,0.0209663237640485,0,0.0614912405652186,0,0,0,0,0,0.0738509632966326,0,0,0,0,0.0486894925083708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056295385700277,0,-0.0374460660409326,0.0433674826580055,0.0199081855467403,0,0,-0.0201552438008713,0,0,0
X601939.CH.EQUITY,0.137584671418149,0,0,0.617730547111361,0,0,0,0,0,0,0.0596287556378248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460199566985373,0,0,0,0,0,0.082234853570953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010747100461945
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127580770071731,0,0,0,0,0,0,0,0.0856618070053874,0.295224657319176,0,0,0,0,0,0,0.141298559689517,0,0,0,0,0,0,-3.46944695195361e-18,0.0481459597541971,0,0,0,0.00322421444317474,0,0.066753043493994,0.192061172269157,0,0.0138952639575582,0,0,0,0.0199419352062423,0,0,0.0642714803056519,0
X601288.CH.EQUITY,0.116466613631236,0,0.00654026423261571,0,0,0.0640552048374147,0,0,0,0.082484392279282,0,0.0366676068976292,0,0,0,0,0,0,0,0,0,0,0,0,0.150468082065964,0,0.296907623795917,0,0,0.153346542548867,0,0.0581642003421383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.314410302757246,0,0.468450299702946,0,0,0,0,0,0,-0.0956324339315819,0.0985508655482841,0.191075412427347,-0.0332134297681076,0,-0.286307872506166,0,0,0,0,0,0.421165796815704,0,0,-0.0277185640794819,0.120452094540934,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205538480389028,0,-0.472603075582983,0,0,-0.1588071828045,0.107300569092684
X601988.CH.EQUITY,0.116191484118513,0.0104246797698185,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.584125634388467,0.0364888395476804,0,0,0,0,0.0119295357477998,0.149354550556002,0,0,0,0,0,0,0,0,0,0.0616040172672589,0,0,0,0,0,0,0,0,0,0.087081506443553
X600036.CH.EQUITY,0,0,0,0,-0.0282031403477796,0,0,0,0.0323500533434406,0,0,0,0,0,0,0,-0.022212228585267,0.03778897753223,0,-3.46944695195361e-18,0,0,0,0,0.757626800147189,-0.00619471912776921,0.0323273324135257,0,0,0.103270713534932,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0653836779852198,0.0704323210164322,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234478266023992,0,0,0,0,0,0,0,0.171683727439331,0,0,0,0,0,0,0.124764919047343,0.00711472305281545,0,0,0,0,0,0,0.184740792859994,0.126574458212357,0,0,0,0,0.135958000797517,0,0,0,0,0,0,0,0,0,-0.112189073840882,0,-1.73472347597681e-18,0,0,0,0
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609526,0,0,0,0,0,0,0,0,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.029312847686522,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.171816934302305,0,0,0,0,0.115082478497744,0,0,0,0,0,0,0.256716182156117,0,0,0,0,0,0,0,0.224863793299058,0,0,0,0,0.0656238905283637,0,0,0,0,0.0060821781321214,0,-0.00585925566728597,0,0,0,0,0,0.198595989460285,0,0,0,0.00221858974083737,0,0,0,0.027854097234344,0,0
