,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0.144712378984531,0,0,0,0,0.0981764979229979,0,0,0,-0.0611501354462875,0,0,0,0,0,0,0,0,0.240825800381241,0,0.0130109651821744,0,0,0,0,0,0,0,0,0,0.0434526165019827,0,0,0.118625211061389,0,0,0,0,0,0,-0.0579849082470438,0,0,-0.116950015449109,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175179713100585,0,0.0933106634339553,0,0.314306081653451,0,0,0,-0.0391202836558051,0.000570008757632297,-0.0147737870005595,0,0,0,0,0,0,0,0,0,0.0789724781231889,0,0,0,0,0,0,-0.281581805638024,0.247387305785048,0,0.223891635723548,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.319322370629669,0,0,0,0.0817415196753387,0,0,0,0,0,0,0,0,0.153165150411027,0,0,0,0,0,-3.46944695195361e-18,0.0737236799264306,0,0,0,0,0.150942784124864,0,0,-0.00513746316761502,0,0,0,0,0.10821311976564,0,0,0,0,0.0414103589202691,0,0,0,0,0.112542627456274,0,0,0,0,0,0
X601288.CH.EQUITY,0.211433825920026,0.0654760814220135,0.0928265710224084,0,0.0283858338589514,0,0,0,0.0274776008299957,0,0,0,0,0,0,0,0,0,0,0,0.0836500400322405,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279461868984751,0,0,0,0.188409909837029,0,0,0.271635314132728,0,0,0,0,0,0.147429245940337,0,0
X5.HK.EQUITY,0,-0.208384017174101,0,0.426626133167121,0,0,0,-0.121838130273143,-0.0416932159226692,0,0.185770049790896,0,0,0,0,0,0.0798509702905797,0.124512689200316,0,0.0178490431610123,0,-0.0844493797735239,0.467729751796734,0,0,0,-0.0253762960446097,-0.00797121929291706,0,0,0,-0.0554012391314805,0,0,-0.190498217046438,0,0,0,0.034689931369352,0,0,0,0.139162169373204,0,0,0,0,-0.208196426020573,0,0.0347140989701046
X601988.CH.EQUITY,0.0741945635134994,0,0,0.061666033559981,0,0,-0.123661812500475,0,0.125140470792848,0.155930903552682,0.319039268442269,0,0,0,0.0304320264164152,0,0,0,0,0,0,0,0,0.256769255434368,0,-0.00154853412951384,0,0,0,-0.0294500347774834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143294682788735
X600036.CH.EQUITY,-0.0473431193912659,0.210675323687424,0,0,0,0,0,0,-0.0157792487811357,0,0,0.105451891053727,0,0.264855405079147,0,0,0,0,0.168517597396998,0,-3.46944695195361e-18,0,0.0476688215964576,0,0,0,-0.0492173005622862,0,0,-0.0193589635002528,0,0.144374698614192,0,0,0,0,0.0686238659499566,0,0,0.0734332549884295,0.214774245959678,0,0,0,0,0,0.0489732672137427,0,0,0.098506407008389
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241804343703469,0,0,0,0.0833878820030766,0.156807763585586,0,0.227190236587502,0.105073950492209,0.0583468441707647,0,0,0,0,0,0.175570152985004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634267988310944,0,0,0,0
X601628.CH.EQUITY,0,0,0.00865120949333117,0,0.0343977956109253,0,0,0,0,0,0,0,0,0,0,0.124721478122462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551996762854279,0,0,0,0,0,0.298596950694371,0,0,0,0,0,0,0,0,0,0.156502504855564
X601166.CH.EQUITY,0,0,0,0,0,0.156189404224771,0,0,0,0,0,0,0,0,0,0.256161208324045,0,0,0,0,0,0,0,0,0,0,0.0421456265647792,-0.00563587622240759,0,0,0,0.506113095531768,0,0.175189526037112,-0.0802678757460242,0,0,0,0,0.210116409756806,0,-0.137806327084723,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0139833450723307,0,0.0472049434089566,0.292145672746974,0,0,0,0,0,0.172068888823821,0,0,0,0,0,0,0.0230104795315673,0.184377397764695,0,0,0,0.165160907708257,0.113541406278589,0,0,0.0403174905744323,0,0,0,0,-0.00362597237934415,0,0,0,0,0,0,0,0,0.0926046599018535,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.192383443206525,0,0,0,0.094998098827196,0.265447055958468,0,-0.0371657645989324,0,0.20966488751081,0,0,0,0,0,-0.0567255461936607,0,-0.0388438021351277,0,0,0,0,0.232798492411717,0,0,0,0,0,0,0,0.0249385714093858,0,0,0.0689050509878557,0,0,0,0,0,0,0,0,0,0,0,-0.00429206570467611,-0.141538546607587,0.0562161253571584,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.185970555958168,0.0768733395354856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142413583732826,0.161093577241148,0,0,0.0547997171638066,0,0,0,0,0,0.0283638674345038,0.0821239208069742,0,0,-6.93889390390723e-18,0,0,0,0,0,-3.46944695195361e-18,0.232843665183745,0.142878003597939,0,0.020971924061273,0,0
