,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0901123391230632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466775882356896,0.368111918947872,0,0,0,-0.238327282504552,0,0.334774414721718,0,0,0,0,-0.0838263050929798,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190079350211954,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.207712257417042,0,0,0,-0.0424846904569062,0,0,0,0,0,0,0,0.0486801410190478,0,0,0,0,0,0,0,0,0,0,0,0,0.0958529730186763,0.0610460313537234,0,0,0,0,0.257633918942433,0,0.170274063705134,0,0,0,0,0,0,0,0,0,0,0.185807889037413,0
X601939.CH.EQUITY,0,0.0684968510182925,0,0.804173013439617,0,0,0,0,0,0.00205372748748943,0,0,0,0,0,0,0.0829074454772431,0.0184484742778417,0.0584028899052309,0,0,0.00323262451054374,0,0,0,0.0104612999072657,0,0,0,0.0099759931771483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0376877062402087,0,0.899490329403811,0,-0.0798932510300582,0,0,0,0,0,0,0,0,0,0,0.0416473705657947,0,0.138758079113297,0,0,0,0,0,0,0,0.0235160253757149,0,0,0,0,0,0,0,0,0,0,0,0,-0.029009504816467,0,0,-0.0878553789791947,0,0,0,0,0,0,-0.0227270755282235,0,-0.0474477443877026
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.028260458312783,0,0.459819384064632,0,0,0,0,0,0,0,0,0,0.0451713119263701,0,0,0,0,0,0,0,0,0.036274728543125,0,0,0,0,0.339086435176967,0,0,0,0,0,0,0,0,0,0.0873991966637545,0,0,0,0,0.0663538119438297
X600036.CH.EQUITY,0,0,0.408357945046334,0,0,0,0,0,0.0245910713992872,-0.00634431549246182,0,0,0,0,0,0,0.106654905031055,0,0,0.00503516355043897,0.0125352825238847,0,0,0,0,0.189130652500013,0,0,0,0.124475083807659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,3.46944695195361e-18,-0.060257940298947,0.147759860442338,0,0,0,0,-0.0546540207791025,-0.0788336905538374,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00257212019218202,0,-0.108702051032181,0,0,0,0,0,0,-0.0489136581556227,1.07498975973983,0.0142907769220595
X1299.HK.EQUITY,0,0,0,0,0.154916635448064,0,0,0,0,0.13224676791639,0,0,0,0,0,0,0,0,0,0,0,0,-0.204691238293548,0,0,0.41495038591271,0,0.0824072863756837,0.160100242913047,0,0.375279065205074,0.0953590115627193,0,0,0,0,0,0,0,0,0,0,0,0,-0.168260821472359,0,0,0,0,0,0.0899671173230896
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131723250301896,0,0,0,0,0,0,0,0.0178060556247468,0,0.296761238053754,0.395507120774523,0,0,0,0,0.0728595648770822,0,0,0,-0.173491558266835,0,0,0,0,0,0,0,0,0,-0.115553101780322,0,0,0.105677981092827,0,0.17433226208576
X388.HK.EQUITY,0,0,0,0,0.297365958563981,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247076194587433,0,0,0,0,0,0.466471107518925,0,0,0,0,0,0,0,0,0,-0.0586348530357673,0,0,0,0,0,-0.0500505973408696,0,0,-0.112093987731914,0,0.269729224533489,0.0214270782271348,0,0,0,-0.113211110235367
