,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601066.CH.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0344557004208222,0,0,0,0,0,0,0,0,0,0,-0.00193077945044729,0,0.536651399369395,0.789830418143201,-0.107317426118603,0.0108870644283604,0,0,0.207398016877637,0,-0.234034954625796,0,0,0,0,-0.324458363911524,0,0,0,-0.0450258112379228,-0.0801974324971128,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.20797812619246,0,0,0,-0.0185291642460024,0,0,0,0,0,0,0,0.0854488411422639,0,0,0,0,0,0,0,0,0,0,0,0.0325486369983898,0,0.0707734722180614,0,0,0,0,0,0.245999518311815,0,0,0,0,0,0,0,0.0982371562682731,0,0,0,0.218548667428771,0,0.0818516462949054
X601939.CH.EQUITY,0,0,0,0.826021985261437,0,0,0,0,0,0.0184508798596954,-0.0766595999245828,0,0,0,0,0,0.0687919123437664,0.0735587024962415,0,0,0,0.00170350051131838,0,0,0,0,0.0551914860889242,0,0.0301302543233878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217933512350836,0,0,0,0,0.0280937642314884,0.035050761066266,0,0
X601288.CH.EQUITY,0,0,0.871786950367604,0,-0.0766583488711447,0,0,0,0,0,0,0,0,0,0,0.0353504217665895,0.0264168344480769,0.167010703639118,0,0,0,0,0,0,0,-0.0956192580316931,0.0365131936969106,0,0,0,0,0,0.00678514617536655,0,0,0,0,0,0.0160861651325354,-0.113873568105625,0,0,0,0,0,-0.0196365111148363,0,0,0,0,0.00740641850352655,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0272987263518935,0.0579903755844655,0,0.374573085368638,0,0,0,0,0,0,0,0,0,0.124237811622228,-0.0375730845256549,0,0,0,0,0,0,0,0,0,0,0,0.475727722671148,-0.156000392720046,0,0,0,0,0,0,0,0.101052874314403,0,0,0.0477628243830177,0,0,0,0,0.0950510160379267
X600036.CH.EQUITY,0,0,0.383823989260644,0,0,0,0,0,0.0189904859118908,0,0,0,0,0,0,0,0.125795001947915,0,0,0.00148580931472839,0.00715610704188455,0,0,0,0,0,0.186277860904683,0,0.176596745264139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194951043470718,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00122979666866664,-0.145561701158042,0.0804195873795113,0,0.0274768890633529,0,0,0,0,0,0.0374811812965795,0,0,0,0,0,0,-0.074607247357134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105523890904928,0,0,0.0104372201264809,0,0,0,0,0,0,1.01469219866388,0.0373545076482132,0
X1299.HK.EQUITY,0,0.0478047545705709,0,0,0.218134970587711,0,0,0,0,0.204891043175529,0.0420113616550287,0,0,0,0,0,0,0,0,0,0,0,0,-0.225506534252299,0,0,0.315156029801442,0,0,0.165223591590641,0.19472549908877,0.164365247310069,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.000376215405743702,0,-0.107332762746975,0,0.170313657926039,0,0,0,0,0.0581578163685211
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25866306918075,0,0,-0.241563126766076,0,0,0,0.103607800796372,0,0,0,0.29685840098459,0.36597263028045,0,0,0,0,0,0,-0.165537253748827,0,0,0,0,0,0,0,0.0639157385595657,-0.122900125200174,0,0,0,0,0,0,0,-0.0852299939941368
X388.HK.EQUITY,0,0,0,0,0.308560662069701,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36502135121428,0,0,0,0.285206618215619,0,0,0.250618949940394,0,0,0,1.38777878078145e-17,0.0709885423612837,0,0,0,0,0,0,0,0,0,0,0,-0.0962632017240413,0.130519789285211,0,0,0,0,0,0,0,0.109081752033809
