,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,-2.77555756156289e-17,0.111133741944085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41922349324325,0.364394930752005,0.0019708009818275,0,0,-0.265174935562284,0,0.323674769838525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155525560975447,0,0.0115628368881995,0
X601318.CH.EQUITY,0,0,0,0,0,0.16795288025528,0,0,0,0,0,0,0,0,0,0,0,0.0743180358733594,0.0598285879491151,0.0618990585817334,0,0,0,0,0,0,0,0,0,0,0.0244717707861097,0.0592923589326122,0,0,0,0,0.229407535884845,0,0.0682144054644291,0,0,0,0,0,0,0,0,0,0,0.198448993639947,0,0.108073583870607
X601939.CH.EQUITY,0,0.0684918673438943,0,0.804172064902411,0,0,0,0,0,0.00205418458476454,0,0,0,0,0,0,0.0829061838367334,0.0184528160922747,0.058403864347829,0,0,0.00323197374195094,0,0,0,0.0104603035681447,0,0,0,0.00997838971856134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.922511916474888,0,-0.0638125246784746,0,0,0,0,0,0,0,0,0,0,0,0,0.152187678906774,0,0,0,0,0,0,-0.0974185754872056,0,0,0,0.0228243671465553,0,0,0,0,0,0,0,0,0,0,0.0175078314277293,0,-0.08152179359192,0,0,0,0,0,0,-0.0480649720409767,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0158414711098009,0,0.419282530824604,0,0,0,0,0,0,0,0,0,0.0883652305572654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305131627187945,0,0,0,0,0,0,0,0,0,0.140090852203565,0.0436406095106429,0,0,0,0,0.0824445742340815
X600036.CH.EQUITY,0,0,0.408357945046334,0,0,0,0,0,0.0245910713992872,-0.00634431549246182,0,0,0,0,0,0,0.106654905031055,0,0,0.00503516355043897,0.0125352825238847,0,0,0,0,0.189130652500013,0,0,0,0.124475083807659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,3.46944695195361e-18,-0.0408729333103519,0.14045234626013,0,0,0,0,-0.0695947029522935,-0.0929399316448463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00575320560757745,0,-0.116848059406537,0,0,0.0193496983950481,0,0,0,-0.0484454581849032,1.08290796496835,0,0
X1299.HK.EQUITY,0,0,0,0,0.164437133642334,0,0,0,0,0.11852338970828,0,0,0,0,0,0,0,0,0,0,0,0,-0.20715069409761,0,0,0.381600731650894,0,0.0662115153618541,0.170630455593091,0,0.345810965354484,0.0997739097989507,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.145736459871385,0,0.0700453323786736,0,0,0,-0.0237329164628186,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116907158285133,0,0,-0.0586409776879297,0,0,0,0,0,0,0.295413358164071,0.316282890663712,0,0,0,0,0,0,0,0,-0.267329370349907,0,0,0,0,0,0,0,0.0468242802771987,0.0103426151042106,0,0,0,0.317843404220181,0,0,-0.0302648565196397
X388.HK.EQUITY,0,0,0,0,0.234269013959194,0,0,0,0,0,0,0,0,0,0,0.0296039708131062,0,0,-0.245216571134217,0,0,0,0,0,0.40979188296252,0,0,0.115164122592417,0.0199232117796446,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,-0.241049304946229,0,0.0652391582329008,0.18149436750163,0,0,0,0,0.0215528812717196
X601658.CH.Equity,0,0,0.0727012186122102,0.168227469042863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275275091053092,0,0.0240792432093877,-0.0581748911936799,0,0,0,-0.0449803467000586,0,0,0,0.0605916595544074,0,0,0,0,0,0,0,0,0,0,-0.0346407067994249,0,0,0.265952811747803,0,0,0,0,0,0,0,-0.0120769569591615,0
X600030.CH.EQUITY,0,0,0,0,0.0640664447930694,0,0,-0.0243990442834625,-0.0569038683073475,0.0399689499457062,0,0,0.220855168352435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112919178863223,0,0,0,0,0,0.119730712766867,0,0.178406125005416,0,0,0.189309907062093,0,0.0365225567018213,0,0,0.147211810069808,0,0.0296055499943559,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.0618603939025205,0,0,0,0,0,0,0.70435898595248,0,0,0,0.0570515977534225,0,0,0,0,0,0.0244763686200647,0,0,-0.0796976534326932,0,0,0.202901917674455,0,0,0,0,0,0,0,0,-0.0317769200477619,0,0,0.05054840887787,0,0,0.0378795466803915,0.0132663369263954,0,0,0,0,-0.0872596080426896,0,0,0
