,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.347805360588873,0.0821830019230297,0,0,0,0.128452708365108,0,0,0,0,0,0,0.263230869863866,0,0,0,-0.0310719911781986,0,0,0,0,0.0367132174685888,0,0,0,0.0763895949596902,0,0,0,0,0,0,0,0.0132135880650892,0,0,0,0,0,0,0,0,0,0,0.0199954530647435,0.0358280557186303,0,0,0
X601939.CH.EQUITY,0.0414994740924298,0,0,0.0546101556394758,0,0,0,0,0,0,0,0.0473866512891707,0,0.193020635384463,0,0.405979537054987,0,0,0,0,0,0,0,0,0,0,0,0,0.000817890216881494,0,0,0,0,0.106887756377224,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.136900271795463,0,0,0,0,0
X601318.CH.EQUITY,0.0177545263416957,0,0,0,0,0,0.187283139055509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108891609891059,0,0,0,0,0,0,0,0,0.153821510720285,0,0.104311727383616,0.0181798576683118,0,0,0,0,0.106221727744446,0,0.256308362711705,0,0.0266486857412509,0,0,0,0,0,0,0,0,-0.0351335584690572
X601288.CH.EQUITY,0.376358855784327,0,0,0,0.402390300666536,0,0,0,0,0,0.0635906202725839,0,0,0,0,0.00348564229276754,0.0712789831546995,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0.0360160517170685,0,0,0,0,0,0,0,0,0,0,0,0.000170365216034855,0,0,0,0,0,0,0.0232538141382719,0,0
X601988.CH.EQUITY,0,0,0,0.226765857920677,0,0,0,0,0,0,0.0919401998914978,0,0,0.187742855741855,0,0,0,0,0,0,0.104201712929817,0,0,0,0,0.0232149081762679,0,0,0,0.0954651095632213,0,0,0,0,0.108272188215253,0,0,0.0936740655686126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.243133690486842,0,0,0,0,0,0,0.275601623464063,0,0,0,0,0.16664853525077,0.721978249961533,-0.401170170060608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362354030359243,0,0,0,0,0,0,-0.143306026241426,-0.199321366333718,-0.00755007112645345
X600036.CH.EQUITY,0.133663682355313,0,0.0815823072193101,0,0,0,0,0.0289210684031454,0,0,0,0.0815634749375826,0,-1.38777878078145e-17,0,0.0724723454321033,0,0,0,0,0,0.18892251702439,0,0,0.0159428664848916,0,0,0,0,0,0.0612343599782343,0,0,0,0,0.170239568763099,0,0,0,0,0,0,0,0,0,0,0.00581178441039481,0,0,0.0214533672775042,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.145620574778008,0.174106358222074,0,0.00300945538305357,0,0,0,0,0,0,0,0.279513559226083,0,0,0.266609845676772,0,0,0.217165986038366,0,0,0,0,0,0,0.143539568809222,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0811135163652267,0,0,0,0,0,0,0.0187969989113246,0,0,0,0.260316029522922,0,0,0,0,0,0,0,0,0.24809211654812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520554082819873,0,0,0.0383836684600007,0,0,0.0940128589824149,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.118564053297795,0,0,0,0,0,0.11247164675886,0,0,0,-0.142163410779058,0,0,0,0,0,0,0,0,0,0,0,0.0825240156245133,0,0,0,0,0.10333986254046,0,-0.385118200447956,0,0,-0.10737382505517,0,0.305877744272378,-0.0776265752347419,-0.078572268036756,0,0,0,1.23632054754998,0,0,0,0,-0.0555838591215649
