,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.600602807562834,0,0.0146302743186923,0,-1.73472347597681e-18,0,0,0.0172774892818168,0,0.0968116421094276,0,0,0,0,0,0,0.101309465410991,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,-0.0108201315686735,0,0,0,0.0709782220247427,0,0.0415623946903623,0,0,0,0,0,0.0421395058434731,-0.0370017287272276,-0.0119202999562268,0
X601318.CH.EQUITY,0,0,0,0.118779230631565,0,0,0,0,0.0589417516306569,0,0,0,0,0,0,0,0,0,0.231198674186568,0,0,0,0,0,0,0.0383219200029773,0,0,0.0410755488968616,0,0,0,0.114086045599073,0,0,0,0,0,0,0.194654411885665,0.0755979968753783,0,0,0,0,0,0.0784581305715875,0,0,0,0
X601939.CH.EQUITY,0.115749428309297,0,0,0.364795709696306,0,0.209494876646009,0,0,0,0,0,0,0,0,0,0,0,0.0208926120554854,0,0.0139506692790245,0,0,0,0,0,0,0,0,0.0828416201081618,0,0,0,0.111028300215869,0,0,0,0,0.00647506937737739,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0466921471841722
X601288.CH.EQUITY,0.0134834117832514,0,0.290123410184862,0,0,0,0,0,0,0.21381556216947,0,0,0,0,0,0,0,0,0.0506441442706303,0,0,0,0,0,0.0126978916376318,0.22336133071742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073091454634532,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0276172022791234,0,0,0,0,0,0.44218311268808,0,0,0,0,0,0.0320461507927673,0.111100505546944,0,0.160947064744931,0.0918681467038659,0,0,0,0,0,0,0.159638889384081,0,-3.46944695195361e-18,0,0,0.120053065701148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.675348478034892,0,0,-0.135641072417212,-0.174128189551986,0
X601988.CH.EQUITY,0.0735432719216079,0,0.0793325537571708,0,0.0115673023842123,0,0,0,0,0,0,0.0533561095491027,0,0,0,0,0,0,0,0,0,0,0.60052947334855,0.0122947618185788,0,0,0,0,0,0.114300782502409,0,0,0,0,0,0,0,0,0,0.0911893883082858,0,0,0,0,0,0,0,0,0,-0.0972572886126599,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246896203552042,0,0,0,-0.0230269204322459,0,0,0,0,0,0.0753475223225,0,0,0,0,0,-0.0077909301602462,0.70055893913629,0,0,0.0287380803816776,0.0975498301594219,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0667842044663806,0,0,0.049755463326068,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264124157243008,0,0,0.186336401983517,0,0,0,0,0.0846073050055144,0,0,0.0714183885830459,0,0,0,0,0,0,0,0.0161265926077581,0,0,0,0,0,0,-0.0347495201113144,0,0,0,0,0,0.0259836150220178,0,0.0280969694955515
X601628.CH.EQUITY,0,0.162573905683963,0,0,0.0108859113984418,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457941963417997,0,0,0,0,0,0,0,0.152230624371125,0,0,0,0,0,0,0,0,0,0,0.369345304813606,0,0,0,0.215498902015958,0.064680575629408,0,0,0.0187902699470134,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0676212156105776,0,0,0,0.14083898987769,0,0,0,0,0,0,0.206914290492303,0,0,0,0,0,0,0,0.240684401130325,0,0,0,0,0,0,0.0772702217424815,0,0,0.00353615480184011,0.0355516269468728,-0.00736927184568189,0,0,0.011617123006601,0,0,0.237366495299949,0,0,0,0,0.0335453927691393,0,0,0.0140399839078572,0,0,0
