,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.00619208192052762,0,0.465778669571447,0,0,1.73472347597681e-18,0,-0.00768451592522569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161431944104618,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.24554633259741,0,0,0,0,0,0,0,0,0,0.0154086504658135,0.231202793086224,0,0.0203627473391066,0
X601318.CH.EQUITY,0,0,0,0.0284263123726816,0,0,0,0.0603559619988408,0.109560910616129,0,0,0,0,0.0543790758900218,0,0,0,0,0.260146795521508,0,0.215281315563523,0,0,0.0242294699460228,0,0.138832562059295,0,0.083947295447081,0,0,0,0,0,0.0261585357777905,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106691973394984
X601939.CH.EQUITY,0,0,0,0,0.330315043882184,0,0,0.113127866181139,0,0,-0.0604112514390376,0,0,0,0.0283107346936068,0,0,0,0,0.0656571009852965,0,0,0,-0.118987842647572,0.393725478037798,0,0.165015638986084,0,0,0,0,0,0,0,0,-0.0990225195709579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020771536461801,0.019948284327409
X600036.CH.EQUITY,0,0.188933156308418,0,0,0,0.0716297793367004,0,0.0934130084455884,0,0,0,0,0,0.216942620619161,0,0,0,0,0,0,0,0.0322817249754588,0,0,0,0,0,0,0.333292271017937,0.108351009213054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191005029803262
X601288.CH.EQUITY,0.264925888390728,0,0.0618678613547532,0,0,0,-0.118462580455191,0.196417954945957,0.136380917111678,0,0,-0.0508551551042427,0,0,-0.0198939436137838,0.182441304451159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190254471776454,0,0,0,0,-0.113546937082336,0
X601628.CH.EQUITY,0.105788837922061,0,0,0,0,0,0,0,0,0,0.0110844511258486,0,0,0,0,-0.0459048020619183,0.198035465091029,0,0,0,0,0,0,-0.0544981064997325,0,0.0434961399072969,0,0,-0.107335734239107,0,0,0.0269871251437712,0.203013717102603,0,0,0.0833828534415851,0,0.556552856202768,0,-0.041529578913527,0,0.0761411835176854,0.0123863327230287,0,0,0,0,0,0,0,0,0.0212310167441192
X1299.HK.EQUITY,0,0,-0.153871278337856,0,0,0,0,0,0,0,0.17707960794841,0,0,-0.0235121397016478,-0.0465801261574679,0,0,0,0,0,0,0,0.0369073856658294,0.065751049070207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259321952379872,0.184075964704148,0,0.0322191243349927,0.063023311563068,0.237245907435187,0,0,0,0.0573081837187449,0,0,-0.0533615398900671,0
X601988.CH.EQUITY,0.0312920762754733,0.0191818804955816,0.0471581157238361,0.351784309869829,0.17181267112976,0,0,0,0,0,0,0,0,0,0,0.189636677055314,0,0,0,0,0,-0.00843908139911485,0,0,0,0,0,0.0753873770676445,0,0.0176244486767086,0,0,-0.119768433412677,0.281535347603874,0,0,0,0,-0.0865387891371359,0,0,0,0,0,0,0,0,0,0,0,0.0451789236905513,0
X5.HK.EQUITY,0,0.112705793352644,0,0,0,0,0,0,0,0,0,0,0,0,0.00436000038175023,0,0,0,0,0.111254486165871,0,0,0.152673233662672,0.0379216961039927,0,0,0.0281700625986085,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.283175209912415,0,-0.0501688731119875,0.261552554425708,0.184812752929989,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.108268571573111,0,0,0,0,0.0920828119940148,0,0,0,0.0573301899708265,0,0.0665503766084081,0,0.0157745007903934,0,0,0.309866467133047,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0988591140096699,0,0,0,0,-0.0966460097986888,0,0,0,0,0,-0.0575949074309234,-0.0731150585268818,0,0.113968891403419,0,0,0,0
