,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0771597970281525,0.48256983478266,0,0,-3.46944695195361e-18,0,0,0,0.0946474692109226,0.058856258405829,0,0.157591902244631,0,-0.00770862983345843,0,0.0957288560112934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209553327624071,0,0,0,0,0,0.0581247710186073,0,0,0,0,0,0,0,0,0,0,0,0.0249237474425065
X601318.CH.EQUITY,0,0,0,0,0,0,0.0682202888316213,0,0.0401392046893057,0,0,0,0,0,0,0,0.301825814252081,0.0782772491126874,0,0,0.0202430851530106,0,0,0,0,0,0,0,0,-0.0499485830458282,0,8.67361737988404e-19,0,0.160938100121932,0,0,0,0,0.285668706934395,0,0,0,0,0,0.0308603298597857,0,0,0,0.0493065041252719,0,0
X601939.CH.EQUITY,0.151153380957763,0,0,0.577848180241621,0,0.0404351498710731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.151181418482419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106092347958098
X601288.CH.EQUITY,0,0.0138352119878221,0.352074331576476,0,0,0,0,0,0,0.164217117463079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221415451663854,0,0,0.113138840700917,0,0,0,0.0199515516152461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.44242798724399,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0840310897146281,0.0399460566277836,0,0.384148886711303,-0.334815636806341,0,0,0,0,0.225704262746825,0,0,-0.243893813196614,0,0,0,0,0,0.0182959045449633,0,0,0,0,0,0,0,0,0,0,0,0,0.161738705240897,0,0.0290238521144949,0
X601988.CH.EQUITY,0,0,0.102464264079074,0,0.0802861065593835,0,0,0,0.11798351786415,0,0,0,0,0,0,0,0,0,0,0,0,0.544930130350649,0,0,0,0,0,0,0.0398406655820681,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.00517613207990632,0,0,0,0,0.032270705559044,-0.0599590303643241,0
X600036.CH.EQUITY,0,0.0339533423636232,0,0,0,0,0,0,0.0176846619709066,0,0,0,0,0,-0.0264199223936624,0,0,-0.012283471501982,0,0,0,0,0,0,0.73424307854413,-0.0279930992308196,0,0.03373615399964,0,0,0.154787783607586,0,0,0,0,0,0,0,0,0,0,0,0.108817481938374,0,0.0754944156505051,0,-0.02965018082779,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.263808751852887,0,0,0,0,0,0,0,0.087615114632746,0,0,0,0,0,0.0679338828249768,0,0,0,0,0,0,0,0,0,0.15294946006744,0,0,0.311469083566886,0,0,0.109927891507021,0,0,0,0,0,0,0,0,0,-0.0633834180655417,0.0789344762608172,0,0,0,0,0
X601628.CH.EQUITY,0,0.153140893816332,0,0,0,0.000496542932282334,0.00552791530846987,0,0,0,0,0,0,0,0,0,0.0795967026785233,0,0,0,0,0,0,0,0.17157398220516,0,0,0,0,0,0,0,0,0,0,0.37503971960005,0,0,0,0.21114030082614,0,0,0.011305337632181,0,0.0313910787029424,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.185039821708955,0,0,0,0.0967941119456096,0,0,0,0,0,0,0.200453108308801,0,0,0,0,0,0,0,0,0.228509963002597,0,0,0,0,0.0568105983133939,0,0,0,0.0330298501342147,-0.0183068157799903,0.02929046104807,0,0,0,0,0.236564410852842,0,0,0,0,0,0,-0.0221394663058151,0,0.0612638552082111,0,0,0
