,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.365130203206872,0.0254271897376591,0.115179890336116,0,0,0,0,0,0,0.214761782163539,0,0,0,0,0,0,0,0,0,0,0.0987550201269288,0.0375116280759581,0,-0.0292679468044109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281671885346872,0,0,0,0,0,0,0.0184585025086545,0.0446252528092976,0,3.46944695195361e-18,-0.15901146531493,0
X601939.CH.EQUITY,0.429932338167711,0,0,0.175563338336034,0,0,0,0,-0.0475043603458914,0,0.178749600967452,0,0,0,-0.0557953551341623,0,0,0,0,0,0,0,0.0985396737707669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584126327817088,0,-1.73472347597681e-18,0
X601318.CH.EQUITY,0,0,0,0,0.306213989123177,0.0922673763927026,0,0,0,0,0,0,0,0,0.00418511897146008,0,0,0,0,0,0,0.192592845173027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10893898203381,0,0,0.0761147456657815,0.129458056136193,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.327703991138202,0,0,0,0.285576919886614,0,0,0,0,0,0.0523483014912784,0,0,0.071047945929578,0,0,0,0.118065992042571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110069020657247,0,0,0,0,0,0,0.00734654734793425,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.398745408961416,0,0,0,0,0,0.247438029779985,0,0,0,0,0,0.190596069646064,0.109614194340673,0,0,0,0,0,0,0,0,0,0.0942221315111406,0,0,0,0,0,0,0,0,-0.437406738618006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264489889489736
X600036.CH.EQUITY,0,0,0,0,-0.01904281714728,0,0,0,0,0,0,0.294135242301152,-0.05271526496185,0,0,0,0.140245609597518,0,0,0,0,0.127532857870075,0,0,0.0147461289815886,0,0,0,0,0,0,0.224242532084557,0,0,0,0,0,0,0,0.0194175649427256,0.0953515229564211,0,0.124031425859389,-0.00698887916399212,0,0,0.0982473605385484,0,0,0,0.0230285139418847,0
X1299.HK.EQUITY,0,0,0,0,0.0104162443751176,0,0,0,0,0,0,0,0,0.24431692097906,0,0,0,0,0.482242540684082,0,0,0,0,0,0.106292443446862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105982859369724,0.0334849131465464,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216130226770541,0,-0.240545617559658,0,-0.114126472943513,0,0,0,0,0,0.504671084357128,-0.102470809395948,0,0.762915175426353,0,0,0,0,0,0,0,0,0,0.426843393968051,0,0,0,0,-6.93889390390723e-18,-0.238497091161452,0,0,0,0.00374544173822717,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.133277841752574,0,0,0,0,0,0,-0.184690105179797,0,0,0,0,0,0,0,0,0.233952555788243,0,0,0,0,0,0,0,0,0,0,0,0.0209390062036527,0.120749303643452,0,0,0,0,0,0.23844633042646,0.0142874158562223,0,0,0,0,0,0.136157361579813,0,0,-0.148200747024277,0.0433858590613954
X601658.CH.Equity,0,0,0,0.131777298904992,0.170937956580702,0,0,0,0,0,0,0,0,0.126628390444953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172014839739283,0,0,0,0,0,0,0,0,0.22568676662139,0,0,0,0,0,0,0,0,0,0,0.356216895596408,0,0.0291264231399102,0
