,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.115037447671953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110446170730017,0,0.378738988143326,0.497957621949819,0.0117321088026481,-0.220003057672395,0,0,0.28714337086313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157914239726228,0,0.0635363720562141,0
X601318.CH.EQUITY,0,0,0,0,6.93889390390723e-18,0.1378601820872,0,0,0,0,0,0,0.0337000955088189,0.151322164876268,0,0,0,0.16578654186395,0,0,0,0,0,0,0,0,0,0,0,0.0126663157984843,0.0401416990170523,0.0539141828644013,0,0,0,0.0285988453446705,0.211688179611057,0,0,0,0,0,0,0,0,0,0,0,0,0.069009879133697,0,0.144315118694073
X601939.CH.EQUITY,0,0.0689640062145866,0,0,0.807120208720143,0,0,0,0,0.00202653497161107,0,0,0,0,0,0.0834206686813596,0,0.0186137962489024,0.0584209526991873,0,0,0.0032407326689877,0,0,0,8.67361737988404e-19,0.0104587807375184,0,0.00997549602513406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0284572468621491,0,0.419076186008112,0.00798844284215686,0,0,0,0,0,0,0,0,0.0818351086611263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307304259099324,0,0,0,0,0,0,0,0,0,0.166039130186001,0.029111018247598,0,0,0,0,0.0840656950230071
X601288.CH.EQUITY,0,0,0.914453980815896,-0.119702381780252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134467032888284,0,0,0,0,0,0,0,0.0208095946698189,4.33680868994202e-19,0,0,0.0441593707732609,0,0,0.0415062535436654,0,0,0,0,0,0,0.00249353340247864,0,-0.0813421558585229,0,0,0,0,0,0,-0.0642816546676946,0,0,0
X600036.CH.EQUITY,0,0,0.369223693370372,0,0,0,0,0,0.0233774567935999,0,0,0,0,0,0,0.137775751942661,0,0,0,0.00263114528136444,0,0,0,0,0,0,0.176316648337451,0,0.211325387502961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319556431367793,0,0.0137031656053152,0,0,0,0,0
X601988.CH.EQUITY,0,0,-3.46944695195361e-18,-0.0836745891856703,0,0.0660473560806752,0,0,0,0,0,-0.0602736801702149,0,0.0795134308026935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0948936449970156,0,0,0,0,0,0,-0.0198713051777178,0.988301392979507,0.0282483274317799,0
X1299.HK.EQUITY,0,0,0,0.165455394794313,0,0.0286355384651271,0,0,0,0.121958151361761,0,0,0,0,0,0,0,0,0,0,0,0,-0.240688202024031,0,0.0068521213859326,0.0884732203017661,0.409405917268148,0,0,0.19472443523791,0.346075839564238,0.0459986815498714,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0426171559933511,-0.160522774558214,0,0.0656682072472506,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.11916226728158,0,-0.0742749939461771,0,0,0,0,0,0,0,0.303087308687528,0.319687693903953,0,0,0,0,0,0,0,-0.260209143844333,0,0,0,0,0,0,0,0.0497070701946762,0.0125334120378193,-0.0102911421354203,0,0,0.325297980207282,0,0,-0.0306934272844236
X388.HK.EQUITY,0,0,-5.42101086242752e-20,0.239994534020579,0,0,0,0,0,0,0,0,0,0,0,0,0.0192730402230764,0,-0.237459917393918,0,0,0,0,0,0.410580674079803,0.12775456579039,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,-0.243331634208018,0,0.0535995952594128,0.187931013138072,0,0,0,0,0.0319813005202555
