,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.017328031775365,0,0,0,0,0,0,0,0,0,0,0,0,-0.113986637237082,0.484464683715526,0.721960313311524,0.022262963131443,0,0,0,0,0.194888448453058,-0.218183626289956,0,0,-0.302499321909937,0,0,0,0,0,-0.0262946846891984,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0830044081552068,0,0,0,-0.022999797485457,0,0,0,0.0707367726700754,0,0,0,0,0,0.307581422205669,0.00694715646342009,0,0,0,0,0,0,0,0.0695649403807767,0.0878870986404138,0,0,0,0,0,0,0.286846064156518,0,0,0,0,0,0,0,0,0.0601442530603474,0,0,0,0,0,0.082963217756681
X601939.CH.EQUITY,0,0,0,0.820323070693959,0,0,0.033061448475543,0,0,0.023555205417694,0,0,-0.0638069321737324,0,0,0.0597215744624248,0,0.0721277601698352,0,0,0,0.000864991554288352,0,0,0,0,0,0.0602926668881224,0,0,0.0216755558936246,0,0,0,0,0,0,0,0,0,0,0,0.021836269467154,0,0,0,0,0,0,0.0305470175812221,0,0
X601288.CH.EQUITY,0,0,0.852340798550637,0,-0.0839914545439541,0,0,0,0,0,0,0,0,0,0.00741878313900662,0.0602013903307744,0.068857901894424,0.141650603362555,0,0,0,0,0,0,0,-0.088580776914244,0,0.0244915231516479,0,0,0,0,0,0,0,0,0,0,0,0,-0.154698153686855,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0792143897064475,0.0870793591894689,0,0.392010508804797,0,0,0,-0.0296657710650363,0,0,0,0,0,0.0614988245425525,0,0,0,0,-0.019488302376261,0,0,0,0,0,0,0,-0.0177950789967505,0,0.219332318797158,0,0.210803780626474,0,0,0,0.244374346220203,0,0,0,0.12009593886238,0,0,0,0,0.122561966818852
X600036.CH.EQUITY,0,0,0.374070291202339,0,0,0,0,0,0.0171702353570149,-0.00555310441499931,0,0,0,0,0,0.131723444087128,0,0,0,0,0,0,0,0,0,0,0,0.168580182109423,0.00635730125346417,0,0.184862360411775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330459157044613,0,0.01608753934641,0,0,0.0377975660223778,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0195719440780963,0,0,0,0,0,0,0,0,0.894024362492837,0,0,0,-0.403513880936208,0,0,0,0,0,0,0.368149206468254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0702695916172663,0,0,0,0,0.0175184554894275,0,-0.0380479030891614,0.0860111145788714
X1299.HK.EQUITY,0,0,0,0,0.269627568437601,0,0,0,0,0.265250827876978,-0.0500323143474752,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17599829005716,0,0,0.331008598167332,0.146822982931089,0.184401678744655,0,0.173492246628401,0,0,0,0,0,0,0,0,0,0,0,0.00239393921023232,-0.0590073397082312,0,0.138059952693373,0,0,0,-0.0412071110743164,0.0714011032850066
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276741096398128,0,-0.267712645591077,0,0,0,0,0.070000922914046,0,0,0.391459041407815,0.236473960250913,0,0,0,0,0,0,0,0,0,0.0785741240058684,-0.185988798339455,0,0,0,-0.124328726130218,0.0816818799528286,0,0,0,0,0,0,0,-0.102486791689497
X388.HK.EQUITY,0,0,0,0,0.35276017001484,0,0,0,0.0936813848003889,0,0,0,0,0,0,0,0,0,-0.410768970201475,0,0,0,0.0239876264613407,0.32853315281152,0,0.198788812023081,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0.121978558939915,-0.1874339962907,0,0,0,0,0,0.0412581645653602,0,0.0777459878144799
