,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137608670155638,0,0,0,0,0,0,0,0,0,0,-0.0977199202012371,0.434736184284433,0,0.688272789527181,0,0.0393149052906794,0,-0.127705982812822,0,0,-0.0822676108801712,0,0.103756257793055,0,0,0,0,-0.13550985571826,0,-0.339563155031288,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.101338963689931,0,0,0,0,0,0,0,0,0,0,0.066006132498667,0,0,0.355209183299026,0,0,0,0,0,0,0,0,0,0.102636254404428,0,0,0,0,0,0,0.198831559245865,0,0,0,0,0,0,0,0,0,0.0248086187873285,0,0,0,0,0.127133229364335
X601939.CH.EQUITY,0,0,0,0.803165348407308,0.00226753522224264,0.00150575523384854,0.015493225033704,0,0,0,0,0,0.0107612098097749,0,0,0,0,0,0.0520826540593202,0,0,0,0,0,0,0,0,0,0,0,0,0.0897093420477718,0.0418576367584518,0,0,0,0,0,0,0,0,0,0,0,0.0320706831996,0,0,0.0379139187528778,0,0,0,0.0145039411246892
X601288.CH.EQUITY,0,0,0.883349554612257,0,0,0,-0.0950226118183078,0,0,0,0,0,0,0.0118096693276241,0.0346015885865061,0,0,0.153017130531197,0,0,0,0,0,0,0,-0.0469867960479549,0.0170288864718796,0,0,0,0,0,0,0,0,0,0,-0.153500166701948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.152628235560513,0,0,0,0,0,0.966803621952195,0,0,0,0,-0.0103876470341381,0,-0.148572033569825,-0.0439583210886229,0,0,0.277243467422578,0,0,0,0,0,0,0,0,-0.162161055552551,0,0,-0.151191841291763,0,0,0,0,0,0.0576684007567984,0,0.0659170294119278,0,0,0,0,0,0,0.0302548536465473,0.223984977860911
X600036.CH.EQUITY,0,0,0.390758310361367,0,0,0,0,0,0.0100329060974919,-4.33680868994202e-19,0,0,0,0,0,0.129344770513039,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.192230636884258,0,0.00950907212913519,0,0,0,0.163829700902343,0,0,0,0,0,0,0,0,0,0,0.0208461985056609,0,0,0,0.00613908435027675,0,0.00530210105370162,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0630191804520669,0,0,0.768062145733425,0,0,0,-0.00205670017792463,0.0768615560677804,0,0,0,0,0,0.121209347224049,0,0,0,0,0,0,0,-0.0795618245935038,0,0.0652105457950111,0,0,0,0.00224705058018818,-0.0266154407565269,0,-0.01668752340912,0,0,0,0,0.091941256145818,0.0272093526845629,0,0.0196334229895663,0,0,0,0.16508162936258
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.111921508185041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256539123288632,0,0,0.167283611642043,0,0.170990502790355,0,0.348440534871239,0,0,0.00251742757318595,0,0,0,0,0,0,0,0,0,0,0,0.410469351032831,0,0,0,0.0997232450643608,-0.0894428593130341,0.0982178478834536
X5.HK.EQUITY,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.309965307458436,0,0,0,0,0,0,0.012751632557962,0,-0.125164718711369,0.386631550054732,0,0.183278030355323,0,0.0863128267166037,0.0826192595075388,0,0,0,0,0,0,0,0,-0.0974850510919103,0,0,0.0376262310557181,0,0.0749712382322449,-0.142730764046517,0,0,0,0,0,0,-0.246231745715238
X388.HK.EQUITY,0,0,0,0,0,0,0.225190513847994,0,0,0,0,0,0,0,0,0,0,0,-0.216148642503078,0,1.73472347597681e-18,0,0,0,0,0.339460888242857,0,0.0599012510377864,0,0.154313513646542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167797178129625,0.0304967772291585,0,0.0563184572478834,0,-0.261665275018726,0,0
