,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.368626830728671,0,0.297478927980389,0.00314373401883935,0,0.172803538588541,0,0.12838717772851,0,0,-2.77555756156289e-17,-3.46944695195361e-18,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.107705643057891,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.104502538334971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212706577983946,0,0,0
X601939.CH.EQUITY,0.369707568732118,0,0,0,0,0,0,0,0,0,0,0.0757471150652751,0.307433156762274,0,0,0,0,0.102139618599369,0.0709072914383372,0,0,0,0,0,0,0,-0.106722952635542,-0.0122662540784343,0,0,0,0,0,0,0,0,0.0130934471202943,0,0,0,0,0,0,0,0,0,0.0298875709641906,0,0,0.0326458467784799,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0589403624058073,0,0,0,0,0.279113464753969,0,0,0,0,0,0,0,0,0,0,0,0,0.0398139369779153,0,0,0,0,0,0,0,0,0.0946199948898837,0,0,0,0,0,0.421717441267614,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.4214881683413,0.0478185431678214,0,0,0.332334237350655,0,0,0,0,0,0.107113024411216,0.0107711852505686,0,0,0,0,0.0353128901444972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.264744914986386,0,0,0,0,0,0,0,0,0,0.0198547810244843,0,0,0,0,0.165406263601249,0.170938478959225,0,0,0,0,0,0,0,0,0,0,0.0669039233061907,0,0,0.0240309880246359,0,0,0,0,0,0,0,0,0,0.180932320183933,0,0,0.0979128150391361,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710670864510414,0,0,0.0236149641261034,0,0,0,0,0,0,0,0,0.571616244850097,0.183446934564107,0,0,0,0,0,0,0,0,0,0.00183731149590519,0,0,0,0,0,0,0,0,0,0,0,0,0.403947400547102,-0.0634507373177136,-0.0661003785020269
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.135290265227586,0,0,0,0.502857252009464,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.112105477884534,0.11988454449174,0,0,0,0,0,0,0,0,0.10535273206999,0.135163919540469,0,0.149377700404073,0,0.0562261978949133,0,0,0,0,0,0,0,0,-0.0562748449954623,0.0454106783913208,0.0341110606835746
X1299.HK.EQUITY,0.0280535294896085,0,0,0,0,0.0399532229480733,0.0707721206531315,0,0.0709163472851221,0,0,0,0,0,0,0,0.34755027342845,0,0,0,0.222806691210416,0,0.19369314125576,0,0,0,0,0.0911671583152377,0,0,0.140281966798176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0966739294446782,0.0303326698966609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459895192438864,0,0.0342560164376749,0,0,0,0,0,0,0.152413507116324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026058443741217,0,0,0,0,0
X601658.CH.Equity,0,0,0,-0.138800779865101,0,0,-0.240432042437527,0,0,0,0,0,0,0.00171547870687678,0,0,-0.0454189726322433,0,0,0,0,0,0,0,0,0,0,0,0,0.412692885233013,0,0,0,0,0,0,0,0,-0.391360006674536,0.624966809790932,0.0336864530329139,-0.163297986586289,0,0,0,0,0.685385701805853,0,0,0,0,-0.0791438269126504
