,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.536532313530769,0,0,0,0.173106001281124,0,0,0.0636478597709862,0,0,0,0,0.174803819147228,0,0.0157904240149357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819524247026675,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0775648798972191,0.314336261944024,0,0,0,0,0,0,0.0244694583896037,0.251463897844838,0,0,0.0855399609391017,0,0.0654886830623538,0,0,0,0.0984066866292679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445471018010313,0.00404222618269887,0,0,0,0,0,0,0.00280233446603725,0,0,0
X601939.CH.EQUITY,0,0,0,0.629827780088083,0,0.0652105572982924,0.0161882590671567,0,0,0.230583373182955,0,0,0,0,0,0,0,0,0,0,0,0.0524605927217996,0,0,0,0,0,0.0497927137869481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.127341205151345,0.131219857356629,0,0.293491568669979,0,0,0.038444957720923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237718578260375,0,0,0,0,0,0.136112697681328,0,0.0202615980453421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.157774705259219,0,0.228780826747127,0,0,0.239189775548634,0,0.0153209459838266,0,0,0,0,0,0,0.0173795179248482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210716077256019,0,0,0,0,0,0,0,0,0,0,0.128823376377174,0,0
X601988.CH.EQUITY,0,0,0,0,0.322987050041157,0,0,0,0.218968792906501,0,0,0,0,0,0,0,0,0.0180044151760093,0,0,0,0,0,0,0.0866703129385023,0,0,0,0,0,0,-0.158157650650282,0,0.0458864486557231,0,0,0,0,0,0,0.131407142792816,0,0,0,0,0,0,0,-0.0276002077581325,-0.15278588304948,0
X600036.CH.EQUITY,0,0,0.0386690761829529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869073683342064,0,-0.125892128873849,0,0,0,0,0.605380882547532,-0.0313386462904535,0,0,0,0,0.215872775291672,0,0,0,0,0,0,0,0,0,0.0840550585415883,0,0,0.182378329500772,0,0,-0.000644411625264453,0,0.115110297374851,0,0.0223070570013766
X1299.HK.EQUITY,-0.00857309974781774,0,0,0,0.191140925175205,0,0,0,0,0,0,0,0,0,0,0,0,0.145103906009506,0,0,0,0.0805698282568964,0,0,0,0.0372885879223991,0,0,0.0509418166462806,0,0.0961074022481421,0,0,0,0,0,0,0.448550616789736,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0305547517539215,0,0,0,0,0,0,0,0.134095265036844,0,0,0,0,0.40309829168608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668057558038447,0.17952675295068,0,0,0,0,0.186548649952671,0,0.0489237706186388,0.0730451654492624,0,0,0,0,0,0
X601328.CH.EQUITY,0.374607677176205,0,0.144520641666233,0,0,0,0,0,0,0,0,0,0.43553836196048,0,0,0,0,0.0408650940848538,0,0,0.11922539808679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532008783864187,0,0,0,0,0,0.111554538269564,0,0,0,0,0.0156762614233313,0,0
