,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.437238901457347,0,0,0,0,0,0.0972471375712012,0,0,0,0.180356721201388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070029085030419,0,0,0,0.243623704806768,0,0,0,0,0,0,0,0,0,-0.0539429869617592,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.146229120434329,0,0,0,0,0,0,0,0.102961091414598,0,0.0606412107997808,0.0540922884755917,0,0,0,0,0,0.113025257846553,0,0.00486094000528206,0,0,0,0,0,0,0,0.157131258588217,0,0,0,0.291126705022876,0,0.0011327880703632,0,0,0.00824200832996133,0,0,0,0,0,0
X601939.CH.EQUITY,0.384822584337663,0,0,0,0,0,0,0,0,0.0421365270948561,0,0,0,0,0,0,-0.289198742705148,0,0,0,0,0.274700292861622,0,0,0,-6.93889390390723e-18,-0.146874718003196,0.027599996083448,0,0,0,0,0,0,-0.0822317640602079,0,0,0,0,0,0.562062179045914,0,0,0,-0.0100468903788577,0,0,0,0,0,0.180040302160771
X601288.CH.EQUITY,0,0,0,0,-0.0778924621020259,0,0,0,0.135719504784235,0,0.267990869482957,0,0.0147378222528225,0,0.345263258275107,-0.099194377806508,0,0,0,0,-0.081490415412774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.144495676555495,0.391856357653802,0,0,0,0,-0.0295245983589272,0,0,0.255179581079032,0.0355987596505824,0,0.0306534384246209,-4.33680868994202e-19,0,0,0.231850698386425,0,0,0,0,0.0395321945864982,-0.16759913692959,0,0,0,0,0,0,0,0,0.0103393345932334,0,0,0,0,0,0,0,0,0,-0.207561628074391,0,0.137392779487603,0,0
X601988.CH.EQUITY,0,0,0,0,0.175054489932595,0,0,0,0.157930570876062,0,0,0,0,0,0.202011181385476,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.130171123102136,0,0,0.116424889809878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474624347577045,0
X1299.HK.EQUITY,0,0,0,-0.107062237926752,0.257810373217511,-0.0627337781543233,0,0,0,0,0,0,0,0,0,0.0995182217882362,0,0.0780352724535791,0,0,0,0,0,0,0,0.13027093879675,0,0.0598217769991268,0,0.0705143553956043,0.0167245474030886,0,0.104532702293274,0,0,0,0.349427923968918,0,0,0,0.0597465455542049,0,0,-0.156653306290306,0,0,0,0,0,0,-0.024424492091096
X600036.CH.EQUITY,0,0.035961672302677,0,0,0,0,-0.11477073020924,0,0,0.481467211748447,0,0,0.0985641253804811,0,0,0,0.12406293532959,0,0,0,0.307193135048609,0,0,0,0,0,0,0,0.137273907735479,0,0,0,-0.158310887522199,0,0,0,0,-0.14571026256456,-0.0364346491232251,-0.0197176917010819,0,0,0,0.203902807973912,0,0,-0.013613784883924,0,0,0,0
X601628.CH.EQUITY,0,0.235046090627299,0,0.058822939206876,-0.0496279374671522,0,0,0,0,0,0,0,0,0,0,0,0.142035485497324,0,0,0,0,0,0,0,0.000703027474538409,0,0,0,0,0,0,0,0,0,0.147247080517026,0.132823830950278,0,0,0,0,0,0.150849537368738,0,0.116480275045302,0.108325648789828,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.687758633803148,0,0,0,0,0,0,0,0,0,0,0,0,0.144744887328173,0,0,0,0,0,0.054888625336346,0,0,0,0,0,0,0,-0.0162628298877162,0,0,0,-0.0063330154550205,0,0,0.029121214668942,0,0,0,0,-0.168230649073917,0,0,-0.0689660344739738,0
