,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.402651971594292,0,0,0.0148316932685916,0,0,0,0,0,0,0,0,0.0235863494536038,0.00424429235358329,0,0,0,-0.0281006393876333,0,0,0,0,0,0,0,0,0,-0.0461944483553613,0,0,0,0.166502671885959,0,0,0,0.0708836184125632,0,0,0,0,0,0,0,0,0.231297383323146,0.0460035118664463,0,0.0440082599696147,0
X601318.CH.EQUITY,0,0,0,0,0.0150637282987555,0,0,0,0.14759954220463,0,0.0523365619490762,0,0.104721863961134,0,0,0,0,0,0.220277013599556,0.231335721398329,0,0,0,0,0.00603677285639379,0,0,-0.0183221909780454,0,0,0,0.0795293544264636,0,0,0,0,0,0.0496370025632341,0,0,0,0,0,0,0.0138832705330739,0,0,0,0,0,0,0.0807121383591862
X601939.CH.EQUITY,0,0,0,0.302950170864555,0,-0.118455862261447,0.0232887762627135,0,0,0,0.0225860226952217,0,0,0,0,0,0,0,0,0,0.00138018653283425,0,0.74876753130296,0,-0.243643546992083,-0.128289804258411,0,0,0,0,0,0.065894065622441,0,0,0,0,0,0,0,-0.120028307851051,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.088803451048894,0
X601288.CH.EQUITY,0.212861442044948,0,0.0323179541034161,0,0.0558725840596917,0,0.343126167478727,-0.0973829468912269,0,0,0.0487679384764642,0,0,0,0,0.0670872334595786,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162904847994645,0,0,0,0,0,-0.107547702119051,0
X601628.CH.EQUITY,0,0,0,0.0739449102913984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221696366836311,0,0,0,0.0786441489633675,0,0,0.154098648863375,-0.183562942570089,0,0,0,0.0505678183068019,0,0,0,0.49140844017463,0.0562529038177386,0,0,0,-0.0156665409016053,0,0,0,0,0,0,0,0.0590970309714039,0,0,0,0,0.0462919927255562
X600036.CH.EQUITY,0,0.194756577998934,0,0,0.104015676749442,0,0.0817587756130646,0,0,0,0,0,0.227369037829442,0,0,0,0,0,0,0,0,0,0,0.307409553545915,0,0,0,0,0,0,0.137364868985788,0,0,0,0,0,0,0,0.0528621403507924,0,0,0,0,0,0,0,0.0207397821689667,0,-0.0624233548242559,0,-0.0100023318781161,-2.16840434497101e-19
X601988.CH.EQUITY,0,0,0,0,0,0.330402754463394,0,0,0,0,0,0,0,0,0,0.505103009406068,0,0,0,0,0.0388744852772528,0,0,0,0,0,0,0,0,0,0.0101293832065739,0.142857964722354,0,-0.0681789839170334,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0140450450251806,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.330166864506449,0,0,0,0,0,0,0.0530040883908248,0,0,0,0,0,0,0,0,0,0.0567707065476376,0.0466800007683749,0,0,0,0,0,0,0,0,0,0.0537111487281257,0,0.154181063129522,0,0.119847141862614,0,-0.0373324509079045,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457071506798072,0,0,0,0,0,0.0945493963327265,0,0,0,0,0.595428155770957,0.0500723897988695,0,0,0.0603955746461693,0.05271719810231,0,0,0,0,0,0,0,0,0.180975753388422,0,-0.106732208369426,0.0978848643334257,0.0519749508900462,0,0,0.120292625230529,0,0.171332840223657,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.113707704638961,0,0,0,0,0,0,0,0,-0.0746871822658267,0,0,0,0,0,0,0,0.48819614930342,0.128854528819391,0.0176074456794665,0,0,0,0.158279450546913,0,0,0.41245016041771,0,0,0,0.184666170576976,0.0100427544597733,0.0547384773760427,0,0,0,-0.434213137889122,0,0,0.0888697122918715,0,0,0,-0.00206961095985377,0
